sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,splotNm,regstrKindCdNm,mainPurpsCdNm,etcPurps,platArea,archArea,totArea,useAprDay,grndFlrCnt,ugrndFlrCnt,platPlc
11710,11300,0,0001,0000,,,일반건축물,제2종근린생활시설,"근린생활시설, 주택",0,0,886.29,19881116,5,1,서울특별시 송파구 거여동 1번지
11710,11300,0,0001,0001,,,일반건축물,제2종근린생활시설,제1종근린생활시설외,0,0,2714.58,19881223,4,1,서울특별시 송파구 거여동 1-1번지
11710,11300,0,0001,0005,,,일반건축물,단독주택,"근린생활시설, 주택",178.6,93,423.04,19881123,4,1,서울특별시 송파구 거여동 1-5번지
11710,11300,0,0001,0006,,,일반건축물,단독주택,다가구주택,182.4,105.64,394.71,19940924,3,1,서울특별시 송파구 거여동 1-6번지
11710,11300,0,0001,0007,,,표제부,공동주택,다세대주택,353.7,210.48,656.01,20160323,5,0,서울특별시 송파구 거여동 1-7번지
11710,11300,0,0001,0009,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",385.6,192.59,991.48,19910522,4,1,서울특별시 송파구 거여동 1-9번지
11710,11300,0,0001,0011,,,일반건축물,단독주택,"근린생활시설, 다가구주택",0,0,524.06,19880822,4,1,서울특별시 송파구 거여동 1-11번지
11710,11300,0,0001,0012,렉스빌,,표제부,공동주택,공동주택,231.4,138.24,466.01,20080804,5,0,서울특별시 송파구 거여동 1-12번지
11710,11300,0,0001,0013,,,일반건축물,단독주택,단독주택,0,0,247.32,19880730,2,1,서울특별시 송파구 거여동 1-13번지
11710,11300,0,0001,0014,,,표제부,공동주택,다세대주택,177.4,105.4,385.88,20020207,5,0,서울특별시 송파구 거여동 1-14번지
11710,11300,0,0001,0015,,,표제부,공동주택,다세대주택(10세대),384.7,152.67,649.77,19940909,4,1,서울특별시 송파구 거여동 1-15번지
11710,11300,0,0002,0000,라온하우스,,표제부,공동주택,공동주택(다세대주택),197.77,116.92,395.3,20120724,5,0,서울특별시 송파구 거여동 2번지
11710,11300,0,0002,0001,,,일반건축물,단독주택,다가구주택(10가구),172.7,102.39,390.01,19931101,3,1,서울특별시 송파구 거여동 2-1번지
11710,11300,0,0002,0002,,,일반건축물,제1종근린생활시설,"근린생활시설, 주택",0,0,210,19850713,3,1,서울특별시 송파구 거여동 2-2번지
11710,11300,0,0002,0002,,,일반건축물,단독주택,다가구용단독주택(9가구),163.8,96.08,384.32,19940611,3,1,서울특별시 송파구 거여동 2-2번지
11710,11300,0,0002,0003,,,일반건축물,단독주택,다가구주택(10가구),166.5,98.19,386.88,19931106,3,1,서울특별시 송파구 거여동 2-3번지
11710,11300,0,0002,0004,,,일반건축물,단독주택,다가구용단독주택(7가구),151.8,85.01,328.71,19960909,3,1,서울특별시 송파구 거여동 2-4번지
11710,11300,0,0002,0005,대성레전드빌,,표제부,공동주택,공동주택(다세대주택),307,183.6,613.64,20121016,5,0,서울특별시 송파구 거여동 2-5번지
11710,11300,0,0002,0007,,,일반건축물,단독주택,"주택,",0,0,567.93,19881125,4,1,서울특별시 송파구 거여동 2-7번지
11710,11300,0,0002,0008,,,일반건축물,제2종근린생활시설,근린생활시설,285.1,152.5,846.87,19881004,5,1,서울특별시 송파구 거여동 2-8번지
11710,11300,0,0002,0009,,,표제부,공동주택,도시형생활주택,1139.1,600.09,2349.45,20180529,6,1,서울특별시 송파구 거여동 2-9번지
11710,11300,0,0002,0014,가동,,표제부,공동주택,다세대주택,0,0,327.75,19890210,2,1,서울특별시 송파구 거여동 2-14번지
