=== run 30603746524 2026-07-31T04:17:02Z ===
[서울탐색] 페이지에서 발견한 서비스명 후보: []
[서울탐색] BldRgstStdInfo: len=90 앞300자='{"RESULT":{"CODE":"ERROR-500","MESSAGE":"서버 오류입니다.\\n지속적으로 발생시 열린 데이터 광장으로 문의(Q&A) 바랍니다."}}'
[서울탐색] buildingRgstInfo: len=90 앞300자='{"RESULT":{"CODE":"ERROR-500","MESSAGE":"서버 오류입니다.\\n지속적으로 발생시 열린 데이터 광장으로 문의(Q&A) 바랍니다."}}'
[서울탐색] OpenBldRgstInfo: len=90 앞300자='{"RESULT":{"CODE":"ERROR-500","MESSAGE":"서버 오류입니다.\\n지속적으로 발생시 열린 데이터 광장으로 문의(Q&A) 바랍니다."}}'
[진단 NrgTrade(대조군)] status=200 len=893 headers={'Content-Length': '893', 'Content-Type': 'application/xml;charset=utf-8', 'Server': 'Apache', 'Set-Cookie': 'JSESSIONID=D0A26C5F9AD9D068342E25ACAD30D43F; Path=/oasis; Secure; HttpOnly'} 앞200바이트=b'<?xml version="1.0" encoding="utf-8" standalone="yes"?><response><header><resultCode>000</resultCode><resultMsg>OK</resultMsg></header><body><items><item><buildYear>1996</buildYear><buildingAr>399.63<'
[진단 건축HUB 표제부] status=200 len=2514 headers={'Content-Length': '2514', 'Content-Type': 'application/xml;charset=UTF-8', 'Server': 'Apache', 'Set-Cookie': 'JSESSIONID=E1-juaqUBPcvmTu4BF8ZAdKbZkGukt1FxsCSrFLl.api10; path=/'} 앞200바이트=b'<response><header><resultCode>00</resultCode><resultMsg>NORMAL SERVICE</resultMsg></header><body><items><item><rnum>1</rnum><platPlc>\xec\x84\x9c\xec\x9a\xb8\xed\x8a\xb9\xeb\xb3\x84\xec\x8b\x9c \xea\xb0\x95\xeb\x82\xa8\xea\xb5\xac \xeb\x85\xbc\xed\x98\x84\xeb\x8f\x99 1\xeb\xb2\x88\xec\xa7\x80</platPlc><sigunguCd>116'
[진단 건축HUB 표제부(bun지정)] status=200 len=2511 headers={'Content-Length': '2511', 'Content-Type': 'application/xml;charset=UTF-8', 'Server': 'Apache', 'Set-Cookie': 'JSESSIONID=jIwgYDlBOPQB7TbhQNpYX-sU67DHGD4dIoYfhgec.api10; path=/'} 앞200바이트=b'<response><header><resultCode>00</resultCode><resultMsg>NORMAL SERVICE</resultMsg></header><body><items><item><rnum>1</rnum><platPlc>\xec\x84\x9c\xec\x9a\xb8\xed\x8a\xb9\xeb\xb3\x84\xec\x8b\x9c \xea\xb0\x95\xeb\x82\xa8\xea\xb5\xac \xeb\x85\xbc\xed\x98\x84\xeb\x8f\x99 1\xeb\xb2\x88\xec\xa7\x80</platPlc><sigunguCd>116'
[진단 건축HUB 기본개요] status=200 len=1154 headers={'Content-Length': '1154', 'Content-Type': 'application/xml;charset=UTF-8', 'Server': 'Apache', 'Set-Cookie': 'JSESSIONID=iTHEQ-u3J57XDBN5rmQBZCGnZPdQOftWECzMcm9P.api10; path=/'} 앞200바이트=b'<response><header><resultCode>00</resultCode><resultMsg>NORMAL SERVICE</resultMsg></header><body><items><item><rnum>1</rnum><platPlc>\xec\x84\x9c\xec\x9a\xb8\xed\x8a\xb9\xeb\xb3\x84\xec\x8b\x9c \xea\xb0\x95\xeb\x82\xa8\xea\xb5\xac \xeb\x85\xbc\xed\x98\x84\xeb\x8f\x99 1\xeb\xb2\x88\xec\xa7\x80</platPlc><sigunguCd>116'
[진단 구버전 BldRgstService_v2] 예외: <HTTPError 500: 'Internal Server Error'>
마스킹 지번 통건물 거래: 3289건
법정동코드 매핑 실패 동 89개 → data/bldg_unmapped_dongs.csv
  캐시 완료 11680/10800: 4504건 (신고 4504)
  캐시 완료 11680/10100: 4962건 (신고 4962)
  캐시 완료 11200/11500: 3043건 (신고 3043)
  캐시 완료 11140/16200: 5961건 (신고 5961)
  캐시 완료 11620/10200: 17797건 (신고 17797)
  캐시 완료 11530/10200: 8310건 (신고 8310)
  캐시 완료 11440/12000: 2855건 (신고 2855)
  캐시 완료 11680/10700: 2367건 (신고 2367)
  캐시 완료 11530/10100: 998건 (신고 998)
  캐시 완료 11650/10800: 4130건 (신고 4130)
  캐시 완료 11680/10600: 2455건 (신고 2455)
  캐시 완료 11650/10100: 5438건 (신고 5438)
  캐시 완료 11680/10500: 2400건 (신고 2400)
  캐시 완료 11650/10200: 2865건 (신고 2865)
  캐시 완료 11170/13100: 2904건 (신고 2904)
  캐시 완료 11200/11400: 2430건 (신고 2430)
  캐시 완료 11680/10400: 1745건 (신고 1745)
  캐시 완료 11590/10100: 2997건 (신고 2997)
  캐시 완료 11620/10100: 12951건 (신고 12951)
  캐시 완료 11170/10500: 394건 (신고 394)
  캐시 완료 11305/10300: 10306건 (신고 10306)
  캐시 완료 11740/10900: 5795건 (신고 5795)
  캐시 완료 11500/10300: 13067건 (신고 13067)
  캐시 완료 11305/10100: 11620건 (신고 11620)
  캐시 완료 11170/13000: 3168건 (신고 3168)
  캐시 완료 11440/12100: 937건 (신고 937)
  캐시 완료 11350/10600: 1484건 (신고 1484)
  캐시 완료 11710/10500: 2139건 (신고 2139)
  캐시 완료 11560/12200: 734건 (신고 734)
  캐시 완료 11590/10700: 6217건 (신고 6217)
  캐시 완료 11680/11800: 1099건 (신고 1099)
  캐시 완료 11440/12400: 2088건 (신고 2088)
  캐시 완료 11740/10800: 4137건 (신고 4137)
  캐시 완료 11140/11200: 705건 (신고 705)
  캐시 완료 11215/10500: 6055건 (신고 6055)
  캐시 완료 11230/10400: 3768건 (신고 3768)
  캐시 완료 11350/10500: 5811건 (신고 5811)
  캐시 완료 11260/10100: 11830건 (신고 11830)
  캐시 완료 11470/10100: 5666건 (신고 5666)
  캐시 완료 11440/12300: 2832건 (신고 2832)
  캐시 완료 11230/10200: 2937건 (신고 2937)
  캐시 완료 11230/10300: 3952건 (신고 3952)
  캐시 완료 11560/13200: 8642건 (신고 8642)
  캐시 완료 11140/16500: 1343건 (신고 1343)
  캐시 완료 11440/11000: 828건 (신고 828)
  캐시 완료 11215/10100: 7608건 (신고 7608)
  캐시 완료 11170/10200: 1564건 (신고 1564)
  캐시 완료 11710/11100: 2472건 (신고 2472)
  캐시 완료 11215/10900: 2018건 (신고 2018)
  캐시 완료 11380/10300: 5298건 (신고 5298)
  캐시 완료 11500/10800: 1972건 (신고 1972)
  캐시 완료 11110/17400: 2862건 (신고 2862)
  캐시 완료 11110/17500: 1915건 (신고 1915)
  캐시 완료 11200/10500: 1975건 (신고 1975)
  캐시 완료 11680/11400: 1284건 (신고 1284)
  캐시 완료 11140/13200: 247건 (신고 247)
  캐시 완료 11140/12100: 473건 (신고 473)
  캐시 완료 11440/11500: 726건 (신고 726)
  캐시 완료 11440/12200: 1758건 (신고 1758)
  캐시 완료 11215/10300: 4609건 (신고 4609)
  캐시 완료 11410/11600: 1486건 (신고 1486)
  캐시 완료 11230/10600: 3719건 (신고 3719)
  캐시 완료 11110/16200: 223건 (신고 223)
  캐시 완료 11470/10300: 7249건 (신고 7249)
  캐시 완료 11650/10700: 2256건 (신고 2256)
  캐시 완료 11170/11300: 521건 (신고 521)
  캐시 완료 11410/11700: 3773건 (신고 3773)
  캐시 완료 11710/10700: 2432건 (신고 2432)
  캐시 완료 11500/10900: 3337건 (신고 3337)
  캐시 완료 11500/10200: 2138건 (신고 2138)
  캐시 완료 11230/10700: 2022건 (신고 2022)
  캐시 완료 11590/10400: 881건 (신고 881)
  캐시 완료 11110/12800: 254건 (신고 254)
  캐시 완료 11170/12500: 556건 (신고 556)
  캐시 완료 11230/10800: 1249건 (신고 1249)
  캐시 완료 11260/10500: 4572건 (신고 4572)
  캐시 완료 11470/10200: 5124건 (신고 5124)
  캐시 완료 11140/15800: 172건 (신고 172)
  캐시 완료 11140/12700: 262건 (신고 262)
  캐시 완료 11380/10200: 2308건 (신고 2308)
  캐시 완료 11380/10700: 5084건 (신고 5084)
  캐시 완료 11710/10400: 2088건 (신고 2088)
  캐시 완료 11710/10100: 2412건 (신고 2412)
  캐시 완료 11290/13600: 2429건 (신고 2429)
