구,법정동,계약일,거래금액(만원),건물용도,지번(마스킹),대지면적㎡,준공년도,후보수,"후보필지(지번,대지㎡,준공,건물명)"
서울 종로구,창신동,2025-01-23,254000,제1종근린생활,4**,122.3,,0,
서울 강남구,삼청동,2025-01-16,265000,제1종근린생활,6*,105.8,1965,2,"63-12(105.8㎡,1965,제1종근린생활시설); 63-19(105.8㎡,,제2종근린생활시설)"
종로구,신문로2가,2025-01-15,550000,제2종근린생활,*,429.1,2016,0,
서울 도봉구,창신동,2025-01-16,210000,제2종근린생활,2**,95.9,2024,0,
서울 종로구,효제동,2025-01-07,225000,제2종근린생활,1**,161.6,1985,1,"173-9(161.6㎡,1985,제1종근린생활시설)"
종로구,가회동,2025-01-06,200000,제2종근린생활,1*,198.3,,1,"130-1(201.25㎡,2010,문화및집회시설)"
서울 종로구,명륜4가,2025-01-12,53000,제2종근린생활,1**,59.5,,2,"127-6(59.5㎡,,제2종근린생활시설); 144(59.9㎡,2001,제1종근린생활시설)"
서울 강남구,돈의동,2025-01-13,620000,제2종근린생활,1**,164,,1,"110(164㎡,,신명빌딩)"
종로구,권농동,2025-01-02,93000,기타,1**,86,2011,0,
서울 종로구,돈의동,2025-02-13,345000,제2종근린생활,3*,99.4,,0,
서울 중구,관훈동,2025-02-12,550000,제2종근린생활,1**,220.6,1981,1,"177(220.6㎡,1981,제2종근린생활시설)"
서울 성동구,원남동,2025-02-21,80000,제2종근린생활,2*,76,,0,
서울 종로구,가회동,2025-02-11,71300,제1종근린생활,5*,50.2,2004,1,"51-1(50.2㎡,2004,제1종근린생활시설)"
서울 강남구,충신동,2025-02-11,230000,제2종근린생활,1**,93.2,2018,0,
서울 종로구,창성동,2025-02-05,143300,제1종근린생활,1**,73.7,1958,0,
서울 중구,숭인동,2025-03-10,270000,제2종근린생활,7*,267.8,1991,1,"72-70(270.6㎡,1991,제2종근린생활시설)"
서울 용산구,삼청동,2025-03-24,92000,제2종근린생활,3*,82.6,,2,"35-117(82.6㎡,1964,제2종근린생활시설); 35-65(83.3㎡,,단독주택)"
서울 강남구,창성동,2025-03-24,278000,제1종근린생활,1**,113.2,2013,0,
서울 강동구,숭인동,2025-03-29,305000,제2종근린생활,5*,146.3,2002,2,"540(145㎡,,단독주택); 56-40(146.3㎡,2002,미래빌딩)"
종로구,관훈동,2025-03-25,160000,제2종근린생활,5*,92.6,1947,1,"56-2(92.6㎡,1947,제2종근린생활시설)"
