buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1984,164.69,집합,업무,법인,,,"120,000",8,1,2025,중개거래,"서울 서초구, 서울 종로구",7,60,일반상업,,11110,종로구,,기타,도렴동
,72.73,일반,제1종근린생활,법인,,,"254,000",23,1,2025,중개거래,서울 종로구,,4**,일반상업,122.3,11110,종로구,,개인,창신동
2004,15.08,집합,제2종근린생활,법인,,,"7,500",7,1,2025,중개거래,서울 종로구,,73,준주거,,11110,종로구,,개인,내수동
2004,13.92,집합,제2종근린생활,법인,,,"7,000",7,1,2025,중개거래,서울 종로구,,73,준주거,,11110,종로구,,개인,내수동
2004,15.08,집합,제2종근린생활,법인,,,"7,500",7,1,2025,중개거래,서울 종로구,,73,준주거,,11110,종로구,,개인,내수동
2004,13.92,집합,제2종근린생활,법인,,,"7,000",7,1,2025,중개거래,서울 종로구,,73,준주거,,11110,종로구,,개인,내수동
,9.09,집합,판매,개인,,,"40,000",31,1,2025,중개거래,서울 종로구,,270-3,일반상업,,11110,종로구,,개인,종로6가
2000,5.48,집합,기타,개인,,,"6,380",30,1,2025,직거래,,,20,일반상업,,11110,종로구,,개인,관수동
2000,7.2,집합,제2종근린생활,개인,,,"1,000",30,1,2025,직거래,,,20,일반상업,,11110,종로구,지분,개인,관수동
1965,137.49,일반,제1종근린생활,개인,,,"265,000",16,1,2025,중개거래,서울 강남구,,6*,제1종일반주거,105.8,11110,종로구,,개인,삼청동
2022,60.91,집합,제2종근린생활,법인,,,"36,600",24,1,2025,직거래,,1,1-166,제2종일반주거,,11110,종로구,,법인,신문로2가
2016,1996.18,일반,제2종근린생활,개인,,,"550,000",15,1,2025,직거래,,,*,제1종일반주거,429.1,11110,종로구,지분,개인,신문로2가
2024,251.31,일반,제2종근린생활,법인,,,"210,000",16,1,2025,중개거래,서울 도봉구,,2**,준주거,95.9,11110,종로구,,법인,창신동
2005,39.67,집합,숙박,개인,,,"36,000",21,1,2025,중개거래,서울 종로구,6,85,일반상업,,11110,종로구,,개인,수송동
1985,387.14,일반,제2종근린생활,개인,,,"225,000",7,1,2025,중개거래,서울 종로구,,1**,일반상업,161.6,11110,종로구,,개인,효제동
,89.26,일반,제2종근린생활,법인,,,"200,000",6,1,2025,직거래,,,1*,제1종일반주거,198.3,11110,종로구,,개인,가회동
,34.38,일반,제2종근린생활,개인,,,"53,000",12,1,2025,중개거래,서울 종로구,,1**,제2종일반주거,59.5,11110,종로구,,개인,명륜4가
1996,364.94,집합,교육연구,법인,,,"245,000",24,1,2025,중개거래,"서울 강남구, 서울 중구",,327-2,일반상업,,11110,종로구,,법인,창신동
1995,18.9,집합,제2종근린생활,개인,,,"15,000",1,1,2025,중개거래,서울 종로구,,4,제3종일반주거,,11110,종로구,,개인,명륜2가
,648.28,일반,제2종근린생활,법인,,,"620,000",13,1,2025,중개거래,서울 강남구,,1**,일반상업,164,11110,종로구,,법인,돈의동
2011,129.6,일반,기타,법인,,,"93,000",2,1,2025,직거래,,,1**,일반상업,86,11110,종로구,,개인,권농동
2023,32.19,집합,제1종근린생활,개인,,,"17,000",3,1,2025,직거래,,,1419-2,일반상업,,11110,종로구,,법인,숭인동
1988,244.02,집합,제2종근린생활,법인,,,"380,000",25,2,2025,중개거래,서울 종로구,,303-3,일반상업,,11110,종로구,,개인,숭인동
2004,4.99,집합,판매,개인,,,"11,000",26,2,2025,직거래,,,137,일반상업,,11110,종로구,,개인,돈의동
1982,464.47,일반,제2종근린생활,법인,,,"700,000",21,2,2025,중개거래,서울 서초구,,2**,일반상업,180.2,11110,종로구,,개인,관철동
1985,238.46,집합,업무,개인,,,"110,000",28,2,2025,직거래,,8,5,일반상업,,11110,종로구,지분,개인,당주동
