buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
,20.66,일반,제2종근린생활,법인,,,"66,000",6,1,2025,직거래,,,1**,일반상업,29.1,11140,중구,,개인,인현동2가
1999,143.79,집합,제2종근린생활,법인,,,"65,000",27,1,2025,중개거래,서울 중구,3,842,제3종일반주거,,11140,중구,,개인,신당동
1999,111.24,집합,제2종근린생활,법인,,,"65,000",27,1,2025,중개거래,서울 중구,2,842,제3종일반주거,,11140,중구,,개인,신당동
1999,46.05,집합,제2종근린생활,법인,,,"30,000",27,1,2025,중개거래,서울 중구,,842,제3종일반주거,,11140,중구,,개인,신당동
1999,143.63,집합,제1종근린생활,법인,,,"100,000",27,1,2025,중개거래,서울 중구,,842,제3종일반주거,,11140,중구,,개인,신당동
1999,98.28,집합,제1종근린생활,법인,,,"90,000",27,1,2025,중개거래,서울 중구,1,842,제3종일반주거,,11140,중구,,개인,신당동
1999,160.35,집합,제2종근린생활,법인,,,"75,000",27,1,2025,중개거래,서울 중구,2,842,제3종일반주거,,11140,중구,,개인,신당동
1999,111.24,집합,제2종근린생활,법인,,,"45,000",27,1,2025,중개거래,서울 중구,3,842,제3종일반주거,,11140,중구,,개인,신당동
,49.59,일반,제2종근린생활,개인,,,"22,900",27,1,2025,직거래,,,1**,일반상업,23.02,11140,중구,지분,개인,인현동2가
2007,168.78,집합,제2종근린생활,개인,,,"77,000",21,1,2025,중개거래,"서울 마포구, 서울 중구",,151,일반상업,,11140,중구,,개인,순화동
,49.66,일반,제1종근린생활,개인,,,"87,000",20,1,2025,중개거래,서울 중구,,*,일반상업,38.8,11140,중구,,개인,방산동
1959,143.24,일반,제2종근린생활,법인,,,"43,000",24,1,2025,직거래,,,1**,중심상업,14.31,11140,중구,지분,개인,산림동
2011,83.53,집합,업무,법인,,,"54,500",17,1,2025,직거래,,3,208,일반상업,,11140,중구,,법인,회현동1가
2011,51.03,집합,업무,법인,,,"33,000",17,1,2025,직거래,,3,208,일반상업,,11140,중구,,법인,회현동1가
1976,14.05,집합,판매,개인,,,"10,000",27,1,2025,중개거래,서울 중구,,19-14,일반상업,,11140,중구,,개인,주교동
,49.59,일반,제2종근린생활,개인,,,"19,600",18,1,2025,직거래,,,1**,일반상업,19.73,11140,중구,지분,개인,인현동2가
,231.12,일반,제2종근린생활,법인,,,"261,000",16,1,2025,중개거래,서울 중구,,8**,일반상업,128,11140,중구,,개인,황학동
1969,11.21,집합,판매,개인,,,"30,500",17,1,2025,중개거래,서울 중구,3,217-96,일반상업,,11140,중구,,개인,신당동
1976,14.05,집합,판매,개인,,,"10,000",10,1,2025,중개거래,서울 중구,,19-14,일반상업,,11140,중구,,개인,주교동
1976,14.05,집합,판매,개인,,,"10,000",10,1,2025,중개거래,서울 중구,,19-14,일반상업,,11140,중구,,개인,주교동
2008,80.28,집합,제1종근린생활,개인,,,"63,000",21,1,2025,중개거래,서울 중구,4,199-40,중심상업,,11140,중구,,개인,을지로2가
2020,18.11,집합,숙박,개인,,,"28,200",24,1,2025,직거래,,,158,일반상업,,11140,중구,,개인,인현동1가
,322.3,일반,제2종근린생활,법인,,,"450,000",8,1,2025,중개거래,서울 강남구,,3*,일반상업,88.3,11140,중구,,개인,남대문로3가
2002,6.65,집합,판매,개인,,,500,24,1,2025,중개거래,서울 중구,,18-35,일반상업,,11140,중구,,개인,을지로6가
1980,4.86,집합,판매,개인,,,"10,000",23,1,2025,직거래,,,772,일반상업,,11140,중구,,개인,신당동
2002,16.84,집합,제2종근린생활,개인,,,"2,300",24,1,2025,중개거래,서울 중구,,18-35,일반상업,,11140,중구,,개인,을지로6가
1980,4.86,집합,판매,개인,,,"32,500",15,1,2025,직거래,,,777,일반상업,,11140,중구,,개인,신당동
1989,2409.86,일반,제2종근린생활,개인,,,"14,288",5,1,2025,직거래,,,1**,제3종일반주거,11.07,11140,중구,지분,개인,신당동
1959,49.55,일반,제2종근린생활,법인,,,"14,000",10,1,2025,직거래,,,2**,일반상업,13.28,11140,중구,지분,개인,황학동
2023,22.69,집합,숙박,법인,,,"21,200",16,1,2025,직거래,,7,308,일반상업,,11140,중구,,개인,충무로4가
1968,425.65,일반,제1종근린생활,법인,,,"385,000",9,1,2025,중개거래,서울 강남구,,1**,일반상업,99.1,11140,중구,,개인,남대문로5가
