buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1956,94.22,일반,제1종근린생활,법인,,,"516,278",20,1,2025,직거래,,,4*,일반상업,161,11170,용산구,,개인,원효로1가
2009,130.97,집합,판매,개인,,,"21,500",15,1,2025,직거래,,,24,제1종일반주거,,11170,용산구,지분,개인,용산동5가
1985,204.54,일반,제2종근린생활,법인,,,"595,000",19,1,2025,중개거래,서울 용산구,,9*,제2종일반주거,145,11170,용산구,,법인,보광동
2023,23,집합,제1종근린생활,개인,,,"33,000",15,1,2025,중개거래,서울 용산구,1,215-2,제2종일반주거,,11170,용산구,,개인,원효로3가
,9.02,집합,제2종근린생활,개인,,,"40,000",9,1,2025,직거래,,3,23-15,제2종일반주거,,11170,용산구,,개인,용문동
1986,781.44,집합,제2종근린생활,개인,,,"570,000",21,1,2025,중개거래,"서울 강남구, 서울 용산구",2,737-37,제2종일반주거,,11170,용산구,,법인,한남동
,13.44,집합,판매,개인,,,"34,500",23,1,2025,중개거래,서울 용산구,20,15-47,일반상업,,11170,용산구,,법인,한강로2가
2008,17.88,집합,제2종근린생활,개인,,,"110,000",14,1,2025,중개거래,서울 용산구,3,2-14,일반상업,,11170,용산구,,개인,한강로2가
1986,44.92,집합,업무,개인,,,"19,000",10,1,2025,중개거래,서울 용산구,6,737-37,제2종일반주거,,11170,용산구,,개인,한남동
1969,78.28,일반,판매,개인,,,"53,600",10,1,2025,중개거래,서울 용산구,,*,제1종일반주거,16.5,11170,용산구,,개인,용산동2가
2008,16.74,집합,제1종근린생활,개인,,,"19,000",7,1,2025,직거래,,1,10-156,제2종일반주거,,11170,용산구,,개인,청파동2가
2017,31.2,집합,판매,개인,,,"9,000",13,1,2025,직거래,,,420,일반상업,,11170,용산구,지분,개인,한강로2가
2020,28.79,집합,판매,개인,,,"69,000",3,1,2025,직거래,,10,98,일반상업,,11170,용산구,,개인,한강로3가
1968,511.9,일반,제2종근린생활,법인,,,"710,000",3,1,2025,직거래,,,9*,준주거,321,11170,용산구,,법인,한남동
,31.92,집합,판매,개인,,,"37,500",4,1,2025,중개거래,서울 용산구,,15-47,일반상업,,11170,용산구,,개인,한강로2가
,147.58,일반,제2종근린생활,법인,,,"420,000",7,1,2025,중개거래,서울 용산구,,*,제2종일반주거,125.3,11170,용산구,,개인,남영동
1982,582.48,일반,제2종근린생활,법인,,,"1,010,000",13,1,2025,중개거래,서울 강남구,,1**,제2종일반주거,198,11170,용산구,,법인,한강로2가
1984,748.02,일반,제2종근린생활,법인,,,"55,000",28,2,2025,직거래,,,7**,제2종일반주거,18.7,11170,용산구,지분,개인,한남동
1959,47.17,일반,제1종근린생활,개인,,,"44,350",18,2,2025,직거래,,,1**,제2종일반주거,34.2,11170,용산구,지분,개인,원효로4가
2008,26.69,집합,제1종근린생활,개인,,,"18,500",27,2,2025,직거래,,,10-23,제2종일반주거,,11170,용산구,,개인,청파동2가
