buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
,11.73,집합,판매,개인,,,"1,350",22,1,2025,중개거래,서울 광진구,,546-4,준주거,,11215,광진구,,개인,구의동
,11.73,집합,판매,개인,,,"1,350",22,1,2025,중개거래,서울 광진구,,546-4,준주거,,11215,광진구,,개인,구의동
2008,38.4,집합,제2종근린생활,기타,,,"27,950",15,1,2025,직거래,,,686-45,제2종일반주거,,11215,광진구,,개인,자양동
2019,48.85,집합,제2종근린생활,개인,,,"23,524",24,1,2025,직거래,,2,116-2,일반상업,,11215,광진구,,법인,화양동
2020,38.6,집합,제2종근린생활,개인,,,"30,000",25,1,2025,중개거래,서울 중랑구,1,235-16,제3종일반주거,,11215,광진구,,개인,구의동
1966,22.78,집합,제1종근린생활,법인,,,"37,900",24,1,2025,중개거래,서울 광진구,,145-8,제2종일반주거,,11215,광진구,,개인,광장동
2021,63.6,집합,제2종근린생활,법인,,,"155,537",1,1,2025,직거래,,1,861,준주거,,11215,광진구,,기타,자양동
2021,41.34,집합,제2종근린생활,법인,,,"101,062",1,1,2025,직거래,,1,861,준주거,,11215,광진구,,기타,자양동
2006,30.3,집합,업무,개인,,,"21,500",13,1,2025,중개거래,서울 광진구,17,7-3,일반상업,,11215,광진구,,법인,화양동
2004,28.6,집합,업무,개인,,,"19,350",23,1,2025,중개거래,서울 광진구,,589-10,준주거,,11215,광진구,,개인,구의동
2015,60.37,집합,제2종근린생활,개인,,,"9,000",3,1,2025,중개거래,서울 광진구,,648-14,일반상업,,11215,광진구,,개인,중곡동
,160.99,일반,제1종근린생활,개인,,,"169,000",7,1,2025,중개거래,서울 광진구,,1**,제2종일반주거,86,11215,광진구,,개인,군자동
1987,432.65,일반,제2종근린생활,개인,,,"320,000",14,1,2025,중개거래,서울 광진구,,5**,제2종일반주거,162,11215,광진구,,개인,자양동
1988,332.75,일반,제1종근린생활,개인,,,"8,000",6,1,2025,직거래,,,5**,제3종일반주거,9.1,11215,광진구,지분,개인,자양동
1992,299.25,일반,제2종근린생활,법인,,,"500,000",25,2,2025,중개거래,서울 광진구,,*,일반상업,125,11215,광진구,,개인,화양동
1993,201.13,집합,제1종근린생활,개인,,,"21,000",20,2,2025,직거래,,1,127,준주거,,11215,광진구,지분,개인,광장동
1998,48.94,집합,업무,개인,,,"28,000",18,2,2025,중개거래,"서울 강남구, 서울 광진구",,546-4,준주거,,11215,광진구,,법인,구의동
2019,79.91,집합,제2종근린생활,법인,,,"34,826",10,2,2025,직거래,,2,116-2,일반상업,,11215,광진구,,법인,화양동
1997,15.81,집합,제1종근린생활,개인,,,"21,000",25,2,2025,중개거래,서울 광진구,1,631-1,준주거,,11215,광진구,,개인,구의동
1978,159.67,일반,기타,법인,,,"178,000",15,2,2025,중개거래,서울 광진구,,1**,제2종일반주거,264,11215,광진구,,법인,중곡동
1998,11.7,집합,판매,기타,,,"3,500",5,2,2025,직거래,,,546-4,준주거,,11215,광진구,,개인,구의동
