buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1985,3711.96,일반,제1종근린생활,법인,,,"1,750,000",31,1,2025,중개거래,서울 강남구,,2**,일반상업,676.8,11230,동대문구,,법인,용두동
2003,699.36,일반,교육연구,개인,,,"150,000",31,1,2025,직거래,,,1**,제2종일반주거,148.5,11230,동대문구,지분,개인,회기동
,532,일반,제1종근린생활,법인,,,"237,000",24,1,2025,중개거래,"경기 하남시, 서울 중구",,1**,제2종일반주거,192.7,11230,동대문구,,개인,용두동
1999,27.7,집합,제2종근린생활,개인,,,"6,000",12,1,2025,직거래,,4,493-5,일반상업,,11230,동대문구,,개인,답십리동
1983,14.26,집합,제1종근린생활,개인,,,"5,300",17,1,2025,직거래,,,530-6,일반상업,,11230,동대문구,,개인,답십리동
1983,14.49,집합,제1종근린생활,개인,,,"5,300",17,1,2025,직거래,,,530-6,일반상업,,11230,동대문구,,개인,답십리동
1980,31.64,집합,판매,개인,,,"26,900",18,1,2025,중개거래,서울 동대문구,,961-9,일반상업,,11230,동대문구,,개인,답십리동
1976,7.2,집합,판매,개인,,,"1,800",20,1,2025,직거래,,,892-71,일반상업,,11230,동대문구,지분,개인,제기동
1997,10.57,집합,판매,개인,,,"4,700",22,1,2025,직거래,,,738,일반상업,,11230,동대문구,,개인,청량리동
,46.28,일반,제1종근린생활,개인,,,"60,000",3,1,2025,중개거래,서울 동대문구,,4**,제3종일반주거,21,11230,동대문구,,개인,전농동
1978,37,집합,교육연구,기타,,,"45,900",20,1,2025,중개거래,서울 동대문구,,235-4,일반상업,,11230,동대문구,,개인,청량리동
1991,1287.08,일반,제2종근린생활,법인,,,"670,000",13,1,2025,중개거래,"서울 동대문구, 서울 서초구",,9*,준주거,424.1,11230,동대문구,,개인,신설동
2006,237.18,집합,제2종근린생활,개인,,,"74,500",9,1,2025,직거래,,2,347-8,제3종일반주거,,11230,동대문구,,개인,장안동
2021,27.62,집합,제1종근린생활,개인,,,"52,155",14,1,2025,직거래,,,377,제2종일반주거,,11230,동대문구,,법인,휘경동
2007,4.5,집합,판매,개인,,,150,14,1,2025,직거래,,,1140-5,일반상업,,11230,동대문구,,개인,제기동
1992,8.82,집합,제1종근린생활,개인,,,950,10,1,2025,중개거래,서울 동대문구,,6,제3종일반주거,,11230,동대문구,,개인,전농동
1969,10.28,집합,판매,개인,,,"14,500",2,1,2025,중개거래,서울 동대문구,,295-48,근린상업,,11230,동대문구,,개인,전농동
1999,32.8,집합,업무,법인,,,"11,000",6,1,2025,중개거래,서울 동대문구,9,493-5,일반상업,,11230,동대문구,,법인,답십리동
1994,3711.64,일반,제2종근린생활,법인,,,"910,000",14,2,2025,직거래,,,*,제3종일반주거,1142,11230,동대문구,,개인,전농동
1985,20.74,일반,제1종근린생활,공공기관,,,"90,000",28,2,2025,직거래,,,2**,일반상업,22.2,11230,동대문구,,개인,청량리동
1983,114.94,일반,제2종근린생활,공공기관,,,"500,000",17,2,2025,직거래,,,2**,일반상업,50.9,11230,동대문구,,개인,청량리동
1971,251.37,일반,숙박,개인,,,"165,000",10,2,2025,중개거래,서울 강남구,,7**,일반상업,85.6,11230,동대문구,,개인,청량리동
1976,6.6,집합,판매,개인,,,"5,200",28,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.59,집합,판매,개인,,,"5,200",28,2,2025,중개거래,서울 동대문구,2,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,6.6,집합,판매,개인,,,"5,200",28,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.47,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.2,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.6,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,2,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,6.6,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.2,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.2,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,,892-71,일반상업,,11230,동대문구,,개인,제기동
1976,7.6,집합,판매,개인,,,"5,200",18,2,2025,중개거래,서울 동대문구,3,892-71,일반상업,,11230,동대문구,,개인,제기동
,43.71,집합,업무,개인,,,"35,000",26,2,2025,중개거래,서울 동대문구,,797,일반상업,,11230,동대문구,,개인,용두동
1971,140.99,일반,제2종근린생활,법인,,,"134,000",14,2,2025,직거래,,,6**,제2종일반주거,115.7,11230,동대문구,,개인,전농동
