buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2023,29.24,집합,제1종근린생활,개인,,,"46,000",31,1,2025,직거래,,1,102-3,준주거,,11260,중랑구,,개인,상봉동
2023,22.2,집합,제1종근린생활,개인,,,"34,613",6,1,2025,직거래,,1,1547,제2종일반주거,,11260,중랑구,,법인,면목동
2001,191.34,일반,제1종근린생활,개인,,,"108,000",15,1,2025,중개거래,서울 송파구,,5**,제3종일반주거,141,11260,중랑구,,개인,신내동
2006,29117.67,일반,판매,법인,,,"5,230,000",7,1,2025,직거래,,,6**,준주거,5993.1,11260,중랑구,,법인,신내동
2016,109.23,집합,제1종근린생활,개인,,,"34,700",22,1,2025,중개거래,서울 중랑구,,514-16,제3종일반주거,,11260,중랑구,,법인,망우동
2016,22.11,집합,제2종근린생활,개인,,,"8,000",2,1,2025,직거래,,1,493-19,제2종일반주거,,11260,중랑구,,법인,망우동
1991,1368.7,일반,제2종근린생활,법인,,,"618,000",9,1,2025,중개거래,서울 중랑구,,1**,제3종일반주거,440.7,11260,중랑구,,개인,상봉동
1990,33.5,집합,판매,개인,,,"3,000",3,1,2025,직거래,,,1077-1,제2종일반주거,,11260,중랑구,,개인,면목동
2017,54.55,집합,제2종근린생활,개인,,,"19,000",17,2,2025,직거래,,2,86-29,준주거,,11260,중랑구,,개인,상봉동
2015,49.18,집합,제2종근린생활,개인,,,"20,660",13,2,2025,직거래,,1,807,준주거,,11260,중랑구,,법인,신내동
2015,52.52,집합,제1종근린생활,개인,,,"22,050",13,2,2025,직거래,,1,807,준주거,,11260,중랑구,,법인,신내동
2000,376.5,일반,제2종근린생활,개인,,,"244,000",14,2,2025,중개거래,서울 중랑구,,1**,제2종일반주거,216.5,11260,중랑구,,개인,면목동
1980,139.28,일반,기타,공공기관,,,"113,451",14,2,2025,직거래,,,4**,제2종일반주거,166,11260,중랑구,,공공기관,신내동
2016,17.92,집합,제2종근린생활,개인,,,"10,800",28,2,2025,중개거래,서울 중랑구,1,508-2,일반상업,,11260,중랑구,,개인,망우동
2003,35.1,집합,교육연구,개인,,,"14,630",21,2,2025,중개거래,서울 중랑구,2,648,준주거,,11260,중랑구,,개인,신내동
1972,11.8,집합,판매,개인,,,"2,300",20,2,2025,중개거래,서울 중랑구,2,160-1,제2종일반주거,,11260,중랑구,,개인,면목동
2016,113.57,집합,제1종근린생활,개인,,,"42,000",19,2,2025,중개거래,서울 중랑구,1,514-16,제3종일반주거,,11260,중랑구,,법인,망우동
2018,34.22,집합,제2종근린생활,개인,,,"17,000",15,2,2025,중개거래,서울 중랑구,2,104-4,준주거,,11260,중랑구,,개인,상봉동
2020,25.2,집합,제2종근린생활,개인,,,"7,600",12,2,2025,직거래,,2,105-45,준주거,,11260,중랑구,,개인,상봉동
2020,34.8,집합,제2종근린생활,개인,,,"9,000",12,2,2025,직거래,,2,105-45,준주거,,11260,중랑구,,개인,상봉동
2020,25.2,집합,제2종근린생활,개인,,,"7,600",12,2,2025,직거래,,2,105-45,준주거,,11260,중랑구,,개인,상봉동
2020,35.54,집합,제2종근린생활,개인,,,"9,100",12,2,2025,직거래,,2,105-45,준주거,,11260,중랑구,,개인,상봉동
2015,43.6,집합,제2종근린생활,개인,,,"23,000",7,2,2025,직거래,,4,130-54,준주거,,11260,중랑구,,개인,상봉동
1996,5.1,집합,제1종근린생활,개인,,,"2,000",7,2,2025,직거래,,1,100-31,제2종일반주거,,11260,중랑구,,개인,면목동
1983,941.5,일반,제1종근린생활,법인,,,"615,000",14,3,2025,중개거래,서울 강남구,,4**,제3종일반주거,415.2,11260,중랑구,,개인,망우동
2002,57.69,집합,제1종근린생활,개인,,,"35,000",31,3,2025,직거래,,1,624-5,제2종일반주거,,11260,중랑구,,개인,면목동
2002,75.75,집합,제2종근린생활,개인,,,"22,500",29,3,2025,중개거래,서울 중랑구,2,68-2,제2종일반주거,,11260,중랑구,,개인,면목동
2002,64.35,집합,제2종근린생활,개인,,,"19,000",29,3,2025,중개거래,서울 중랑구,2,68-2,제2종일반주거,,11260,중랑구,,개인,면목동
2021,23.04,집합,제1종근린생활,개인,,,"20,020",18,3,2025,직거래,,1,152-59,제2종일반주거,,11260,중랑구,,개인,면목동
2021,25.5,집합,제1종근린생활,개인,,,"20,020",18,3,2025,직거래,,1,152-59,제2종일반주거,,11260,중랑구,,개인,면목동
2012,35.16,집합,제2종근린생활,개인,,,"15,000",19,3,2025,중개거래,서울 중랑구,2,117-7,준주거,,11260,중랑구,,개인,면목동
