buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1969,321.82,일반,제1종근린생활,법인,,,"230,000",3,1,2025,중개거래,경기 고양시 덕양구,,1**,일반상업,89.78,11290,성북구,,법인,동선동4가
2003,36.27,집합,교육연구,개인,,,"24,500",24,1,2025,중개거래,서울 성북구,2,222,제3종일반주거,,11290,성북구,,개인,하월곡동
1998,39,집합,제2종근린생활,개인,,,"9,500",13,1,2025,중개거래,서울 성북구,,10,제3종일반주거,,11290,성북구,,개인,석관동
2022,52.17,집합,제1종근린생활,법인,,,"93,750",10,1,2025,직거래,,1,322-22,제2종일반주거,,11290,성북구,,법인,장위동
2022,21.72,집합,제2종근린생활,법인,,,"47,710",10,1,2025,직거래,,1,322-22,제2종일반주거,,11290,성북구,,법인,장위동
2010,365.23,일반,제2종근린생활,개인,,,"170,000",13,1,2025,중개거래,서울 성북구,,3**,제2종일반주거,177.2,11290,성북구,,개인,안암동1가
1970,88.72,일반,제1종근린생활,법인,,,"120,000",13,1,2025,중개거래,서울 강남구,,1***,제3종일반주거,108.4,11290,성북구,,개인,길음동
2007,22.83,집합,제2종근린생활,개인,,,"14,000",9,1,2025,중개거래,서울 성북구,1,227,준주거,,11290,성북구,,개인,하월곡동
2007,8.66,집합,판매,개인,,,"9,000",3,1,2025,중개거래,서울 성북구,1,227,준주거,,11290,성북구,,개인,하월곡동
1989,292.53,일반,제1종근린생활,개인,,,"81,000",25,2,2025,중개거래,서울 강남구,,1*,제2종일반주거,142,11290,성북구,,개인,하월곡동
1992,303.34,일반,제1종근린생활,법인,,,"144,000",14,2,2025,중개거래,서울 강남구,,3**,제2종일반주거,141,11290,성북구,,법인,정릉동
1995,635.54,일반,기타,개인,,,"184,600",20,2,2025,직거래,,,3**,제2종일반주거,455,11290,성북구,,기타,정릉동
1992,181.6,일반,제1종근린생활,개인,,,"44,150",28,2,2025,직거래,,,8*,제2종일반주거,69.75,11290,성북구,지분,개인,안암동1가
2002,26.22,집합,업무,개인,,,"17,200",22,2,2025,중개거래,서울 성북구,3,35-18,제3종일반주거,,11290,성북구,,개인,성북동1가
1993,717.75,일반,제2종근린생활,법인,,,"340,000",28,2,2025,중개거래,서울 강남구,,4*,제2종일반주거,273.4,11290,성북구,,개인,동소문동1가
,1551.29,일반,제2종근린생활,개인,,,"100,000",28,2,2025,직거래,,,7*,제3종일반주거,61.6,11290,성북구,지분,개인,동소문동3가
2003,8.78,집합,제2종근린생활,개인,,,"5,000",28,2,2025,중개거래,서울 강북구,2,222,제3종일반주거,,11290,성북구,,개인,하월곡동
2013,58.11,집합,제1종근린생활,개인,,,"28,800",2,2,2025,중개거래,서울 성북구,6,1191,제3종일반주거,,11290,성북구,,개인,길음동
