buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2021,192.6,집합,숙박,법인,,,"27,500",23,1,2025,직거래,,3,346,자연녹지,,11305,강북구,지분,법인,우이동
1987,364.84,일반,제1종근린생활,법인,,,"205,117",15,1,2025,중개거래,"서울 광진구, 서울 중랑구",,4*,일반상업,153.7,11305,강북구,,법인,수유동
1989,447.82,일반,숙박,법인,,,"210,960",15,1,2025,중개거래,"서울 광진구, 서울 중랑구",,4*,일반상업,146.4,11305,강북구,,법인,수유동
1998,9,집합,판매,개인,,,"7,000",17,1,2025,직거래,,,63,일반상업,,11305,강북구,,개인,수유동
2016,39.92,집합,제2종근린생활,법인,,,"19,840",22,1,2025,직거래,,1,430-46,제3종일반주거,,11305,강북구,,개인,번동
1992,51.14,집합,제1종근린생활,개인,,,"6,000",20,1,2025,중개거래,서울 강북구,2,553-61,제2종일반주거,,11305,강북구,,개인,수유동
1992,52.37,집합,제2종근린생활,개인,,,"10,000",20,1,2025,중개거래,서울 강북구,2,553-61,제2종일반주거,,11305,강북구,,개인,수유동
1992,41.17,집합,제2종근린생활,개인,,,"8,000",20,1,2025,중개거래,서울 강북구,2,553-61,제2종일반주거,,11305,강북구,,개인,수유동
2008,23.68,집합,제2종근린생활,개인,,,"9,800",18,1,2025,중개거래,서울 강북구,2,754-92,제2종일반주거,,11305,강북구,,개인,미아동
1997,639.6,일반,숙박,법인,,,"248,000",13,1,2025,중개거래,서울 강남구,,4**,일반상업,125.6,11305,강북구,,개인,번동
1970,142.18,일반,제1종근린생활,개인,,,"100,000",18,1,2025,중개거래,서울 강북구,,1**,준주거,108.4,11305,강북구,,개인,수유동
1982,941.15,일반,제2종근린생활,법인,,,"480,000",10,1,2025,중개거래,서울 강남구,,3**,제3종일반주거,505.5,11305,강북구,,개인,미아동
1991,31.84,집합,제1종근린생활,법인,,,"12,000",9,1,2025,중개거래,서울 강북구,2,234-2,제3종일반주거,,11305,강북구,,개인,번동
2016,67.5,일반,제1종근린생활,개인,,,"124,000",9,1,2025,중개거래,서울 도봉구,,1**,제3종일반주거,143.1,11305,강북구,,개인,미아동
1998,28.31,집합,판매,개인,,,"1,300",24,2,2025,직거래,,,63,일반상업,,11305,강북구,,개인,수유동
1992,531.12,일반,제2종근린생활,개인,,,"22,600",13,2,2025,직거래,,,*,제3종일반주거,48.85,11305,강북구,지분,개인,수유동
1991,31.84,집합,제1종근린생활,개인,,,"15,500",17,2,2025,중개거래,서울 강북구,2,234-2,제3종일반주거,,11305,강북구,,법인,번동
