buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1990,56,집합,제2종근린생활,개인,,,"19,500",22,1,2025,직거래,,,5,일반상업,,11320,도봉구,,개인,창동
2016,45.5,집합,제2종근린생활,개인,,,"17,500",23,1,2025,중개거래,서울 광진구,2,668-2,준주거,,11320,도봉구,,개인,쌍문동
1992,15.6,집합,교육연구,개인,,,"5,650",22,1,2025,중개거래,서울 도봉구,,215-1,제3종일반주거,,11320,도봉구,,개인,쌍문동
2003,49.36,집합,제1종근린생활,개인,,,"24,700",10,1,2025,중개거래,서울 도봉구,1,442-44,제3종일반주거,,11320,도봉구,,개인,창동
1990,36,집합,제1종근린생활,개인,,,"14,900",31,1,2025,중개거래,서울 도봉구,,271-4,제3종일반주거,,11320,도봉구,,개인,방학동
1992,14.63,집합,제2종근린생활,개인,,,"4,900",31,1,2025,직거래,,1,215-1,제3종일반주거,,11320,도봉구,,개인,쌍문동
2020,89.77,집합,업무,개인,,,"12,000",16,1,2025,중개거래,서울 강북구,,494-1,제1종일반주거,,11320,도봉구,,개인,쌍문동
,40.59,집합,제2종근린생활,개인,,,"11,000",14,2,2025,중개거래,서울 도봉구,1,674-109,준공업,,11320,도봉구,,법인,창동
1983,636.3,일반,제1종근린생활,법인,,,"199,000",7,2,2025,중개거래,서울 도봉구,,7**,준공업,241.3,11320,도봉구,,개인,방학동
2021,35.58,집합,제2종근린생활,개인,,,"9,000",13,2,2025,중개거래,서울 노원구,1,694-14,제2종일반주거,,11320,도봉구,,개인,방학동
2023,4694.36,일반,기타,개인,,,"2,350,000",26,3,2025,중개거래,서울 동대문구,,6**,제2종일반주거,1382.4,11320,도봉구,,개인,도봉동
2005,51.81,집합,교육연구,개인,,,"22,700",18,3,2025,중개거래,서울 도봉구,7,14,일반상업,,11320,도봉구,,법인,창동
1995,1301.56,집합,제2종근린생활,개인,,,"53,333",22,4,2025,직거래,,3,804,준공업,,11320,도봉구,지분,법인,창동
1991,13.28,집합,기타,개인,,,500,24,4,2025,직거래,,,10,일반상업,,11320,도봉구,지분,개인,창동
2000,183.56,일반,제1종근린생활,개인,,,"200,000",30,4,2025,중개거래,서울 도봉구,,6**,제3종일반주거,181.8,11320,도봉구,,법인,방학동
1992,9.52,집합,판매,개인,,,"19,700",16,4,2025,중개거래,서울 도봉구,1,45,제3종일반주거,,11320,도봉구,,개인,창동
1992,16.8,집합,제1종근린생활,개인,,,"34,800",16,4,2025,중개거래,서울 도봉구,1,45,제3종일반주거,,11320,도봉구,,개인,창동
2023,55.9,집합,제2종근린생활,개인,,,"13,000",18,4,2025,직거래,,,75-3,제2종일반주거,,11320,도봉구,,개인,쌍문동
2004,28.13,집합,제1종근린생활,개인,,,"33,500",15,4,2025,중개거래,서울 도봉구,1,296-1,준주거,,11320,도봉구,,개인,창동
2021,25.56,집합,제1종근린생활,법인,,,"21,808",15,4,2025,직거래,,1,711-1,준공업,,11320,도봉구,,법인,방학동
2021,45.44,집합,제1종근린생활,법인,,,"38,692",15,4,2025,직거래,,1,711-1,준공업,,11320,도봉구,,법인,방학동
2021,31.24,집합,제1종근린생활,법인,,,"26,604",15,4,2025,직거래,,1,711-1,준공업,,11320,도봉구,,법인,방학동
2021,25.56,집합,제1종근린생활,법인,,,"21,808",15,4,2025,직거래,,1,711-1,준공업,,11320,도봉구,,법인,방학동
1995,12.9,집합,제2종근린생활,개인,,,"2,000",9,4,2025,중개거래,서울 도봉구,,30-1,준공업,,11320,도봉구,,개인,도봉동
1998,15.5,집합,제1종근린생활,개인,,,"13,700",22,5,2025,중개거래,서울 은평구,,723,제3종일반주거,,11320,도봉구,,개인,쌍문동
2005,82.71,집합,제2종근린생활,법인,,,"29,000",15,5,2025,중개거래,서울 도봉구,9,14,일반상업,,11320,도봉구,,법인,창동
2016,18.83,집합,제2종근린생활,개인,,,"4,100",31,5,2025,중개거래,서울 도봉구,,460-2,제1종일반주거,,11320,도봉구,,개인,쌍문동
2010,30.98,집합,판매,개인,,,"8,000",28,5,2025,중개거래,서울 도봉구,2,657,제2종일반주거,,11320,도봉구,,개인,도봉동
2012,45.51,집합,제2종근린생활,개인,,,"12,000",21,5,2025,직거래,,3,731-40,준주거,,11320,도봉구,,법인,창동
1989,1495.3,일반,제2종근린생활,법인,,,"475,000",24,6,2025,중개거래,서울 도봉구,,6**,제2종일반주거,560.8,11320,도봉구,,개인,방학동
2003,53.43,집합,교육연구,개인,,,"22,000",25,6,2025,중개거래,서울 도봉구,4,720-33,준공업,,11320,도봉구,,개인,방학동
2003,198.9,집합,제1종근린생활,개인,,,"87,000",27,6,2025,중개거래,서울 도봉구,3,720-33,준공업,,11320,도봉구,,개인,방학동
1989,32.4,집합,제1종근린생활,개인,,,"68,000",27,6,2025,중개거래,서울 도봉구,1,135-14,제2종일반주거,,11320,도봉구,,개인,창동
,591.21,일반,제1종근린생활,개인,,,"140,000",19,6,2025,중개거래,서울 종로구,,6**,제2종일반주거,206.6,11320,도봉구,,개인,방학동
2010,347.58,일반,제2종근린생활,개인,,,"104,800",14,6,2025,중개거래,"서울 도봉구, 서울 송파구",,8*,일반상업,95.5,11320,도봉구,,개인,쌍문동
2003,32.97,집합,제1종근린생활,개인,,,"18,000",21,6,2025,중개거래,서울 도봉구,2,716-5,준주거,,11320,도봉구,,개인,방학동
2016,45.46,집합,제2종근린생활,개인,,,"16,000",20,6,2025,중개거래,서울 강북구,2,668-2,준주거,,11320,도봉구,,개인,쌍문동
1992,65.52,집합,업무,개인,,,"20,000",11,6,2025,중개거래,서울 도봉구,4,4,일반상업,,11320,도봉구,,개인,창동
1999,103.7,집합,제2종근린생활,개인,,,"22,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
1999,123.05,집합,제2종근린생활,개인,,,"26,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
1999,128.8,집합,제2종근린생활,개인,,,"28,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
1999,130.96,집합,제2종근린생활,개인,,,"28,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
1999,130.97,집합,제2종근린생활,개인,,,"28,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
1999,116.25,집합,제1종근린생활,개인,,,"25,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
1999,60,집합,제1종근린생활,개인,,,"13,000",4,6,2025,직거래,,1,307-2,제2종일반주거,,11320,도봉구,,개인,방학동
2013,299.18,일반,기타,법인,,,"111,000",4,6,2025,중개거래,서울 도봉구,,2**,준공업,178,11320,도봉구,,개인,창동
1993,623.96,집합,업무,기타,,,"335,000",7,7,2025,직거래,,,15-1,일반상업,,11320,도봉구,,개인,창동
2022,66.28,집합,제1종근린생활,개인,,,"41,000",31,7,2025,직거래,,1,475-11,제2종일반주거,,11320,도봉구,,개인,창동
2019,83.08,집합,제1종근린생활,개인,,,"62,000",9,7,2025,직거래,,,700-72,제2종일반주거,,11320,도봉구,지분,개인,창동
1987,25.92,집합,제2종근린생활,개인,,,"15,000",15,7,2025,중개거래,서울 도봉구,1,299,제3종일반주거,,11320,도봉구,,개인,창동
2022,16.28,집합,제1종근린생활,법인,,,"10,000",2,7,2025,중개거래,서울 성북구,1,520-3,제2종일반주거,,11320,도봉구,,개인,창동
1972,82.48,일반,제2종근린생활,개인,,,"170,000",23,8,2025,중개거래,서울 도봉구,,6**,준주거,270.8,11320,도봉구,,개인,도봉동
