buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2005,7.34,집합,판매,법인,,,"2,200",31,1,2025,직거래,,,292-1,준주거,,11350,노원구,,개인,상계동
2007,36.13,일반,제2종근린생활,개인,,,"51,750",9,1,2025,직거래,,,2**,제1종일반주거,76,11350,노원구,,개인,하계동
1979,233.49,일반,제1종근린생활,법인,,,"22,830",15,1,2025,직거래,,,1**,제2종일반주거,70.5,11350,노원구,지분,개인,하계동
1988,33.51,집합,제1종근린생활,개인,,,"30,000",14,1,2025,중개거래,서울 노원구,2,692-4,제3종일반주거,,11350,노원구,,개인,상계동
1993,144.39,집합,교육연구,개인,,,"117,000",18,1,2025,중개거래,서울 노원구,,364-22,준주거,,11350,노원구,,개인,중계동
2002,19.81,집합,업무,개인,,,"6,450",31,1,2025,중개거래,서울 노원구,4,635-4,자연녹지,,11350,노원구,,개인,월계동
1989,12.5,집합,판매,개인,,,"8,500",24,1,2025,중개거래,서울 노원구,,505,제3종일반주거,,11350,노원구,지분,개인,중계동
1993,98.4,집합,교육연구,개인,,,"72,000",23,1,2025,중개거래,"경기 김포시, 서울 노원구",5,366-6,일반상업,,11350,노원구,,개인,중계동
2004,13.38,집합,판매,개인,,,"12,000",3,1,2025,중개거래,서울 노원구,1,509-1,일반상업,,11350,노원구,,개인,중계동
1999,18.32,집합,제2종근린생활,개인,,,"4,750",13,1,2025,중개거래,서울 노원구,2,1285,제3종일반주거,,11350,노원구,,법인,상계동
1999,18.32,집합,제2종근린생활,개인,,,"4,750",13,1,2025,중개거래,서울 노원구,2,1285,제3종일반주거,,11350,노원구,,법인,상계동
2002,20.32,집합,업무,개인,,,"6,600",6,1,2025,중개거래,서울 노원구,6,635-4,제3종일반주거,,11350,노원구,,개인,월계동
2000,27.85,집합,업무,개인,,,"16,500",4,1,2025,중개거래,서울 노원구,,360-9,준주거,,11350,노원구,,개인,중계동
1995,30.31,집합,제1종근린생활,개인,,,"18,000",2,1,2025,중개거래,서울 노원구,1,995,제2종일반주거,,11350,노원구,,개인,상계동
1987,171.48,일반,제1종근린생활,개인,,,"129,000",27,2,2025,중개거래,서울 노원구,,7*,제2종일반주거,136,11350,노원구,,개인,월계동
1992,27.55,집합,제2종근린생활,법인,,,"19,250",8,2,2025,중개거래,서울 노원구,2,359-7,제3종일반주거,,11350,노원구,,개인,중계동
1994,1559.06,일반,제2종근린생활,개인,,,"48,000",11,2,2025,직거래,,,1***,제3종일반주거,55.42,11350,노원구,지분,개인,상계동
1988,140.05,집합,제1종근린생활,개인,,,"1,900",3,2,2025,직거래,,,730-3,준주거,,11350,노원구,지분,개인,상계동
1991,24.3,일반,판매,법인,,,"5,500",10,2,2025,직거래,,,5**,일반상업,3.4,11350,노원구,지분,개인,중계동
1989,13.45,집합,제1종근린생활,개인,,,"16,000",11,2,2025,중개거래,서울 노원구,,173-1,제3종일반주거,,11350,노원구,,개인,상계동
2005,3.9,집합,제1종근린생활,법인,,,"2,400",5,2,2025,직거래,,10,292-1,준주거,,11350,노원구,,개인,상계동
2000,23.75,집합,업무,개인,,,"16,900",4,2,2025,중개거래,서울 노원구,,360-9,준주거,,11350,노원구,,개인,중계동
1989,66.65,집합,제1종근린생활,개인,,,"82,500",1,2,2025,중개거래,"서울 노원구, 서울 서초구",3,731-3,일반상업,,11350,노원구,,개인,상계동
1990,76.68,집합,제2종근린생활,법인,,,"73,000",20,3,2025,중개거래,서울 노원구,5,724-1,일반상업,,11350,노원구,,개인,상계동
