buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2018,24.3,집합,제1종근린생활,개인,,,"7,500",23,1,2025,중개거래,서울 은평구,1,110-6,제3종일반주거,,11380,은평구,,개인,녹번동
,27.07,집합,제1종근린생활,개인,,,"5,000",15,1,2025,직거래,,2,277-17,자연녹지,,11380,은평구,,개인,진관동
2022,342.54,일반,제1종근린생활,법인,,,"266,000",23,1,2025,중개거래,서울 중구,,5*,제3종일반주거,195,11380,은평구,,법인,녹번동
2011,36.53,집합,제2종근린생활,개인,,,"17,700",20,1,2025,중개거래,서울 은평구,2,111-53,준주거,,11380,은평구,,개인,응암동
2013,93.91,집합,교육연구,개인,,,"49,500",10,1,2025,직거래,,6,72,일반상업,,11380,은평구,,개인,진관동
2005,6.59,집합,판매,개인,,,"5,500",31,1,2025,직거래,,,240,일반상업,,11380,은평구,,개인,대조동
2010,27.45,집합,제2종근린생활,개인,,,"6,800",21,1,2025,중개거래,서울 은평구,1,156-25,제2종일반주거,,11380,은평구,,개인,녹번동
2010,34.35,집합,제2종근린생활,개인,,,"8,800",16,1,2025,중개거래,서울 은평구,1,327-7,제2종일반주거,,11380,은평구,,개인,갈현동
2011,74.04,집합,제2종근린생활,개인,,,"22,500",4,1,2025,중개거래,서울 은평구,2,62-56,제3종일반주거,,11380,은평구,,개인,역촌동
2018,28.14,집합,제2종근린생활,개인,,,"11,000",11,1,2025,중개거래,서울 은평구,1,599-2,근린상업,,11380,은평구,,개인,응암동
,535.24,일반,제2종근린생활,법인,,,"153,000",13,1,2025,중개거래,"서울 동작구, 서울 중구",,1**,준주거,166.3,11380,은평구,,개인,대조동
1984,239.1,일반,제2종근린생활,개인,,,"86,070",10,1,2025,중개거래,서울 은평구,,2**,제2종일반주거,165,11380,은평구,,개인,갈현동
2005,4.97,집합,판매,개인,,,"3,000",8,1,2025,직거래,,,240,일반상업,,11380,은평구,,개인,대조동
2014,41.59,집합,제2종근린생활,개인,,,"14,000",10,1,2025,중개거래,서울 은평구,6,28-16,준주거,,11380,은평구,,개인,대조동
1998,51,집합,교육연구,기타,,,"14,000",4,1,2025,중개거래,서울 은평구,2,382,제2종일반주거,,11380,은평구,,개인,구산동
1998,51,집합,교육연구,기타,,,"14,000",4,1,2025,중개거래,서울 은평구,2,382,제2종일반주거,,11380,은평구,,개인,구산동
2005,4.97,집합,판매,개인,,,"2,900",3,1,2025,중개거래,서울 은평구,,240,일반상업,,11380,은평구,,개인,대조동
1995,437.18,일반,제2종근린생활,법인,,,"130,000",28,2,2025,중개거래,서울 은평구,,*,제2종일반주거,163.6,11380,은평구,,개인,구산동
2001,52.06,집합,제1종근린생활,개인,,,"7,500",25,2,2025,직거래,,,42-41,준주거,,11380,은평구,,개인,역촌동
2022,23.68,집합,업무,법인,,,"14,000",19,2,2025,중개거래,서울 은평구,,68-3,제3종일반주거,,11380,은평구,,개인,진관동
2023,56.63,집합,제1종근린생활,개인,,,"30,000",13,2,2025,직거래,,1,476-2,제2종일반주거,,11380,은평구,,개인,갈현동
2002,76.5,집합,제1종근린생활,개인,,,"25,000",25,2,2025,직거래,,1,38-47,준주거,,11380,은평구,,개인,역촌동
2019,1057.95,집합,교육연구,개인,,,"100,000",10,2,2025,직거래,,,283-2,제2종일반주거,,11380,은평구,지분,개인,녹번동
2002,51.3,집합,제1종근린생활,법인,,,"9,000",13,2,2025,직거래,,,277-17,개발제한구역,,11380,은평구,,법인,진관동
2017,45.27,집합,제2종근린생활,개인,,,"22,500",28,2,2025,직거래,,1,60,일반상업,,11380,은평구,지분,개인,진관동
2005,4.37,집합,판매,법인,,,"1,000",26,2,2025,직거래,,,240,일반상업,,11380,은평구,,개인,대조동
2005,4.37,집합,판매,법인,,,"1,000",26,2,2025,직거래,,,240,일반상업,,11380,은평구,,개인,대조동
2012,69.01,집합,제2종근린생활,개인,,,"21,000",25,2,2025,직거래,,2,24-10,제3종일반주거,,11380,은평구,,개인,신사동
2010,57.84,집합,제2종근린생활,개인,,,"21,500",22,2,2025,중개거래,서울 은평구,3,480-23,제2종일반주거,,11380,은평구,,개인,갈현동
2021,57.88,집합,제1종근린생활,개인,,,"55,000",11,2,2025,중개거래,서울 은평구,1,2-1,제3종일반주거,,11380,은평구,,개인,역촌동
2017,48.95,집합,제2종근린생활,개인,,,"143,000",4,2,2025,중개거래,"서울 강남구, 서울 송파구",1,64,일반상업,,11380,은평구,,개인,진관동
2005,23.13,집합,제2종근린생활,법인,,,"2,500",13,2,2025,직거래,,,240,일반상업,,11380,은평구,,개인,대조동
2023,53.04,집합,제1종근린생활,개인,,,"70,000",3,2,2025,중개거래,서울 은평구,1,226-19,준주거,,11380,은평구,,개인,대조동
