buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1981,175.54,일반,제1종근린생활,법인,,,"123,000",23,1,2025,직거래,,,4*,제3종일반주거,149,11410,서대문구,,개인,홍은동
2023,65.66,집합,제1종근린생활,개인,,,"50,000",23,1,2025,직거래,,,413-135,제2종일반주거,,11410,서대문구,,법인,연희동
2005,165.96,집합,제1종근린생활,법인,,,"100,180",24,1,2025,중개거래,서울 강남구,,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,27.64,집합,제1종근린생활,법인,,,"17,926",24,1,2025,중개거래,서울 강남구,1,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,26.28,집합,제1종근린생활,법인,,,"17,036",24,1,2025,중개거래,서울 강남구,1,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,24.73,집합,제1종근린생활,법인,,,"16,034",24,1,2025,중개거래,서울 강남구,1,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,23.63,집합,제2종근린생활,법인,,,"15,321",24,1,2025,중개거래,서울 강남구,1,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,22.54,집합,제1종근린생활,법인,,,"14,618",24,1,2025,중개거래,서울 강남구,1,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,31.34,집합,제2종근린생활,법인,,,"20,321",24,1,2025,중개거래,서울 강남구,1,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,154.56,집합,제1종근린생활,법인,,,"97,420",24,1,2025,중개거래,서울 강남구,2,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2005,144.61,집합,제1종근린생활,법인,,,"91,144",24,1,2025,중개거래,서울 강남구,3,379-2,제3종일반주거,,11410,서대문구,,개인,남가좌동
2018,70.2,집합,판매,개인,,,"48,000",23,1,2025,중개거래,서울 서대문구,,1013,제2종일반주거,,11410,서대문구,,개인,북아현동
2001,50.11,집합,업무,개인,,,"23,000",27,1,2025,중개거래,서울 서대문구,19,110-20,일반상업,,11410,서대문구,,개인,대현동
2005,206.88,일반,제2종근린생활,법인,,,"210,000",6,1,2025,중개거래,서울 강남구,,5*,제3종일반주거,138.2,11410,서대문구,,개인,창천동
1992,10.31,집합,제1종근린생활,개인,,,"4,800",15,1,2025,중개거래,서울 서대문구,,345-4,제2종일반주거,,11410,서대문구,,개인,남가좌동
2001,28.9,집합,업무,개인,,,"14,000",21,1,2025,중개거래,서울 서대문구,3,110-20,일반상업,,11410,서대문구,,개인,대현동
2001,28.9,집합,업무,개인,,,"14,500",4,1,2025,중개거래,서울 서대문구,6,110-20,일반상업,,11410,서대문구,,개인,대현동
2015,16.82,집합,제2종근린생활,법인,,,"29,400",3,1,2025,중개거래,서울 서대문구,1,1011,제2종일반주거,,11410,서대문구,,개인,북아현동
2006,395.91,일반,제2종근린생활,법인,,,"422,855",19,2,2025,직거래,,,3*,제2종일반주거,206.8,11410,서대문구,,법인,창천동
1960,84.88,일반,제2종근린생활,법인,,,"314,823",19,2,2025,직거래,,,3*,제2종일반주거,181.1,11410,서대문구,,법인,창천동
2007,50.4,집합,제1종근린생활,개인,,,"21,000",26,2,2025,직거래,,,194-30,제3종일반주거,,11410,서대문구,,개인,연희동
2024,60.04,집합,판매,개인,,,"52,000",27,2,2025,직거래,,1,396,준주거,,11410,서대문구,,개인,남가좌동
,26.45,일반,제1종근린생활,법인,,,"207,600",18,2,2025,중개거래,서울 서대문구,,3**,일반상업,70.1,11410,서대문구,,개인,영천동
2023,315.56,집합,제2종근린생활,기타,,,"130,800",20,2,2025,직거래,,,469,제1종일반주거,,11410,서대문구,,법인,홍은동
2007,3.8,집합,판매,개인,,,"3,350",17,2,2025,중개거래,서울 구로구,,145,일반상업,,11410,서대문구,,개인,대현동
