buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2017,1961.91,일반,업무,법인,,,"1,600,000",20,1,2025,중개거래,서울 강남구,,4**,제2종일반주거,1228,11440,마포구,,개인,대흥동
2010,139.98,집합,기타,개인,,,"260,000",25,1,2025,중개거래,서울 마포구,31,1641,제3종일반주거,,11440,마포구,,개인,상암동
1997,15.58,집합,판매,개인,,,"20,000",22,1,2025,직거래,,,550,제3종일반주거,,11440,마포구,,개인,도화동
1987,41.66,집합,업무,개인,,,"20,000",20,1,2025,중개거래,서울 마포구,,136-1,준주거,,11440,마포구,,개인,마포동
2015,78.41,집합,제2종근린생활,개인,,,"160,000",23,1,2025,직거래,,,476,준주거,,11440,마포구,,개인,공덕동
1961,125.16,일반,제1종근린생활,법인,,,"130,000",25,1,2025,중개거래,서울 마포구,,2**,제2종일반주거,79,11440,마포구,,개인,신수동
1989,274.69,일반,제1종근린생활,법인,,,"315,000",13,1,2025,중개거래,서울 강남구,,2*,제3종일반주거,152,11440,마포구,,개인,신수동
2022,32.14,집합,제2종근린생활,개인,,,"56,500",21,1,2025,직거래,,2,804,제2종일반주거,,11440,마포구,,개인,아현동
2007,42.84,집합,제2종근린생활,개인,,,"9,000",31,1,2025,직거래,,,1601,일반상업,,11440,마포구,지분,개인,상암동
2017,70,집합,제2종근린생활,법인,,,"88,698",15,1,2025,중개거래,서울 서초구,1,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제2종근린생활,법인,,,"88,698",15,1,2025,중개거래,서울 서초구,1,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,35,집합,제2종근린생활,법인,,,"44,350",15,1,2025,중개거래,서울 서초구,1,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제2종근린생활,법인,,,"88,698",15,1,2025,중개거래,서울 서초구,1,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제1종근린생활,법인,,,"88,698",15,1,2025,중개거래,서울 서초구,1,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,52.5,집합,제2종근린생활,법인,,,"66,525",15,1,2025,중개거래,서울 서초구,1,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제1종근린생활,법인,,,"86,789",15,1,2025,중개거래,서울 서초구,2,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,105,집합,제1종근린생활,법인,,,"130,197",15,1,2025,중개거래,서울 서초구,2,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제1종근린생활,법인,,,"86,789",15,1,2025,중개거래,서울 서초구,2,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제1종근린생활,법인,,,"86,789",15,1,2025,중개거래,서울 서초구,2,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,70,집합,제2종근린생활,법인,,,"86,789",15,1,2025,중개거래,서울 서초구,2,334-13,제2종일반주거,,11440,마포구,,개인,상수동
2017,121.76,집합,제2종근린생활,법인,,,"150,976",15,1,2025,중개거래,서울 서초구,3,334-13,제2종일반주거,,11440,마포구,,개인,상수동
