buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1997,188.7,집합,제2종근린생활,개인,,,"68,000",17,1,2025,직거래,,1,948-24,제3종일반주거,,11470,양천구,,개인,신정동
2003,81.77,집합,제2종근린생활,법인,,,"14,500",20,1,2025,중개거래,서울 양천구,,603-2,제3종일반주거,,11470,양천구,,개인,목동
1996,40.66,집합,제1종근린생활,개인,,,"27,000",22,1,2025,중개거래,"서울 도봉구, 서울 양천구",2,923,일반상업,,11470,양천구,,개인,목동
1981,36,집합,업무,개인,,,"35,000",31,1,2025,직거래,,2,1315-9,일반상업,,11470,양천구,,개인,신정동
2000,4.54,집합,제2종근린생활,개인,,,700,9,1,2025,직거래,,,905-22,일반상업,,11470,양천구,지분,개인,목동
2005,89.84,집합,제1종근린생활,개인,,,"41,500",13,1,2025,중개거래,서울 양천구,5,1031-9,근린상업,,11470,양천구,,법인,신정동
2005,69.42,집합,교육연구,개인,,,"74,000",10,1,2025,중개거래,서울 양천구,3,907-13,일반상업,,11470,양천구,,개인,목동
2011,127.34,집합,제2종근린생활,개인,,,"48,000",8,1,2025,중개거래,서울 양천구,4,1320-4,준주거,,11470,양천구,,개인,신정동
2016,44.37,집합,업무,법인,,,"24,900",28,2,2025,중개거래,서울 양천구,9,1009-4,제3종일반주거,,11470,양천구,,개인,신정동
2003,132.25,집합,교육연구,개인,,,"35,000",27,2,2025,중개거래,서울 양천구,2,761-89,제2종일반주거,,11470,양천구,,개인,신정동
2023,687.68,집합,기타,법인,,,"184,708",3,2,2025,직거래,,,319-26,일반상업,,11470,양천구,,법인,신정동
2023,689.78,집합,기타,법인,,,"184,708",3,2,2025,직거래,,,319-26,일반상업,,11470,양천구,,법인,신정동
2023,54.07,집합,제1종근린생활,법인,,,"18,475",3,2,2025,직거래,,,319-26,일반상업,,11470,양천구,,법인,신정동
2023,168.91,집합,제1종근린생활,법인,,,"65,596",3,2,2025,직거래,,,319-26,일반상업,,11470,양천구,,법인,신정동
2023,100.11,집합,제1종근린생활,법인,,,"220,942",3,2,2025,직거래,,1,319-26,일반상업,,11470,양천구,,법인,신정동
2023,41.76,집합,제1종근린생활,법인,,,"81,705",3,2,2025,직거래,,1,319-26,일반상업,,11470,양천구,,법인,신정동
2023,150.79,집합,제1종근린생활,법인,,,"314,148",3,2,2025,직거래,,1,319-26,일반상업,,11470,양천구,,법인,신정동
2023,168.14,집합,제2종근린생활,법인,,,"134,639",3,2,2025,직거래,,2,319-26,일반상업,,11470,양천구,,법인,신정동
2023,38.57,집합,제2종근린생활,법인,,,"30,271",3,2,2025,직거래,,2,319-26,일반상업,,11470,양천구,,법인,신정동
2023,127.52,집합,제2종근린생활,법인,,,"101,844",3,2,2025,직거래,,2,319-26,일반상업,,11470,양천구,,법인,신정동
2023,204.74,집합,제2종근린생활,법인,,,"139,240",3,2,2025,직거래,,3,319-26,일반상업,,11470,양천구,,법인,신정동
2023,38.57,집합,제2종근린생활,법인,,,"25,610",3,2,2025,직거래,,3,319-26,일반상업,,11470,양천구,,법인,신정동
2023,58,집합,제2종근린생활,법인,,,"39,476",3,2,2025,직거래,,3,319-26,일반상업,,11470,양천구,,법인,신정동
2023,197.34,집합,제2종근린생활,법인,,,"134,062",3,2,2025,직거래,,4,319-26,일반상업,,11470,양천구,,법인,신정동
2023,38.57,집합,제2종근린생활,법인,,,"25,610",3,2,2025,직거래,,4,319-26,일반상업,,11470,양천구,,법인,신정동
1981,36,집합,업무,법인,,,"35,000",27,2,2025,직거래,,,1315-9,일반상업,,11470,양천구,,개인,신정동
2000,35.91,집합,판매,개인,,,"25,000",24,2,2025,중개거래,서울 양천구,1,905-22,일반상업,,11470,양천구,,개인,목동
2016,23.7,집합,제2종근린생활,개인,,,"23,000",22,2,2025,중개거래,서울 양천구,2,527-16,제2종일반주거,,11470,양천구,,개인,목동
1996,243.78,집합,판매,개인,,,"48,000",20,2,2025,중개거래,서울 중구,,905-2,제2종일반주거,,11470,양천구,,개인,신정동
2016,30.67,집합,제2종근린생활,개인,,,"22,300",10,2,2025,중개거래,서울 양천구,2,527-17,제2종일반주거,,11470,양천구,,개인,목동
2006,95.52,집합,교육연구,개인,,,"73,500",17,2,2025,중개거래,서울 양천구,2,86-8,제2종일반주거,,11470,양천구,,개인,신정동
1996,298.74,일반,제2종근린생활,법인,,,"158,000",4,2,2025,중개거래,서울 양천구,,1**,제3종일반주거,116,11470,양천구,,개인,신정동
1996,20.59,집합,교육연구,개인,,,"13,000",1,2,2025,중개거래,"서울 도봉구, 서울 양천구",7,923,일반상업,,11470,양천구,,개인,목동
1996,31.77,집합,교육연구,개인,,,"19,200",1,2,2025,중개거래,"서울 도봉구, 서울 양천구",7,923,일반상업,,11470,양천구,,개인,목동
2003,106.93,집합,제1종근린생활,법인,,,"32,500",3,2,2025,직거래,,4,1267,제3종일반주거,,11470,양천구,,개인,신정동
2003,106.93,집합,제1종근린생활,법인,,,"32,500",3,2,2025,직거래,,4,1267,제3종일반주거,,11470,양천구,,개인,신정동
1988,187.42,일반,제1종근린생활,기타,,,"357,258",11,3,2025,직거래,,,9**,일반상업,152,11470,양천구,,공공기관,목동
2023,53.21,집합,제1종근린생활,개인,,,"57,691",28,3,2025,직거래,,1,994-10,준주거,,11470,양천구,,법인,신월동
2023,93.56,집합,제2종근린생활,개인,,,"43,426",28,3,2025,직거래,,2,994-10,준주거,,11470,양천구,,법인,신월동
2023,84.96,집합,제2종근린생활,개인,,,"38,601",28,3,2025,직거래,,2,994-10,준주거,,11470,양천구,,법인,신월동
2023,93.56,집합,제2종근린생활,개인,,,"37,132",28,3,2025,직거래,,3,994-10,준주거,,11470,양천구,,법인,신월동
2023,84.96,집합,제2종근린생활,개인,,,"32,936",28,3,2025,직거래,,3,994-10,준주거,,11470,양천구,,법인,신월동
1994,478.82,일반,제1종근린생활,법인,,,"292,500",24,3,2025,중개거래,서울 강남구,,1**,제3종일반주거,175,11470,양천구,,개인,신정동
2006,117.06,집합,교육연구,개인,,,"65,000",18,3,2025,중개거래,서울 양천구,9,321-6,일반상업,,11470,양천구,,개인,신정동
1981,36,집합,업무,개인,,,"38,000",25,3,2025,중개거래,서울 양천구,,1315-9,일반상업,,11470,양천구,,개인,신정동
2007,18.42,집합,제2종근린생활,개인,,,"5,000",31,3,2025,중개거래,서울 양천구,1,324-94,제2종일반주거,,11470,양천구,,개인,목동
2011,53.16,집합,제2종근린생활,개인,,,"15,500",30,3,2025,중개거래,서울 양천구,1,725-8,제2종일반주거,,11470,양천구,,개인,목동
