buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2018,40.4,집합,업무,개인,,,"20,500",15,1,2025,중개거래,서울 강서구,10,801-1,일반상업,,11500,강서구,,개인,마곡동
1995,51.41,집합,교육연구,개인,,,"16,500",22,1,2025,중개거래,"서울 강서구, 서울 도봉구",,698-1,준주거,,11500,강서구,,개인,등촌동
2017,20.68,집합,숙박,개인,,,"14,300",22,1,2025,중개거래,서울 강서구,11,797-12,일반상업,,11500,강서구,,개인,마곡동
2015,15.64,집합,숙박,개인,,,"9,000",16,1,2025,중개거래,서울 강서구,13,797-11,일반상업,,11500,강서구,,개인,마곡동
2015,19.72,집합,숙박,개인,,,"10,500",31,1,2025,중개거래,서울 강서구,7,797-11,일반상업,,11500,강서구,,개인,마곡동
2003,76.09,집합,기타,개인,,,"38,000",20,1,2025,중개거래,서울 강서구,10,669-1,제3종일반주거,,11500,강서구,,개인,등촌동
2019,28.44,집합,업무,법인,,,"20,000",31,1,2025,직거래,,4,799-6,준주거,,11500,강서구,,개인,마곡동
2017,27.62,집합,판매,개인,,,"38,000",13,1,2025,중개거래,서울 강서구,,760,일반상업,,11500,강서구,,개인,마곡동
1992,297.5,일반,제1종근린생활,개인,,,"120,000",24,1,2025,중개거래,서울 강서구,,5**,제2종일반주거,126,11500,강서구,,개인,방화동
2019,50.54,집합,제1종근린생활,개인,,,"185,709",2,1,2025,직거래,,1,798-4,준주거,,11500,강서구,,법인,마곡동
2019,49.92,집합,제1종근린생활,개인,,,"183,443",2,1,2025,직거래,,1,798-4,준주거,,11500,강서구,,법인,마곡동
2019,50.54,집합,제1종근린생활,개인,,,"182,104",2,1,2025,직거래,,1,798-4,준주거,,11500,강서구,,법인,마곡동
2011,29,집합,제2종근린생활,개인,,,"10,500",10,1,2025,중개거래,서울 강서구,2,983-3,제3종일반주거,,11500,강서구,,개인,화곡동
2024,151.42,집합,업무,법인,,,"175,750",16,1,2025,중개거래,서울 강서구,,767-4,일반상업,,11500,강서구,지분,법인,마곡동
2017,28.86,집합,업무,법인,,,"18,000",16,1,2025,중개거래,서울 강서구,,757,일반상업,,11500,강서구,,개인,마곡동
2017,28.86,집합,업무,법인,,,"18,000",16,1,2025,중개거래,서울 강서구,,757,일반상업,,11500,강서구,,개인,마곡동
,30.86,집합,업무,개인,,,"20,700",20,1,2025,중개거래,서울 강서구,,759-1,일반상업,,11500,강서구,,개인,마곡동
,32.14,집합,업무,개인,,,"22,000",20,1,2025,중개거래,서울 강서구,,759-1,일반상업,,11500,강서구,,개인,마곡동
