buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2007,15.66,집합,업무,개인,,,"16,000",27,1,2025,직거래,,,337,일반상업,,11530,구로구,,법인,신도림동
1998,6.9,집합,판매,개인,,,"1,200",25,1,2025,직거래,,4,73-3,준공업,,11530,구로구,,개인,고척동
1998,6.9,집합,판매,개인,,,"1,200",25,1,2025,직거래,,4,73-3,준공업,,11530,구로구,,개인,고척동
2018,29.41,집합,제2종근린생활,개인,,,"18,500",23,1,2025,중개거래,서울 구로구,1,357,준주거,,11530,구로구,,개인,오류동
2018,34.29,집합,제2종근린생활,개인,,,"21,500",23,1,2025,중개거래,서울 구로구,1,357,준주거,,11530,구로구,,개인,오류동
2003,39.6,집합,제1종근린생활,개인,,,"97,400",9,1,2025,직거래,,1,603-9,준주거,,11530,구로구,,개인,구로동
,19.64,집합,판매,개인,,,"16,700",21,1,2025,중개거래,서울 구로구,,1258,준공업,,11530,구로구,,개인,구로동
,18.36,집합,판매,개인,,,"16,650",21,1,2025,중개거래,서울 구로구,,1258,준공업,,11530,구로구,,개인,구로동
,18.87,집합,판매,개인,,,"16,650",21,1,2025,중개거래,서울 구로구,,1258,준공업,,11530,구로구,,개인,구로동
1996,6.96,집합,제2종근린생활,개인,,,"3,246",25,1,2025,중개거래,서울 구로구,,639,준공업,,11530,구로구,,개인,신도림동
1996,7.04,집합,제2종근린생활,개인,,,"3,284",25,1,2025,중개거래,서울 구로구,,639,준공업,,11530,구로구,,개인,신도림동
1998,9.82,집합,판매,개인,,,"1,000",24,1,2025,중개거래,서울 구로구,2,75-1,준공업,,11530,구로구,,개인,고척동
1996,10.32,집합,제2종근린생활,개인,,,"4,813",25,1,2025,중개거래,서울 구로구,,639,준공업,,11530,구로구,,개인,신도림동
1998,7.25,집합,판매,개인,,,"1,000",24,1,2025,중개거래,서울 구로구,2,75-1,준공업,,11530,구로구,,개인,고척동
2007,10.71,집합,판매,개인,,,"2,500",31,1,2025,중개거래,서울 구로구,,3-25,일반상업,,11530,구로구,,개인,구로동
1981,438.67,일반,숙박,법인,,,"223,000",13,1,2025,중개거래,서울 강남구,,4**,제2종일반주거,227.4,11530,구로구,,개인,개봉동
2006,99.43,집합,제1종근린생활,개인,,,"53,000",15,1,2025,중개거래,서울 구로구,2,412-3,준주거,,11530,구로구,,개인,신도림동
2007,9.16,집합,판매,개인,,,600,23,1,2025,직거래,,,3-25,일반상업,,11530,구로구,,개인,구로동
2007,8.24,집합,판매,개인,,,300,23,1,2025,중개거래,서울 구로구,,3-25,일반상업,,11530,구로구,,개인,구로동
1996,17.08,집합,판매,개인,,,"10,500",17,1,2025,중개거래,"서울 구로구, 서울 도봉구",,1258,준공업,,11530,구로구,,개인,구로동
2002,35.49,집합,업무,개인,,,"14,000",16,1,2025,중개거래,서울 구로구,8,400-1,준공업,,11530,구로구,,개인,신도림동
2002,35.49,집합,업무,개인,,,"13,800",14,1,2025,중개거래,서울 구로구,4,400-1,준공업,,11530,구로구,,개인,신도림동
