buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1978,40.5,집합,업무,개인,,,"29,400",31,1,2025,직거래,,1,985-12,준공업,,11545,금천구,,개인,시흥동
1987,57.78,집합,제2종근린생활,개인,,,"30,000",20,1,2025,중개거래,"서울 금천구, 서울 서초구",,984,준공업,,11545,금천구,,개인,시흥동
1988,2801.77,일반,제2종근린생활,법인,,,"820,000",21,1,2025,중개거래,서울 강남구,,1**,준주거,723.8,11545,금천구,,개인,가산동
2004,379.69,집합,제2종근린생활,개인,,,"100,000",23,1,2025,직거래,,1,426-5,준공업,,11545,금천구,지분,개인,가산동
1987,22.86,집합,제2종근린생활,개인,,,"22,500",4,1,2025,중개거래,"서울 금천구, 서울 서초구",2,984,준공업,,11545,금천구,,개인,시흥동
2005,37.23,집합,제1종근린생활,법인,,,"35,300",6,1,2025,중개거래,서울 금천구,,60-15,준공업,,11545,금천구,,개인,가산동
2010,106.68,집합,제1종근린생활,법인,,,"57,000",20,2,2025,중개거래,서울 금천구,2,470-8,준공업,,11545,금천구,,개인,가산동
1987,22.86,집합,제2종근린생활,개인,,,"20,000",24,2,2025,중개거래,서울 금천구,3,984,준공업,,11545,금천구,,개인,시흥동
1987,22.86,집합,제2종근린생활,개인,,,"20,000",24,2,2025,중개거래,서울 금천구,2,984,준공업,,11545,금천구,,개인,시흥동
1987,22.86,집합,업무,개인,,,"22,500",18,2,2025,중개거래,서울 금천구,2,984,준공업,,11545,금천구,,개인,시흥동
2005,215.84,집합,제2종근린생활,개인,,,"110,000",20,2,2025,중개거래,서울 금천구,,60-19,준공업,,11545,금천구,,개인,가산동
2012,141.85,집합,업무,개인,,,"9,800",19,2,2025,직거래,,,543-1,준공업,,11545,금천구,지분,개인,가산동
2019,43.34,집합,제2종근린생활,법인,,,"32,500",20,2,2025,중개거래,서울 금천구,12,1031,준공업,,11545,금천구,,개인,시흥동
2009,116.64,집합,제2종근린생활,법인,,,"53,000",1,2,2025,직거래,,,60-3,준공업,,11545,금천구,,개인,가산동
2022,58.65,집합,제1종근린생활,개인,,,"38,721",5,2,2025,직거래,,3,994-9,일반상업,,11545,금천구,,개인,시흥동
2022,61.41,집합,제1종근린생활,개인,,,"40,474",5,2,2025,직거래,,3,994-9,일반상업,,11545,금천구,,개인,시흥동
2022,123.17,집합,제2종근린생활,개인,,,"77,255",5,2,2025,직거래,,3,994-9,일반상업,,11545,금천구,,개인,시흥동
2009,265.94,집합,제2종근린생활,법인,,,"135,000",17,2,2025,중개거래,서울 금천구,20,60-25,준공업,,11545,금천구,,법인,가산동
1994,7.83,집합,판매,개인,,,"5,000",15,2,2025,직거래,,,293-5,일반상업,,11545,금천구,지분,개인,독산동
2017,39.89,집합,제2종근린생활,개인,,,"14,300",12,2,2025,직거래,,2,911-15,준주거,,11545,금천구,,개인,시흥동
2017,40.22,집합,제2종근린생활,개인,,,"14,500",12,2,2025,직거래,,2,911-15,준주거,,11545,금천구,,개인,시흥동
2017,39.89,집합,제2종근린생활,개인,,,"15,200",12,2,2025,직거래,,2,911-15,준주거,,11545,금천구,,개인,시흥동
2023,84.66,집합,제2종근린생활,개인,,,"66,216",25,3,2025,직거래,,2,1008-11,근린상업,,11545,금천구,,법인,독산동
1987,78.03,집합,판매,개인,,,"69,280",17,3,2025,직거래,,,962-6,제2종일반주거,,11545,금천구,,개인,시흥동
