buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2024,960.17,집합,판매,개인,,,"300,000",22,1,2025,직거래,,,4975,준주거,,11560,영등포구,,법인,신길동
2009,18.06,집합,제2종근린생활,개인,,,"16,000",27,1,2025,직거래,,,9,준공업,,11560,영등포구,,법인,문래동5가
2008,18.81,집합,제2종근린생활,개인,,,"43,000",31,1,2025,직거래,,,47,일반상업,,11560,영등포구,,개인,여의도동
2008,36.63,집합,제2종근린생활,개인,,,"82,000",31,1,2025,직거래,,,47,일반상업,,11560,영등포구,,개인,여의도동
2024,1094.8,집합,판매,개인,,,"500,000",20,1,2025,직거래,,,4975,준주거,,11560,영등포구,,법인,신길동
2020,76.81,집합,제2종근린생활,개인,,,"76,581",22,1,2025,직거래,,1,94-2,준주거,,11560,영등포구,,법인,영등포동1가
2020,40.8,집합,제2종근린생활,개인,,,"40,679",22,1,2025,직거래,,1,94-2,준주거,,11560,영등포구,,법인,영등포동1가
2020,60.49,집합,제2종근린생활,개인,,,"60,310",22,1,2025,직거래,,1,94-2,준주거,,11560,영등포구,,법인,영등포동1가
1996,9.57,집합,제1종근린생활,개인,,,"2,000",21,1,2025,중개거래,서울 영등포구,,9-1,준공업,,11560,영등포구,,개인,당산동1가
1978,46.28,집합,제2종근린생활,법인,,,"66,550",18,1,2025,중개거래,서울 서초구,2,44-14,일반상업,,11560,영등포구,,개인,여의도동
1978,46.28,집합,제2종근린생활,법인,,,"66,550",18,1,2025,중개거래,서울 서초구,2,44-14,일반상업,,11560,영등포구,,개인,여의도동
2022,52.36,집합,제1종근린생활,개인,,,"60,000",31,1,2025,직거래,,1,116-17,준주거,,11560,영등포구,,법인,신길동
2005,31.64,집합,교육연구,개인,,,"36,000",17,1,2025,직거래,,,11-34,준공업,,11560,영등포구,,개인,당산동5가
2005,1556.58,일반,교육연구,법인,,,"785,000",24,1,2025,중개거래,서울 영등포구,,*,준공업,344.8,11560,영등포구,,개인,양평동1가
1984,55.44,집합,업무,법인,,,"30,200",9,1,2025,직거래,,,14-35,일반상업,,11560,영등포구,,개인,여의도동
1984,59.4,집합,업무,법인,,,"32,400",9,1,2025,직거래,,,14-35,일반상업,,11560,영등포구,,개인,여의도동
1981,331.83,집합,제1종근린생활,법인,,,"430,000",24,1,2025,중개거래,서울 영등포구,,26-5,일반상업,,11560,영등포구,,법인,여의도동
1984,59.4,집합,업무,법인,,,"32,400",9,1,2025,직거래,,,14-35,일반상업,,11560,영등포구,,개인,여의도동
2017,116.2,집합,판매,개인,,,"32,500",23,1,2025,중개거래,서울 영등포구,,203,준주거,,11560,영등포구,,개인,영등포동7가
2005,4.96,집합,판매,개인,,,"8,000",24,1,2025,중개거래,서울 영등포구,11,9-13,일반상업,,11560,영등포구,,개인,영등포동3가
2005,4.96,집합,판매,법인,,,"2,200",23,1,2025,직거래,,61,9-13,일반상업,,11560,영등포구,,개인,영등포동3가
2001,37.34,집합,업무,개인,,,"23,500",15,1,2025,중개거래,서울 영등포구,2,14-5,일반상업,,11560,영등포구,,개인,여의도동
2001,29.13,집합,업무,개인,,,"16,500",15,1,2025,중개거래,서울 영등포구,6,14-5,일반상업,,11560,영등포구,,개인,여의도동
2003,137.22,집합,제1종근린생활,개인,,,"45,000",15,1,2025,중개거래,서울 영등포구,,61,일반상업,,11560,영등포구,,개인,여의도동
2013,38.47,집합,제2종근린생활,기타,,,"23,000",20,1,2025,직거래,,2,256-179,준공업,,11560,영등포구,,개인,당산동1가
1961,49.59,일반,제1종근린생활,개인,,,"8,000",20,1,2025,직거래,,,*,일반상업,10.18,11560,영등포구,지분,개인,문래동3가
1985,35.96,일반,제1종근린생활,개인,,,"7,000",20,1,2025,직거래,,,*,일반상업,9.09,11560,영등포구,지분,개인,문래동3가
1999,80.36,집합,제2종근린생활,개인,,,"23,000",16,1,2025,중개거래,서울 영등포구,,76-1,일반상업,,11560,영등포구,,개인,영등포동8가
1986,64.24,집합,제2종근린생활,개인,,,"32,000",20,1,2025,직거래,,1,17-1,일반상업,,11560,영등포구,지분,개인,여의도동
2022,46.31,집합,제2종근린생활,공공기관,,,"34,596",16,1,2025,직거래,,1,90-1,제2종일반주거,,11560,영등포구,,법인,양평동6가
2005,4.96,집합,판매,법인,,,"2,200",16,1,2025,직거래,,60,9-13,일반상업,,11560,영등포구,,개인,영등포동3가
2005,4.96,집합,판매,법인,,,"2,200",16,1,2025,직거래,,60,9-13,일반상업,,11560,영등포구,,개인,영등포동3가
2005,4.96,집합,판매,법인,,,"2,200",16,1,2025,직거래,,60,9-13,일반상업,,11560,영등포구,,개인,영등포동3가
,50.91,집합,제2종근린생활,법인,,,"36,800",15,1,2025,중개거래,서울 영등포구,,28-3,일반상업,,11560,영등포구,,법인,여의도동
,54.4,집합,업무,개인,,,"37,000",14,1,2025,중개거래,"서울 도봉구, 서울 영등포구",7,44-12,일반상업,,11560,영등포구,,개인,여의도동
2004,65.17,집합,업무,개인,,,"48,000",5,1,2025,중개거래,서울 영등포구,10,819,준공업,,11560,영등포구,,개인,도림동
1995,1059.84,일반,제1종근린생활,법인,,,"520,000",10,1,2025,중개거래,서울 강남구,,4***,제2종일반주거,288,11560,영등포구,,개인,신길동
1959,18.94,일반,제1종근린생활,개인,,,"88,000",9,1,2025,중개거래,서울 영등포구,,3*,준공업,52.9,11560,영등포구,,법인,문래동4가
1983,52.04,집합,제1종근린생활,개인,,,"9,300",6,1,2025,중개거래,서울 영등포구,,36-4,일반상업,,11560,영등포구,지분,개인,여의도동
,45.88,일반,제1종근린생활,개인,,,"104,500",4,1,2025,중개거래,서울 영등포구,,2*,준공업,62.8,11560,영등포구,,개인,문래동4가
1999,32.19,집합,업무,개인,,,"25,500",25,2,2025,중개거래,서울 영등포구,3,45-5,일반상업,,11560,영등포구,,개인,여의도동
1984,131.8,집합,업무,법인,,,"137,552",18,2,2025,중개거래,서울 강남구,17,43,일반상업,,11560,영등포구,,법인,여의도동
1984,81,집합,업무,법인,,,"84,557",18,2,2025,중개거래,서울 강남구,17,43,일반상업,,11560,영등포구,,법인,여의도동
1984,81,집합,업무,법인,,,"84,557",18,2,2025,중개거래,서울 강남구,17,43,일반상업,,11560,영등포구,,법인,여의도동
2004,215.95,집합,제1종근린생활,개인,,,"52,000",28,2,2025,중개거래,서울 영등포구,,82-29,준공업,,11560,영등포구,,개인,문래동3가
2004,154.91,집합,제1종근린생활,개인,,,"48,000",28,2,2025,중개거래,서울 영등포구,,82-29,준공업,,11560,영등포구,,개인,문래동3가
1984,81,집합,업무,법인,,,"84,557",18,2,2025,중개거래,서울 강남구,17,43,일반상업,,11560,영등포구,,법인,여의도동
1984,132.95,집합,업무,법인,,,"138,778",18,2,2025,중개거래,서울 강남구,17,43,일반상업,,11560,영등포구,,법인,여의도동
2005,91.9,집합,판매,법인,,,"140,000",18,2,2025,직거래,,,11-33,준주거,,11560,영등포구,,개인,당산동5가
1983,787.51,일반,제2종근린생활,법인,,,"455,000",12,2,2025,중개거래,서울 강남구,,4***,제2종일반주거,343,11560,영등포구,,법인,신길동
1991,15.09,집합,제2종근린생활,개인,,,"11,000",28,2,2025,직거래,,,11-11,일반상업,,11560,영등포구,,법인,여의도동
2020,29.2,집합,업무,법인,,,"21,500",20,2,2025,직거래,,14,208,일반상업,,11560,영등포구,,개인,영등포동7가
2020,32.6,집합,업무,법인,,,"24,000",20,2,2025,직거래,,14,208,일반상업,,11560,영등포구,,개인,영등포동7가
2020,36.2,집합,업무,법인,,,"26,500",20,2,2025,직거래,,14,208,일반상업,,11560,영등포구,,개인,영등포동7가
1981,25.78,집합,제1종근린생활,개인,,,"78,000",26,2,2025,중개거래,서울 영등포구,1,35-2,일반상업,,11560,영등포구,,개인,여의도동
1987,7.27,집합,판매,법인,,,"7,000",14,2,2025,직거래,,,16-7,준주거,,11560,영등포구,,개인,당산동5가
1987,7.27,집합,판매,법인,,,"7,000",14,2,2025,직거래,,,16-7,준주거,,11560,영등포구,,개인,당산동5가
2008,33.66,집합,제2종근린생활,개인,,,"115,000",28,2,2025,중개거래,서울 영등포구,,47,일반상업,,11560,영등포구,,개인,여의도동
,58.22,집합,업무,법인,,,"39,400",10,2,2025,중개거래,서울 영등포구,10,44-13,일반상업,,11560,영등포구,,개인,여의도동
,17.08,집합,제2종근린생활,개인,,,"10,000",26,2,2025,중개거래,서울 영등포구,,30-2,준공업,,11560,영등포구,,개인,당산동2가
2004,97.38,일반,제1종근린생활,법인,,,"100,000",21,2,2025,중개거래,서울 강남구,,1**,준주거,54.2,11560,영등포구,,개인,영등포동4가
2005,50.83,집합,제2종근린생활,개인,,,"25,000",4,2,2025,중개거래,서울 영등포구,,13-22,일반상업,,11560,영등포구,,개인,여의도동
1991,329.8,일반,제1종근린생활,법인,,,"190,000",14,2,2025,중개거래,"서울 강남구, 서울 영등포구",,2**,준공업,89.6,11560,영등포구,,개인,당산동1가
1996,9.88,집합,제1종근린생활,개인,,,"1,700",19,2,2025,직거래,,,9-1,준공업,,11560,영등포구,,개인,당산동1가
2021,33.62,집합,제2종근린생활,개인,,,"12,700",20,2,2025,중개거래,서울 영등포구,2,17-16,일반상업,,11560,영등포구,지분,개인,여의도동
2021,25.22,집합,제2종근린생활,개인,,,"9,600",20,2,2025,중개거래,서울 영등포구,2,17-16,일반상업,,11560,영등포구,지분,개인,여의도동
2021,33.62,집합,제2종근린생활,개인,,,"12,700",20,2,2025,중개거래,서울 영등포구,2,17-16,일반상업,,11560,영등포구,지분,개인,여의도동
2007,98.01,집합,제1종근린생활,법인,,,"7,500",12,2,2025,직거래,,,558-3,준공업,,11560,영등포구,지분,개인,당산동3가
2007,7.02,집합,업무,법인,,,500,12,2,2025,직거래,,,558-3,준공업,,11560,영등포구,지분,개인,당산동3가
2001,81.2,집합,제2종근린생활,개인,,,"40,000",19,2,2025,직거래,,,13-21,일반상업,,11560,영등포구,,법인,여의도동
2018,28.17,집합,제2종근린생활,개인,,,"9,000",17,2,2025,중개거래,서울 영등포구,1,732-8,제2종일반주거,,11560,영등포구,,개인,대림동
2008,30.37,집합,제2종근린생활,개인,,,"75,000",13,2,2025,중개거래,서울 영등포구,,47,일반상업,,11560,영등포구,,개인,여의도동
1981,42.64,집합,제2종근린생활,개인,,,"22,000",5,2,2025,중개거래,서울 서대문구,,340-1,제2종일반주거,,11560,영등포구,,개인,신길동
1978,36.01,집합,판매,개인,,,"100,000",4,2,2025,중개거래,서울 영등포구,1,43-3,일반상업,,11560,영등포구,,개인,여의도동
1987,9.3,집합,제2종근린생활,개인,,,"6,200",13,2,2025,중개거래,서울 영등포구,,30-2,준공업,,11560,영등포구,,개인,당산동2가
1983,44.4,집합,제2종근린생활,법인,,,"34,000",17,2,2025,중개거래,"서울 도봉구, 서울 영등포구",8,44-12,일반상업,,11560,영등포구,,개인,여의도동
1987,42.75,집합,제2종근린생활,법인,,,"25,000",13,2,2025,중개거래,서울 영등포구,,30-2,준공업,,11560,영등포구,,개인,당산동2가
1984,25.87,집합,업무,개인,,,"18,600",10,2,2025,직거래,,11,36-2,일반상업,,11560,영등포구,지분,개인,여의도동
2014,307.8,일반,제1종근린생활,법인,,,"140,000",31,3,2025,직거래,,,6**,준공업,103,11560,영등포구,,개인,영등포동
,21.38,집합,제1종근린생활,개인,,,"42,500",15,3,2025,중개거래,서울 영등포구,,94-1,준공업,,11560,영등포구,,개인,당산동4가
1978,676.04,일반,제1종근린생활,법인,,,"510,000",25,3,2025,중개거래,서울 강남구,,1**,제2종일반주거,333,11560,영등포구,,개인,신길동
,51.73,집합,업무,개인,,,"50,000",7,3,2025,중개거래,서울 영등포구,,36-2,일반상업,,11560,영등포구,,개인,여의도동
1987,21,집합,제2종근린생활,개인,,,"11,000",25,3,2025,중개거래,서울 영등포구,,30-2,준공업,,11560,영등포구,,개인,당산동2가
2004,29.38,집합,업무,개인,,,"15,000",22,3,2025,중개거래,서울 영등포구,11,819,준공업,,11560,영등포구,,개인,도림동
2020,69.93,집합,제1종근린생활,개인,,,"65,000",21,3,2025,직거래,,1,1279,제2종일반주거,,11560,영등포구,,개인,신길동
2006,10.08,집합,제2종근린생활,법인,,,"8,000",26,3,2025,중개거래,서울 영등포구,2,46,준공업,,11560,영등포구,,개인,양평동3가
1987,15,집합,제2종근린생활,법인,,,"10,000",24,3,2025,중개거래,서울 영등포구,,30-2,준공업,,11560,영등포구,,개인,당산동2가
1948,29.75,일반,제1종근린생활,개인,,,"20,000",13,3,2025,직거래,,,1*,준주거,18.18,11560,영등포구,지분,개인,영등포동5가
2005,4.96,집합,제1종근린생활,법인,,,"3,500",13,3,2025,중개거래,서울 영등포구,20,9-13,일반상업,,11560,영등포구,,개인,영등포동3가
