buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1990,1831.59,일반,제1종근린생활,법인,,,"1,850,000",21,1,2025,중개거래,서울 강남구,,1***,일반상업,461.7,11590,동작구,,법인,사당동
1982,482.64,일반,제1종근린생활,법인,,,"560,000",23,1,2025,중개거래,서울 강남구,,3**,제2종일반주거,269,11590,동작구,,개인,본동
1990,179,집합,판매,개인,,,"133,500",15,1,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,법인,사당동
2011,21.45,집합,제2종근린생활,개인,,,"18,000",23,1,2025,중개거래,서울 동작구,1,235-11,제2종일반주거,,11590,동작구,,개인,상도동
2013,54.08,집합,제2종근린생활,개인,,,"30,000",23,1,2025,중개거래,서울 동작구,1,361-15,제2종일반주거,,11590,동작구,,개인,상도동
2022,38.05,집합,판매,법인,,,"75,821",14,1,2025,직거래,,1,686-48,준주거,,11590,동작구,,개인,신대방동
1993,27.36,집합,판매,개인,,,"15,000",22,1,2025,중개거래,서울 동작구,,501,제3종일반주거,,11590,동작구,,개인,대방동
1982,463.47,일반,제1종근린생활,법인,,,"383,000",11,1,2025,중개거래,서울 동작구,,3**,제3종일반주거,363,11590,동작구,,개인,노량진동
1972,13.39,집합,판매,개인,,,750,8,1,2025,직거래,,,488,제3종일반주거,,11590,동작구,,개인,상도동
1988,20.29,집합,제2종근린생활,법인,,,"37,500",24,2,2025,중개거래,서울 동작구,,28,제3종일반주거,,11590,동작구,,개인,흑석동
1987,1032.97,일반,제2종근린생활,기타,,,"1,800,000",19,2,2025,중개거래,서울 서초구,,7**,준주거,215.9,11590,동작구,,개인,상도1동
,24.75,집합,제2종근린생활,개인,,,"11,000",24,2,2025,중개거래,서울 동작구,2,1138,제2종일반주거,,11590,동작구,,개인,사당동
,24.75,집합,제2종근린생활,개인,,,"11,000",24,2,2025,중개거래,서울 동작구,2,1138,제2종일반주거,,11590,동작구,,개인,사당동
,24,집합,제2종근린생활,개인,,,"11,000",24,2,2025,중개거래,서울 동작구,2,1138,제2종일반주거,,11590,동작구,,개인,사당동
,35.57,일반,제2종근린생활,개인,,,"140,000",24,2,2025,중개거래,서울 동작구,,3**,제3종일반주거,86,11590,동작구,,개인,노량진동
2006,44.66,집합,판매,개인,,,"18,500",14,2,2025,중개거래,서울 동작구,3,719,준주거,,11590,동작구,,개인,신대방동
1996,110.72,집합,업무,법인,,,"47,700",14,2,2025,직거래,,5,395-67,일반상업,,11590,동작구,,법인,신대방동
1996,110.92,집합,업무,법인,,,"47,700",14,2,2025,직거래,,5,395-67,일반상업,,11590,동작구,,법인,신대방동
1993,384.53,일반,제1종근린생활,법인,,,"240,000",10,2,2025,중개거래,서울 강남구,,2*,일반상업,133,11590,동작구,,개인,노량진동
1993,388.46,일반,제1종근린생활,법인,,,"279,000",1,2,2025,중개거래,서울 강남구,,8*,제3종일반주거,155,11590,동작구,,법인,사당동
,36.8,집합,제2종근린생활,개인,,,"66,000",13,3,2025,중개거래,서울 동작구,,363-164,준주거,,11590,동작구,,개인,상도동
1972,153.11,일반,제2종근린생활,기타,,,"145,000",4,3,2025,중개거래,서울 동작구,,7*,제2종일반주거,116,11590,동작구,,개인,사당동
2016,16.83,집합,제2종근린생활,개인,,,"7,000",29,3,2025,중개거래,서울 동작구,1,356-1,제2종일반주거,,11590,동작구,,개인,상도동
1988,124.5,집합,제1종근린생활,개인,,,"63,000",26,3,2025,중개거래,서울 동작구,,10,제3종일반주거,,11590,동작구,,개인,흑석동
1993,10.58,집합,제2종근린생활,법인,,,"20,000",27,3,2025,중개거래,서울 동작구,,283-3,제3종일반주거,,11590,동작구,,개인,노량진동
1993,38.63,집합,제1종근린생활,법인,,,"20,000",28,3,2025,중개거래,서울 동작구,,501,제3종일반주거,,11590,동작구,,개인,대방동
1969,118.35,일반,제2종근린생활,개인,,,"188,000",7,3,2025,중개거래,"서울 동작구, 서울 용산구",,3**,제3종일반주거,86,11590,동작구,,개인,노량진동
1988,40.45,집합,제2종근린생활,개인,,,"5,000",14,3,2025,직거래,,,28,제3종일반주거,,11590,동작구,지분,개인,흑석동
1988,40.45,집합,제2종근린생활,개인,,,"5,000",14,3,2025,직거래,,,28,제3종일반주거,,11590,동작구,지분,개인,흑석동
1994,294.29,일반,제1종근린생활,개인,,,"260,000",4,3,2025,중개거래,서울 마포구,,2**,제3종일반주거,199,11590,동작구,,개인,노량진동
1988,165.36,일반,제1종근린생활,개인,,,"200,000",11,3,2025,중개거래,서울 동작구,,2**,제3종일반주거,69,11590,동작구,,개인,노량진동
1990,161.46,일반,제2종근린생활,법인,,,"145,000",17,4,2025,중개거래,서울 강남구,,3**,제2종일반주거,108.8,11590,동작구,,법인,상도1동
1975,199.88,일반,제1종근린생활,개인,,,"228,000",20,4,2025,중개거래,서울 동작구,,1***,제3종일반주거,94.2,11590,동작구,,개인,사당동
2019,40.85,집합,제2종근린생활,개인,,,"53,500",19,4,2025,중개거래,서울 동작구,,341,제1종일반주거,,11590,동작구,,개인,흑석동
2019,75.3,집합,제2종근린생활,법인,,,"40,000",28,4,2025,중개거래,서울 동작구,,341,제1종일반주거,,11590,동작구,,법인,흑석동
2016,53.97,집합,제2종근린생활,개인,,,"34,000",14,4,2025,중개거래,서울 동작구,1,381-29,제2종일반주거,,11590,동작구,,개인,대방동
1970,139.6,일반,제2종근린생활,법인,,,"230,000",4,4,2025,중개거래,서울 강남구,,1***,제3종일반주거,164,11590,동작구,,개인,사당동
2016,46.4,집합,제2종근린생활,법인,,,"134,000",24,4,2025,직거래,,1,900,제3종일반주거,,11590,동작구,,개인,상도동
1966,96.82,일반,제1종근린생활,기타,,,"263,628",23,4,2025,직거래,,,1**,제3종일반주거,105,11590,동작구,,개인,본동
,56.53,일반,제2종근린생활,기타,,,"150,000",22,4,2025,직거래,,,1**,제3종일반주거,96,11590,동작구,,개인,본동
,29.75,일반,제1종근린생활,기타,,,"100,000",22,4,2025,직거래,,,1**,제3종일반주거,163,11590,동작구,,개인,본동
1984,23.57,일반,제1종근린생활,기타,,,"52,920",23,4,2025,직거래,,,3**,제3종일반주거,25,11590,동작구,,개인,본동
,82.88,일반,제1종근린생활,기타,,,"120,000",22,4,2025,직거래,,,1**,제3종일반주거,39,11590,동작구,,개인,본동
,56.53,일반,제2종근린생활,기타,,,"150,000",22,4,2025,직거래,,,1**,제3종일반주거,96,11590,동작구,,개인,본동
,72.73,일반,제1종근린생활,기타,,,"100,000",22,4,2025,직거래,,,1**,제3종일반주거,37,11590,동작구,,개인,본동
1984,18.37,일반,제2종근린생활,기타,,,"67,091",22,4,2025,직거래,,,3**,제3종일반주거,23,11590,동작구,,개인,본동
2020,48.72,집합,판매,기타,,,"60,000",3,4,2025,직거래,,,16-1,유통상업,,11590,동작구,,개인,노량진동
1985,9.89,일반,제1종근린생활,기타,,,"25,500",21,4,2025,직거래,,,3**,제3종일반주거,7,11590,동작구,,개인,본동
2005,25.77,일반,제2종근린생활,기타,,,"175,979",21,4,2025,직거래,,,4**,제3종일반주거,65,11590,동작구,,개인,본동
,44.25,집합,제1종근린생활,기타,,,"35,393",21,4,2025,직거래,,,187-7,제3종일반주거,,11590,동작구,,개인,본동
1994,95.4,집합,제2종근린생활,개인,,,"15,000",8,4,2025,직거래,,,279-433,제2종일반주거,,11590,동작구,,개인,상도동
1987,146.14,일반,제2종근린생활,법인,,,"110,000",4,4,2025,중개거래,서울 강남구,,1***,제3종일반주거,98.6,11590,동작구,,개인,사당동
2012,120.5,집합,제2종근린생활,개인,,,"141,700",25,5,2025,직거래,,1,698,제3종일반주거,,11590,동작구,,개인,상도1동
2012,75.15,집합,제2종근린생활,개인,,,"58,000",25,5,2025,직거래,,2,698,제3종일반주거,,11590,동작구,,개인,상도1동
2012,36.62,집합,제2종근린생활,개인,,,"28,400",25,5,2025,직거래,,2,698,제3종일반주거,,11590,동작구,,개인,상도1동
2012,171.47,집합,제2종근린생활,개인,,,"80,850",25,5,2025,직거래,,,698,제3종일반주거,,11590,동작구,,개인,상도1동
2006,181.38,일반,제2종근린생활,개인,,,"170,000",20,5,2025,중개거래,서울 강남구,,1**,제2종일반주거,89,11590,동작구,,개인,사당동
1983,575.45,일반,제1종근린생활,기타,,,"400,000",19,5,2025,중개거래,서울 동작구,,7*,제2종일반주거,301,11590,동작구,,개인,사당동
2001,795.53,일반,제2종근린생활,개인,,,"422,020",16,5,2025,중개거래,"서울 강남구, 서울 동작구",,1**,제3종일반주거,265,11590,동작구,,개인,노량진동
1996,15.24,집합,제1종근린생활,개인,,,"2,500",17,5,2025,직거래,,,395-67,일반상업,,11590,동작구,,개인,신대방동
1984,449.13,일반,제1종근린생활,법인,,,"368,000",20,5,2025,직거래,,,2**,제3종일반주거,228,11590,동작구,,개인,사당동
1971,590.66,일반,제1종근린생활,법인,,,"380,000",9,5,2025,중개거래,서울 동작구,,2**,제3종일반주거,132,11590,동작구,,개인,노량진동
1966,94.37,집합,제2종근린생활,법인,,,"102,000",2,5,2025,중개거래,서울 강남구,,350-20,제3종일반주거,,11590,동작구,,개인,상도동
,44.72,집합,제2종근린생활,개인,,,"39,000",9,5,2025,중개거래,서울 동작구,1,242-62,제2종일반주거,,11590,동작구,,개인,상도동
2020,24.74,집합,제2종근린생활,법인,,,"62,300",1,5,2025,중개거래,서울 동작구,,16-1,유통상업,,11590,동작구,,개인,노량진동
2020,50.93,집합,제2종근린생활,법인,,,"128,200",1,5,2025,중개거래,서울 동작구,,16-1,유통상업,,11590,동작구,,개인,노량진동
2015,1682.36,집합,교육연구,법인,,,"997,663",16,6,2025,직거래,,5,57-1,일반상업,,11590,동작구,,법인,노량진동
2015,83.18,집합,제1종근린생활,법인,,,"47,337",16,6,2025,직거래,,5,57-1,일반상업,,11590,동작구,,법인,노량진동
1993,20.52,집합,제1종근린생활,개인,,,"10,500",30,6,2025,중개거래,"경기 광명시, 서울 동작구",,501,제3종일반주거,,11590,동작구,,개인,대방동
1992,673.57,집합,교육연구,법인,,,"260,000",24,6,2025,중개거래,서울 동작구,2,120,제3종일반주거,,11590,동작구,,개인,사당동
1988,23.33,집합,판매,개인,,,"42,000",18,6,2025,중개거래,서울 동작구,,28,제3종일반주거,,11590,동작구,,개인,흑석동
1990,42.24,집합,업무,개인,,,"29,000",24,6,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,개인,사당동
1996,24.33,집합,제2종근린생활,개인,,,"7,200",25,6,2025,중개거래,서울 동작구,,395-68,일반상업,,11590,동작구,,개인,신대방동
1988,26.38,집합,판매,개인,,,"45,000",24,6,2025,중개거래,서울 동작구,,28,제3종일반주거,,11590,동작구,,개인,흑석동
2021,46.88,집합,제2종근린생활,개인,,,"21,000",19,6,2025,중개거래,서울 동작구,2,299-167,제2종일반주거,,11590,동작구,,개인,상도동
1965,41.59,일반,제1종근린생활,개인,,,"190,000",20,6,2025,중개거래,"서울 동작구, 서울 성동구",,2**,제3종일반주거,66,11590,동작구,,개인,노량진동
1981,154.24,집합,제2종근린생활,개인,,,"68,000",30,6,2025,중개거래,서울 서초구,,118-5,제3종일반주거,,11590,동작구,,개인,노량진동
1990,23.55,집합,제1종근린생활,개인,,,"36,500",14,6,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,법인,사당동
1967,37.58,일반,제1종근린생활,개인,,,"162,000",10,6,2025,중개거래,서울 동작구,,2**,제3종일반주거,36,11590,동작구,,개인,노량진동
2011,28.67,집합,제2종근린생활,개인,,,"21,000",5,6,2025,중개거래,서울 동작구,1,235-11,제2종일반주거,,11590,동작구,,개인,상도동
1993,48.6,집합,제2종근린생활,개인,,,"60,000",4,6,2025,중개거래,서울 강남구,,501,제3종일반주거,,11590,동작구,,개인,대방동
1989,9482.02,일반,교육연구,법인,,,"4,106,369",2,6,2025,중개거래,서울 중랑구,,1**,준주거,3131,11590,동작구,,법인,노량진동
2006,1995.12,일반,교육연구,법인,,,"947,901",2,6,2025,중개거래,서울 중랑구,,1**,준주거,659,11590,동작구,,법인,노량진동
1993,9.88,집합,제2종근린생활,개인,,,"7,300",20,6,2025,중개거래,서울 동작구,,283-3,제3종일반주거,,11590,동작구,지분,개인,노량진동
2012,120.5,집합,제2종근린생활,개인,,,"141,700",13,6,2025,중개거래,서울 동작구,1,698,제3종일반주거,,11590,동작구,,개인,상도1동
2012,75.15,집합,제2종근린생활,개인,,,"58,000",13,6,2025,중개거래,서울 동작구,2,698,제3종일반주거,,11590,동작구,,개인,상도1동
2012,36.62,집합,제2종근린생활,개인,,,"28,400",13,6,2025,중개거래,서울 동작구,2,698,제3종일반주거,,11590,동작구,,개인,상도1동
2012,171.47,집합,제2종근린생활,개인,,,"80,850",13,6,2025,중개거래,서울 동작구,,698,제3종일반주거,,11590,동작구,,개인,상도1동
1996,12.86,집합,제1종근린생활,개인,,,"3,800",16,6,2025,직거래,,,395-67,일반상업,,11590,동작구,,개인,신대방동
1996,12.13,집합,제1종근린생활,개인,,,"3,700",16,6,2025,직거래,,,395-67,일반상업,,11590,동작구,,개인,신대방동
1978,253.88,일반,제1종근린생활,기타,,,"236,000",2,6,2025,중개거래,서울 동작구,,6*,제2종일반주거,175,11590,동작구,,개인,사당동
1995,111.11,집합,제1종근린생활,기타,,,"120,000",4,7,2025,직거래,,2,565-22,제3종일반주거,,11590,동작구,,개인,신대방동
1988,20.29,집합,판매,법인,,,"46,500",14,7,2025,중개거래,서울 강남구,,28,제3종일반주거,,11590,동작구,,법인,흑석동
2004,877.62,일반,제2종근린생활,개인,,,"1,500,000",15,7,2025,중개거래,서울 강남구,,5*,일반상업,248,11590,동작구,,법인,노량진동
2008,74.42,집합,제1종근린생활,기타,,,"60,000",29,7,2025,직거래,,1,720-2,제2종일반주거,,11590,동작구,,개인,상도1동
2013,25.44,집합,제2종근린생활,개인,,,"51,000",30,7,2025,중개거래,서울 동작구,1,333,제2종일반주거,,11590,동작구,,개인,동작동
2013,23.29,집합,제2종근린생활,개인,,,"45,000",30,7,2025,중개거래,서울 동작구,1,333,제2종일반주거,,11590,동작구,,개인,동작동
2017,59.43,집합,제2종근린생활,개인,,,"36,000",31,7,2025,중개거래,서울 동작구,,1047-5,제2종일반주거,,11590,동작구,,법인,사당동
2020,89.3,집합,제2종근린생활,개인,,,"62,000",29,7,2025,중개거래,서울 동작구,,522,제3종일반주거,,11590,동작구,,법인,상도1동
2020,95.02,집합,제2종근린생활,개인,,,"51,000",23,7,2025,직거래,,,522,제3종일반주거,,11590,동작구,,법인,상도1동
1982,168.53,집합,기타,개인,,,"133,200",21,7,2025,중개거래,서울 동작구,2,89-69,제2종일반주거,,11590,동작구,,개인,사당동
1982,37.02,집합,기타,개인,,,"28,800",21,7,2025,중개거래,서울 동작구,2,89-69,제2종일반주거,,11590,동작구,,개인,사당동
1997,25.53,집합,제2종근린생활,개인,,,"13,800",4,7,2025,중개거래,경기 군포시,1,41,제3종일반주거,,11590,동작구,,개인,대방동
2006,15.39,집합,판매,개인,,,"17,000",21,7,2025,중개거래,서울 영등포구,1,719,준주거,,11590,동작구,,개인,신대방동
1984,204.24,일반,제1종근린생활,개인,,,"210,000",19,7,2025,직거래,,,2**,제3종일반주거,104,11590,동작구,,법인,노량진동
1990,8.88,집합,판매,개인,,,"14,800",15,7,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,개인,사당동
1990,8.88,집합,판매,개인,,,"15,000",15,7,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,개인,사당동
1983,112.27,일반,제1종근린생활,법인,,,"105,000",4,7,2025,중개거래,서울 동작구,,1**,제3종일반주거,52,11590,동작구,,개인,노량진동
1983,746.12,일반,제2종근린생활,법인,,,"1,000,000",11,7,2025,중개거래,경기 용인시 수지구,,1**,제3종일반주거,331,11590,동작구,,법인,노량진동
1990,8.67,집합,제2종근린생활,개인,,,"12,500",15,7,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,법인,사당동
1990,8.68,집합,제2종근린생활,개인,,,"14,500",15,7,2025,중개거래,서울 동작구,,169-8,제3종일반주거,,11590,동작구,,법인,사당동
1982,56.36,집합,제1종근린생활,개인,,,"135,000",9,7,2025,중개거래,"서울 동작구, 서울 서초구",1,89-69,제2종일반주거,,11590,동작구,,개인,사당동
2010,17.31,집합,제2종근린생활,개인,,,"30,000",9,7,2025,직거래,,1,147-29,일반상업,,11590,동작구,지분,개인,사당동
2003,26.88,집합,제2종근린생활,개인,,,"35,000",3,7,2025,중개거래,서울 동작구,1,47-40,제2종일반주거,,11590,동작구,,개인,본동
1971,377.37,일반,제2종근린생활,법인,,,"430,000",29,8,2025,중개거래,"서울 동작구, 서울 서초구",,1**,제2종일반주거,234,11590,동작구,,개인,사당동
1979,298.18,일반,제2종근린생활,법인,,,"226,000",28,8,2025,중개거래,서울 동작구,,6**,제2종일반주거,208,11590,동작구,,개인,신대방동
1993,21.06,집합,판매,개인,,,"9,900",30,8,2025,중개거래,서울 동작구,,501,제3종일반주거,,11590,동작구,,개인,대방동
1993,16.92,집합,판매,개인,,,"10,000",11,8,2025,중개거래,서울 동작구,,501,제3종일반주거,,11590,동작구,,개인,대방동
2010,35.58,집합,제2종근린생활,개인,,,"27,000",11,8,2025,중개거래,서울 동작구,1,419-18,제2종일반주거,,11590,동작구,,개인,사당동
1997,19.25,집합,제1종근린생활,개인,,,"14,000",17,8,2025,중개거래,서울 동작구,1,414,제3종일반주거,,11590,동작구,,개인,상도동
1993,8.16,집합,제2종근린생활,개인,,,"5,000",1,8,2025,직거래,,2,105,제2종일반주거,,11590,동작구,,개인,사당동
1993,8.16,집합,제2종근린생활,개인,,,"3,300",1,8,2025,직거래,,2,105,제2종일반주거,,11590,동작구,,개인,사당동
,16.53,일반,제1종근린생활,기타,,,"16,700",4,8,2025,직거래,,,2**,제3종일반주거,7,11590,동작구,,개인,본동
1995,195.14,일반,제2종근린생활,개인,,,"300,000",27,9,2025,중개거래,서울 동작구,,5*,제2종일반주거,159,11590,동작구,,개인,흑석동
