buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2006,4.91,집합,판매,개인,,,"1,100",31,1,2025,직거래,,20,862-1,일반상업,,11620,관악구,,개인,봉천동
2006,4.55,집합,판매,개인,,,"1,100",31,1,2025,직거래,,20,862-1,일반상업,,11620,관악구,,개인,봉천동
2002,476.37,일반,제2종근린생활,개인,,,"135,000",18,1,2025,중개거래,서울 관악구,,1**,제3종일반주거,172,11620,관악구,,개인,신림동
1982,67.61,일반,제1종근린생활,개인,,,"26,100",31,1,2025,직거래,,,1**,제2종일반주거,52,11620,관악구,,법인,신림동
1996,1663.47,일반,제2종근린생활,법인,,,"1,800,000",17,1,2025,중개거래,"서울 강남구, 서울 서초구",,1***,일반상업,339.1,11620,관악구,,법인,남현동
,36.9,집합,제2종근린생활,개인,,,"15,400",23,1,2025,중개거래,서울 관악구,5,875-1,준주거,,11620,관악구,,개인,봉천동
,331.56,일반,제2종근린생활,개인,,,"113,000",8,1,2025,중개거래,서울 관악구,,2**,제2종일반주거,157,11620,관악구,,개인,신림동
2015,35.19,집합,제2종근린생활,개인,,,"26,000",16,1,2025,중개거래,서울 관악구,2,63-16,제2종일반주거,,11620,관악구,,개인,봉천동
2006,6.9,집합,판매,개인,,,"1,000",2,1,2025,직거래,,20,862-1,일반상업,,11620,관악구,,개인,봉천동
2006,4.43,집합,판매,개인,,,"1,000",2,1,2025,직거래,,,862-1,일반상업,,11620,관악구,,개인,봉천동
1991,323.4,일반,제1종근린생활,법인,,,"185,000",24,2,2025,중개거래,서울 강남구,,7**,준주거,121,11620,관악구,,개인,신림동
1992,204.24,일반,제1종근린생활,개인,,,"49,000",20,2,2025,중개거래,서울 강남구,,2**,제2종일반주거,124,11620,관악구,,개인,신림동
2021,52.53,집합,제2종근린생활,개인,,,"28,000",13,2,2025,직거래,,,1053-24,제2종일반주거,,11620,관악구,,개인,남현동
1997,22.8,집합,제2종근린생활,개인,,,"10,600",27,2,2025,중개거래,서울 관악구,3,602-181,제2종일반주거,,11620,관악구,,개인,남현동
1980,465.81,일반,제2종근린생활,개인,,,"195,000",18,2,2025,중개거래,서울 관악구,,4**,제2종일반주거,233,11620,관악구,,개인,신림동
2020,299.58,일반,제2종근린생활,개인,,,"100,000",24,2,2025,직거래,,,1***,제2종일반주거,79.35,11620,관악구,지분,개인,신림동
2001,557.91,일반,제2종근린생활,개인,,,"164,500",27,2,2025,중개거래,서울 관악구,,1***,제2종일반주거,166.3,11620,관악구,,개인,신림동
2006,67.32,집합,판매,개인,,,"40,000",14,2,2025,직거래,,,862-1,일반상업,,11620,관악구,,개인,봉천동
2004,4.31,집합,기타,개인,,,"2,000",19,2,2025,직거래,,50,1422-5,일반상업,,11620,관악구,,개인,신림동
2013,3.86,집합,교육연구,개인,,,"1,320",18,2,2025,직거래,,,1523-1,준주거,,11620,관악구,,개인,신림동
2003,443.52,일반,제2종근린생활,개인,,,"158,000",5,2,2025,중개거래,"서울 관악구, 서울 동작구",,8*,제2종일반주거,165,11620,관악구,,개인,신림동
2003,30.65,집합,제1종근린생활,개인,,,"26,000",8,2,2025,중개거래,서울 관악구,2,1712,제3종일반주거,,11620,관악구,,개인,봉천동
2012,131.86,집합,제1종근린생활,개인,,,"100,000",5,2,2025,중개거래,서울 강남구,1,473-11,제2종일반주거,,11620,관악구,,법인,신림동
2018,13.29,집합,제2종근린생활,개인,,,"6,500",7,2,2025,직거래,,2,895-4,준주거,,11620,관악구,지분,개인,봉천동
