buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1990,679.95,일반,제2종근린생활,법인,,,"570,000",9,1,2025,중개거래,서울 강남구,,*,제2종일반주거,240.6,11650,서초구,,개인,양재동
1993,977.32,일반,제2종근린생활,법인,,,"858,000",24,1,2025,중개거래,서울 강남구,,*,제3종일반주거,270.1,11650,서초구,,법인,양재동
1999,45.24,집합,업무,법인,,,"24,500",20,1,2025,중개거래,서울 서초구,9,755-5,준주거,,11650,서초구,,법인,방배동
2012,581.13,일반,제1종근린생활,법인,,,"666,000",23,1,2025,중개거래,서울 서초구,,9**,제3종일반주거,181.2,11650,서초구,,법인,방배동
2013,58.87,집합,제1종근린생활,개인,,,"85,800",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,42.12,집합,제1종근린생활,개인,,,"61,400",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,30.81,집합,제1종근린생활,개인,,,"44,900",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,21.45,집합,제1종근린생활,개인,,,"31,200",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,72.15,집합,제1종근린생활,개인,,,"105,100",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,30.81,집합,제1종근린생활,개인,,,"44,900",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,35.49,집합,제1종근린생활,개인,,,"51,700",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,42.93,집합,제1종근린생활,개인,,,"62,500",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2013,42.93,집합,제1종근린생활,개인,,,"62,500",10,1,2025,직거래,,,1303-16,일반상업,,11650,서초구,,법인,서초동
2005,42.53,집합,제2종근린생활,개인,,,"52,500",23,1,2025,중개거래,"서울 동작구, 서울 서초구",1,866-20,일반상업,,11650,서초구,,개인,방배동
1989,21.7,집합,업무,개인,,,"11,100",25,1,2025,직거래,,7,1589-8,일반상업,,11650,서초구,,개인,서초동
2012,958.2,일반,제2종근린생활,법인,,,"900,000",20,1,2025,중개거래,"서울 강남구, 서울 송파구",,8**,제2종일반주거,358.9,11650,서초구,,개인,방배동
,10.47,집합,제1종근린생활,개인,,,"22,500",27,1,2025,중개거래,서울 서초구,,75-18,제3종일반주거,,11650,서초구,,개인,잠원동
,10.47,집합,제1종근린생활,개인,,,"22,500",27,1,2025,중개거래,서울 서초구,,75-18,제3종일반주거,,11650,서초구,,개인,잠원동
,689.81,집합,판매,개인,,,"12,000",25,1,2025,중개거래,서울 서초구,,19-1,일반상업,,11650,서초구,지분,개인,반포동
1983,20.16,집합,제1종근린생활,개인,,,"10,700",17,1,2025,중개거래,서울 서초구,,456-1,제2종일반주거,,11650,서초구,,개인,방배동
2016,53.43,집합,제2종근린생활,개인,,,"36,500",20,1,2025,중개거래,서울 서초구,2,765-34,제3종일반주거,,11650,서초구,,개인,방배동
,714.77,집합,판매,개인,,,"15,000",25,1,2025,중개거래,서울 서초구,,19-1,일반상업,,11650,서초구,지분,개인,반포동
2005,48.9,집합,판매,개인,,,"23,900",2,1,2025,직거래,,,215,일반상업,,11650,서초구,,법인,양재동
2005,48.9,집합,판매,개인,,,"23,900",2,1,2025,직거래,,,215,일반상업,,11650,서초구,,법인,양재동
2005,67.71,집합,판매,법인,,,"33,100",2,1,2025,직거래,,,215,일반상업,,11650,서초구,,법인,양재동
2017,36.99,집합,제2종근린생활,개인,,,"33,500",23,1,2025,직거래,,,1665-4,제3종일반주거,,11650,서초구,,개인,서초동
2005,10.15,집합,업무,개인,,,"5,000",20,1,2025,중개거래,서울 서초구,5,1600-11,일반상업,,11650,서초구,,개인,서초동
2005,10.15,집합,업무,개인,,,"4,800",22,1,2025,중개거래,서울 서초구,11,1600-11,일반상업,,11650,서초구,,개인,서초동
1995,18650.75,일반,업무,법인,,,"7,500,000",10,1,2025,직거래,,,1***,제3종일반주거,2269.9,11650,서초구,,법인,방배동
1997,11.63,집합,판매,개인,,,"4,800",15,1,2025,중개거래,서울 서초구,,1445-3,일반상업,,11650,서초구,,개인,서초동
1977,3075.63,집합,판매,개인,,,"31,000",15,1,2025,직거래,,,2-8,제3종일반주거,,11650,서초구,지분,개인,반포동
2004,45.37,집합,업무,개인,,,"40,000",10,1,2025,직거래,,,1699-8,일반상업,,11650,서초구,,개인,서초동
2005,29.2,집합,판매,법인,,,"14,300",14,1,2025,직거래,,,215,일반상업,,11650,서초구,,개인,양재동
2009,32.86,집합,숙박,개인,,,"29,000",17,1,2025,중개거래,서울 서초구,3,1330-4,일반상업,,11650,서초구,,개인,서초동
1993,7.98,집합,제2종근린생활,개인,,,"2,000",15,1,2025,직거래,,,1355-8,일반상업,,11650,서초구,,개인,서초동
2023,277.51,일반,제2종근린생활,법인,,,"278,000",15,1,2025,중개거래,서울 강남구,,4**,제2종일반주거,114.3,11650,서초구,,개인,방배동
1988,26.63,집합,업무,개인,,,"19,500",9,1,2025,중개거래,서울 서초구,4,831-9,제2종일반주거,,11650,서초구,,개인,방배동
1997,975.84,일반,제2종근린생활,법인,,,"680,000",10,1,2025,중개거래,서울 서초구,,2**,제2종일반주거,370.3,11650,서초구,,법인,양재동
1988,10.7,집합,판매,개인,,,"6,000",9,1,2025,직거래,,,1141,제3종일반주거,,11650,서초구,지분,개인,반포동
1991,131.39,집합,제1종근린생활,개인,,,"32,000",9,1,2025,직거래,,,1438-16,제3종일반주거,,11650,서초구,,개인,서초동
1982,94.66,집합,판매,개인,,,"105,000",27,2,2025,중개거래,서울 서초구,2,1341,제3종일반주거,,11650,서초구,지분,개인,반포동
1977,2918.99,집합,제1종근린생활,개인,,,"111,000",24,2,2025,직거래,,,2-8,제3종일반주거,,11650,서초구,지분,개인,반포동
1994,150.26,집합,제1종근린생활,법인,,,"261,457",22,2,2025,중개거래,서울 강남구,,57-2,제3종일반주거,,11650,서초구,,개인,반포동
1994,125.17,집합,제2종근린생활,법인,,,"217,069",22,2,2025,중개거래,서울 강남구,1,57-2,제3종일반주거,,11650,서초구,,개인,반포동
