buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1996,399.63,일반,제2종근린생활,법인,,,"460,000",10,1,2025,중개거래,서울 강남구,,2**,제2종일반주거,225.7,11680,강남구,,개인,논현동
1999,117.3,일반,제2종근린생활,개인,,,"960,000",22,1,2025,중개거래,서울 강남구,,1**,제3종일반주거,192.7,11680,강남구,,개인,삼성동
,15.31,집합,판매,개인,,,"90,000",22,1,2025,중개거래,서울 강남구,,511,제3종일반주거,,11680,강남구,,개인,대치동
1994,539.04,일반,제2종근린생활,법인,,,"1,490,000",20,1,2025,중개거래,서울 강남구,,8*,제2종일반주거,286.6,11680,강남구,,개인,청담동
1997,501.73,일반,제2종근린생활,법인,,,"1,200,000",24,1,2025,중개거래,서울 강남구,,5**,제2종일반주거,199.4,11680,강남구,,법인,신사동
2008,594.72,집합,업무,법인,,,"650,000",22,1,2025,중개거래,서울 강남구,4,701-1,일반상업,,11680,강남구,,개인,역삼동
1995,668.66,일반,제2종근린생활,법인,,,"900,000",14,1,2025,중개거래,서울 강남구,,1**,제3종일반주거,188.9,11680,강남구,,개인,삼성동
2024,811.13,일반,제2종근린생활,법인,,,"1,400,000",8,1,2025,중개거래,서울 강남구,,6*,제2종일반주거,233.1,11680,강남구,,법인,논현동
2003,30.03,집합,제2종근린생활,개인,,,"20,500",14,1,2025,중개거래,서울 강남구,11,205-8,제3종일반주거,,11680,강남구,,개인,논현동
2013,1084.05,일반,제2종근린생활,법인,,,"1,050,000",14,1,2025,중개거래,"서울 강남구, 서울 서초구",,8**,제3종일반주거,266.1,11680,강남구,,개인,역삼동
2014,33.82,집합,제2종근린생활,법인,,,"80,000",27,1,2025,직거래,,1,825-24,일반상업,,11680,강남구,,개인,역삼동
2014,38.27,집합,제2종근린생활,법인,,,"80,000",27,1,2025,직거래,,1,825-24,일반상업,,11680,강남구,,개인,역삼동
2009,70.14,집합,제2종근린생활,개인,,,"63,000",15,1,2025,중개거래,서울 강남구,6,908-20,제3종일반주거,,11680,강남구,,개인,대치동
1995,23.09,집합,제2종근린생활,개인,,,"100,000",9,1,2025,중개거래,서울 강남구,1,12-4,제3종일반주거,,11680,강남구,,개인,개포동
2010,87.66,집합,판매,법인,,,"76,018",22,1,2025,중개거래,서울 송파구,3,121-38,제2종일반주거,,11680,강남구,,개인,삼성동
2010,58.8,집합,판매,법인,,,"50,991",22,1,2025,중개거래,서울 송파구,3,121-38,제2종일반주거,,11680,강남구,,개인,삼성동
2010,58.8,집합,판매,법인,,,"50,991",22,1,2025,중개거래,서울 송파구,3,121-38,제2종일반주거,,11680,강남구,,개인,삼성동
1998,23.4,집합,업무,개인,,,"13,800",31,1,2025,중개거래,서울 강남구,5,837-19,일반상업,,11680,강남구,,개인,역삼동
,670.1,일반,제2종근린생활,법인,,,"1,050,000",24,1,2025,중개거래,서울 강남구,,1**,제3종일반주거,223.2,11680,강남구,,개인,삼성동
2000,77.27,집합,업무,법인,,,"72,000",24,1,2025,중개거래,서울 강남구,15,157-8,일반상업,,11680,강남구,,개인,삼성동
1984,32.5,집합,판매,개인,,,"131,000",16,1,2025,직거래,,2,63,제3종일반주거,,11680,강남구,,개인,대치동
