buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2024,54,집합,제1종근린생활,개인,,,"271,700",31,1,2025,직거래,,1,639,제1종일반주거,,11710,송파구,,법인,거여동
2016,231.31,집합,업무,개인,,,"290,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,84.84,집합,업무,개인,,,"100,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,87.48,집합,업무,개인,,,"110,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,144.72,집합,업무,개인,,,"180,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,180.6,집합,업무,개인,,,"240,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,137.04,집합,업무,개인,,,"170,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,87.48,집합,업무,개인,,,"110,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,87.48,집합,업무,개인,,,"110,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,115.58,집합,업무,개인,,,"140,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2016,199.16,집합,업무,개인,,,"250,000",20,1,2025,중개거래,서울 송파구,,643-1,일반상업,,11710,송파구,,법인,문정동
2015,25.11,집합,제2종근린생활,법인,,,"40,000",15,1,2025,직거래,,,894,준주거,,11710,송파구,,개인,장지동
2015,25.11,집합,제2종근린생활,법인,,,"40,000",15,1,2025,직거래,,,894,준주거,,11710,송파구,,개인,장지동
2015,22.94,집합,제2종근린생활,법인,,,"40,000",15,1,2025,직거래,,,894,준주거,,11710,송파구,,개인,장지동
2015,24.08,집합,제2종근린생활,법인,,,"40,000",15,1,2025,직거래,,,894,준주거,,11710,송파구,,개인,장지동
2011,349.8,일반,제2종근린생활,법인,,,"585,000",31,1,2025,중개거래,서울 강남구,,1*,제3종일반주거,163.7,11710,송파구,,개인,송파동
2011,34.5,집합,제2종근린생활,개인,,,"28,000",24,1,2025,중개거래,서울 송파구,1,582,제2종일반주거,,11710,송파구,,개인,마천동
2016,64.73,집합,제1종근린생활,개인,,,"86,770",24,1,2025,중개거래,경기 구리시,,884,준주거,,11710,송파구,,법인,장지동
2016,55.46,집합,제1종근린생활,개인,,,"74,347",24,1,2025,중개거래,경기 구리시,,884,준주거,,11710,송파구,,법인,장지동
2016,98.71,집합,제1종근린생활,개인,,,"147,478",24,1,2025,중개거래,경기 구리시,,884,준주거,,11710,송파구,,법인,장지동
2016,60.35,집합,제1종근린생활,개인,,,"86,406",24,1,2025,중개거래,경기 구리시,,884,준주거,,11710,송파구,,법인,장지동
1986,7.84,집합,제2종근린생활,개인,,,"3,400",25,1,2025,중개거래,서울 송파구,,96-1,제3종일반주거,,11710,송파구,,개인,가락동
2008,11.38,집합,판매,개인,,,"6,000",23,1,2025,중개거래,서울 송파구,,634,유통상업,,11710,송파구,,법인,문정동
1986,7.84,집합,제2종근린생활,개인,,,"3,400",25,1,2025,중개거래,서울 송파구,,96-1,제3종일반주거,,11710,송파구,,개인,가락동
1986,12.04,집합,제2종근린생활,개인,,,"5,700",25,1,2025,중개거래,서울 송파구,,96-1,제3종일반주거,,11710,송파구,,개인,가락동
2019,61.41,집합,제1종근린생활,개인,,,"51,000",21,1,2025,직거래,,1,159-8,제3종일반주거,,11710,송파구,,법인,가락동
1983,249.32,일반,제2종근린생활,법인,,,"350,000",16,1,2025,중개거래,서울 강남구,,1**,제2종일반주거,194.7,11710,송파구,,법인,방이동
2016,75.69,집합,제2종근린생활,법인,,,"41,500",24,1,2025,중개거래,서울 송파구,,651,일반상업,,11710,송파구,,개인,문정동
