buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
2002,584.17,일반,숙박,개인,,,"600,000",15,1,2025,직거래,,,4**,일반상업,205,11740,강동구,,법인,천호동
2024,19.85,집합,업무,개인,,,"19,000",17,1,2025,중개거래,서울 강동구,,610,일반상업,,11740,강동구,,개인,성내동
2020,37.75,집합,제2종근린생활,법인,,,"29,780",22,1,2025,직거래,,,114,제2종일반주거,,11740,강동구,,공공기관,강일동
2002,47.76,집합,업무,법인,,,"19,500",6,1,2025,중개거래,서울 강동구,2,508,제3종일반주거,,11740,강동구,,개인,암사동
1983,25.63,집합,제1종근린생활,개인,,,"22,000",26,1,2025,직거래,,1,334-1,제3종일반주거,,11740,강동구,,개인,명일동
1984,12.96,집합,판매,개인,,,"17,000",11,1,2025,중개거래,서울 강동구,,15,제3종일반주거,,11740,강동구,,개인,명일동
2012,58.52,집합,제1종근린생활,개인,,,"18,100",3,1,2025,직거래,,3,679-1,일반상업,,11740,강동구,,법인,강일동
2012,74.48,집합,제1종근린생활,개인,,,"23,300",3,1,2025,직거래,,3,679-1,일반상업,,11740,강동구,,법인,강일동
2003,48.64,집합,제1종근린생활,개인,,,"40,000",21,1,2025,중개거래,"서울 강동구, 서울 송파구",1,111-64,제3종일반주거,,11740,강동구,,개인,성내동
1987,1957.9,일반,제2종근린생활,법인,,,"1,090,000",15,1,2025,직거래,,,4**,제2종일반주거,713.4,11740,강동구,,개인,성내동
1996,72.38,집합,업무,개인,,,"29,000",17,1,2025,중개거래,서울 강동구,,163-16,근린상업,,11740,강동구,,개인,성내동
1985,15.4,집합,판매,개인,,,"7,500",15,1,2025,직거래,,,347-3,제3종일반주거,,11740,강동구,,개인,명일동
1990,555.81,일반,제2종근린생활,법인,,,"190,000",15,1,2025,중개거래,서울 서초구,,4**,제2종일반주거,214.5,11740,강동구,,개인,암사동
2002,30.65,집합,업무,법인,,,"12,000",7,1,2025,중개거래,서울 강동구,9,413-1,일반상업,,11740,강동구,,개인,길동
,66.43,집합,제1종근린생활,개인,,,"41,000",20,2,2025,중개거래,서울 강동구,,632,제2종일반주거,,11740,강동구,,법인,둔촌동
2020,42.78,집합,제2종근린생활,개인,,,"26,500",22,2,2025,직거래,,2,382-1,제3종일반주거,,11740,강동구,,개인,길동
1984,12.6,집합,판매,개인,,,"19,500",27,2,2025,중개거래,서울 강동구,3,15,제3종일반주거,,11740,강동구,,개인,명일동
2023,23.01,집합,제1종근린생활,개인,,,"64,334",17,2,2025,직거래,,1,*,용도미지정,,11740,강동구,,법인,강일동
2023,22.42,집합,제1종근린생활,개인,,,"62,685",17,2,2025,직거래,,1,*,용도미지정,,11740,강동구,,법인,강일동
1999,68.6,집합,제2종근린생활,개인,,,"26,000",15,2,2025,직거래,,2,468-6,제3종일반주거,,11740,강동구,,개인,성내동
2016,57.32,집합,제2종근린생활,개인,,,"61,600",14,2,2025,중개거래,서울 강동구,1,421-22,제2종일반주거,,11740,강동구,,개인,성내동
1999,86.93,집합,업무,개인,,,"33,000",22,2,2025,직거래,,2,468-6,제3종일반주거,,11740,강동구,,개인,성내동
1993,997.91,일반,제2종근린생활,법인,,,"400,000",27,2,2025,중개거래,서울 강남구,,4**,제2종일반주거,320.6,11740,강동구,,기타,둔촌동
,4381.47,일반,제2종근린생활,법인,,,"2,980,000",7,2,2025,중개거래,"경기 성남시 수정구, 서울 송파구",,5**,제3종일반주거,1371.1,11740,강동구,,개인,성내동
1971,75.45,집합,제2종근린생활,개인,,,"39,500",17,2,2025,중개거래,서울 강동구,,166-4,일반상업,,11740,강동구,지분,개인,천호동
2005,44,집합,제2종근린생활,개인,,,"90,000",20,2,2025,중개거래,서울 강동구,1,412-8,일반상업,,11740,강동구,,법인,길동
1984,174.21,일반,제1종근린생활,개인,,,"105,000",12,2,2025,중개거래,서울 강동구,,1**,제2종일반주거,116,11740,강동구,,개인,성내동
2020,24.99,집합,제2종근린생활,개인,,,"84,640",12,2,2025,중개거래,서울 강동구,1,519,제2종일반주거,,11740,강동구,,개인,상일동
2002,79.92,집합,제1종근린생활,개인,,,"27,300",15,2,2025,중개거래,서울 강동구,2,413-1,일반상업,,11740,강동구,,개인,길동
1993,554.3,일반,제2종근린생활,법인,,,"390,000",17,2,2025,중개거래,서울 강남구,,1**,일반상업,208,11740,강동구,,개인,천호동
2015,27.43,집합,제1종근린생활,개인,,,"9,750",7,2,2025,중개거래,서울 강동구,1,388-7,일반상업,,11740,강동구,,개인,길동
2018,19.67,집합,제2종근린생활,개인,,,"7,000",7,2,2025,직거래,,1,223-4,제2종일반주거,,11740,강동구,지분,개인,천호동
2004,493.46,일반,제2종근린생활,법인,,,"280,000",6,2,2025,중개거래,"서울 강동구, 서울 관악구",,5**,제2종일반주거,204.9,11740,강동구,,개인,성내동
1994,20.48,집합,업무,개인,,,"9,150",6,2,2025,중개거래,서울 강동구,,449-49,일반상업,,11740,강동구,,개인,천호동
2024,6.99,집합,제1종근린생활,개인,,,"24,450",25,3,2025,직거래,,1,456,일반상업,,11740,강동구,,법인,길동
,770.85,일반,제1종근린생활,법인,,,"580,000",4,3,2025,중개거래,서울 강동구,,4**,제2종일반주거,300.7,11740,강동구,,개인,성내동
2021,56.5,집합,제2종근린생활,법인,,,"41,070",13,3,2025,직거래,,2,502-15,준주거,,11740,강동구,,법인,암사동
2003,4.8,집합,판매,개인,,,950,28,3,2025,직거래,,2,453-19,일반상업,,11740,강동구,,개인,천호동
2003,6.75,집합,판매,개인,,,"1,000",22,3,2025,직거래,,2,453-19,일반상업,,11740,강동구,,개인,천호동
2003,5.64,집합,판매,개인,,,"5,000",6,3,2025,직거래,,21,453-19,일반상업,,11740,강동구,,개인,천호동
2023,42.59,집합,제1종근린생활,개인,,,"98,000",10,3,2025,직거래,,1,397-26,제2종일반주거,,11740,강동구,,법인,천호동
,286.57,일반,제2종근린생활,법인,,,"151,500",5,3,2025,중개거래,서울 강동구,,2**,개발제한구역,330,11740,강동구,,개인,암사동
1969,46.4,일반,제2종근린생활,개인,,,"145,000",7,3,2025,중개거래,서울 강동구,,4**,일반상업,75,11740,강동구,,개인,천호동
,32.76,집합,제2종근린생활,개인,,,"39,500",17,3,2025,중개거래,서울 강동구,1,89,제2종일반주거,,11740,강동구,,개인,둔촌동
2024,92.04,일반,제2종근린생활,개인,,,"34,000",24,3,2025,직거래,,,2**,제2종일반주거,20,11740,강동구,지분,개인,천호동
2003,77.61,집합,제2종근린생활,법인,,,"33,000",25,3,2025,중개거래,서울 강동구,3,320-23,제3종일반주거,,11740,강동구,,개인,성내동
1984,19.38,집합,교육연구,개인,,,"29,500",5,3,2025,중개거래,서울 강동구,,15,제3종일반주거,,11740,강동구,,개인,명일동
1984,51.84,집합,제2종근린생활,개인,,,"21,000",12,3,2025,중개거래,서울 강동구,3,157-10,제3종일반주거,,11740,강동구,,개인,길동
