_prptDivCd,_pvctTrgtYn,alcYn,apslEvlAmt,apslPrcCtrsLowstBidRto,batcBidYn,bidDivCd,bidDivNm,bidMthodCd,bidMthodNm,bidPrgnNft,bldSqms,cltrBidBgngDt,cltrBidEndDt,cltrMngNo,cltrStatMngCd,cltrUsgLclsCtgrId,cltrUsgLclsCtgrNm,cltrUsgMclsCtgrId,cltrUsgMclsCtgrNm,cltrUsgSclsCtgrId,cltrUsgSclsCtgrNm,collbBidPsblYn,cptnMthodCd,cptnMthodNm,crtnYn,dspsMthodCd,dspsMthodNm,dtbtRqrEdtmCont,eltrGrprUseYn,evcRsbyTrgtCont,feeRate,frstBidPrc,frstCtrsLowstBidPrcRto,landSqms,lctnEmdNm,lctnSdnm,lctnSggnm,lowstBidPrcIndctCont,ltnoPnu,mdfcnDt,onbidCltrNm,onbidCltrno,onbidPbancNo,orgNm,pbctCdtnNo,pbctNo,pbctNsq,pbctStatCd,pbctStatNm,pbctsn,prptDivCd,prptDivNm,pvctTrgtYn,rdnmPnu,rentMthodNm,rentPerdCont,rqstOrgNm,subtBidPsblYn,thnlImgUrlAdr,totalamtUnpcDivCd,totalamtUnpcDivNm,twtmGthrBidPsblYn,usbdNft
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,8303.09,202608191000,202608241000,2026-0600-032225,0002,10000,부동산,10300,상가용및업무용건물,10302,문화및집회시설,N,0001,일반경쟁,N,0002,임대,,Y,임차인,,,,,상암동,서울특별시,마포구,199884876,,20260616154342,서울e스타디움 및 운영사무실,2024607,891796,재단법인 서울경제진흥원,6037993,10070854,10,0001,입찰준비중,,0002,공유재산,N,,변동형 임대,5년,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17027465&atchSn=1&hashCrpsNo=HCILEKKJAJEJAEEBMFHGKENKFBBEHHNMBFKJHKJDDILOPHLJHIMJLAJFIBHHHNDD&downloadImageKind=THNL_NM,0001,총액,N,6
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,133.91,202608121000,202608191600,2026-0600-034060,0002,10000,부동산,10300,상가용및업무용건물,10301,근린생활시설,N,0001,일반경쟁,N,0002,임대,,N,공고기관,,,,85.8,하계동,서울특별시,노원구,비공개,,20260727103044,서울특별시 노원구 하계동 251-9 101동 106호 근린생활시설,2028448,897955,코오롱하우스비전(주),6113479,10084681,1,0001,입찰준비중,,0002,공유재산,N,,변동형 임대,5년,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17032260&atchSn=1&hashCrpsNo=GIKFMDJNJOMMKMCILGPFGGLJBGGMAGHFMOCABIGFFMGKCDHFICCEJNLFAJGKAINO&downloadImageKind=THNL_NM,0001,총액,N,1
0002,N,N,395106480,,N,0001,전자입찰,0001,최고가방식,,51.12,202608070900,202608181800,2026-0700-039386,0002,10000,부동산,10500,용도복합용건물,10504,기타용도복합건물,N,0002,제한경쟁,N,0002,임대,,N,매매조건 없음,,,,51.12,한남동,서울특별시,용산구,19760000,,20260723142833,서울특별시 용산구 한남동 727-56 실지번 727-35 기타용도복합건물,2040170,897544,서울특별시 용산구,6110514,10083627,1,0001,입찰준비중,,0002,공유재산,N,,고정형 임대,3년,,Y,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17054999&atchSn=1&hashCrpsNo=AHMGEEGPAMDGGBLGBCDFCJJDKCEEELLFJGFNEIAKEKPCAHIJDPHODEOEJDFNBDDE&downloadImageKind=THNL_NM,0001,총액,N,0
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,8303.09,202608111000,202608181000,2026-0600-032225,0002,10000,부동산,10300,상가용및업무용건물,10302,문화및집회시설,N,0001,일반경쟁,N,0002,임대,,Y,임차인,,,,,상암동,서울특별시,마포구,299827314,,20260616154342,서울e스타디움 및 운영사무실,2024607,891796,재단법인 서울경제진흥원,6037992,10070853,9,0001,입찰준비중,,0002,공유재산,N,,변동형 임대,5년,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17027465&atchSn=1&hashCrpsNo=HCILEKKJAJEJAEEBMFHGKENKFBBEHHNMBFKJHKJDDILOPHLJHIMJLAJFIBHHHNDD&downloadImageKind=THNL_NM,0001,총액,N,6
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,73.3,202607271000,202608101800,2025-1000-073332,0002,10000,부동산,10300,상가용및업무용건물,10304,판매시설,N,0001,일반경쟁,N,0002,임대,,Y,낙찰자,,,,,마곡동,서울특별시,강서구,28179852,1150010500007670002,20260723132949,서울특별시 강서구 마곡동 767-2 지하 1층 판매시설(마곡 광장 상가 1호),1937705,897509,재단법인 서울경제진흥원,6110431,10083559,1,0002,입찰진행중,,0002,공유재산,N,1150031550510110000900000,변동형 임대,5년,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16524737&atchSn=1&hashCrpsNo=KFLBMFGMFLCMEMEKACBGCJKAMHCEHGECCNMBEGMMBMPOMFKFMIIFAFMKLIANEAJE&downloadImageKind=THNL_NM,0001,총액,N,9
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,84.54,202607271000,202608101800,2025-1000-073334,0002,10000,부동산,10300,상가용및업무용건물,10304,판매시설,N,0001,일반경쟁,N,0002,임대,,Y,낙찰자,,,,,마곡동,서울특별시,강서구,32504057,1150010500007670002,20260723132949,서울특별시 강서구 마곡동 767-2 지하 1층 판매시설(마곡 광장 상가 2호),1937710,897509,재단법인 서울경제진흥원,6110432,10083559,1,0002,입찰진행중,,0002,공유재산,N,1150031550510110000900000,변동형 임대,5년,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=16524740&atchSn=1&hashCrpsNo=KFLBMFGMFLCMEMEKACBGCJKAMHCEHGECCNMBEGMMBMPOMFKFMIIFAFMKLIANEAJE&downloadImageKind=THNL_NM,0001,총액,N,9
0002,N,N,24173184,,N,0001,전자입찰,0001,최고가방식,,27.37,202607241700,202608101800,2026-0500-024810,0002,10000,부동산,10300,상가용및업무용건물,10322,가설건축물,N,0001,일반경쟁,N,0002,임대,,N,매도자,,,,4126,성수동1가,서울특별시,성동구,21755865,,20260724165241,"서울특별시 성동구 성수동1가 685-704 A동 5,6호 가설건축물",2010084,897868,소셜혁신연구소 사회적협동조합,6113316,10084552,1,0002,입찰진행중,,0002,공유재산,N,,변동형 임대,1년,,Y,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17003687&atchSn=3&hashCrpsNo=NFONDMMJHNAOBCBFKPLEDFNCDEFELGIGEBIHLKGLOECLEKCKDFCPONMPMGFOFAFF&downloadImageKind=THNL_NM,0001,총액,N,2
0002,N,N,24173184,,N,0001,전자입찰,0001,최고가방식,,27.37,202607241700,202608101800,2026-0500-024837,0002,10000,부동산,10300,상가용및업무용건물,10322,가설건축물,N,0001,일반경쟁,N,0002,임대,,N,매도자,,,,4126,성수동1가,서울특별시,성동구,24173184,,20260724165353,서울특별시 성동구 성수동1가 685-704 A동 4호 가설건축물,2010130,897852,소셜혁신연구소 사회적협동조합,6113307,10084550,1,0002,입찰진행중,,0002,공유재산,N,,변동형 임대,1년,,Y,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17003745&atchSn=3&hashCrpsNo=NFONDMMJHNAOBCBFKPLEDFNCDEFELGIGEBIHLKGLOECLEKCKDFCPONMPMGFOFAFF&downloadImageKind=THNL_NM,0001,총액,N,2
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,8303.09,202608041000,202608101000,2026-0600-032225,0002,10000,부동산,10300,상가용및업무용건물,10302,문화및집회시설,N,0001,일반경쟁,N,0002,임대,,Y,임차인,,,,,상암동,서울특별시,마포구,399769751,,20260616154342,서울e스타디움 및 운영사무실,2024607,891796,재단법인 서울경제진흥원,6037991,10070852,8,0001,입찰준비중,,0002,공유재산,N,,변동형 임대,5년,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17027465&atchSn=1&hashCrpsNo=HCILEKKJAJEJAEEBMFHGKENKFBBEHHNMBFKJHKJDDILOPHLJHIMJLAJFIBHHHNDD&downloadImageKind=THNL_NM,0001,총액,N,6
0002,N,N,,,N,0001,전자입찰,0001,최고가방식,,97.814,202607311000,202608071600,2026-0700-041566,0002,10000,부동산,10500,용도복합용건물,10504,기타용도복합건물,N,0001,일반경쟁,N,0002,임대,,Y,첨부 공고문 참조,,,,,신당동,서울특별시,중구,36201000,1114016200002510007,20260730192926,"서울특별시 중구 마장로 22, DDP패션몰 2층 매점",2043550,898717,서울시설공단,6120790,10086030,1,0002,입찰진행중,,0002,공유재산,N,1114030050090100002200000,변동형 임대,15개월,,N,https://www.onbid.co.kr/op/cm/syc/filemng/filemngprcs/FileMngPrcsController/dnldFile.do?atchFileLstNo=17059926&atchSn=1&hashCrpsNo=GBDMILMJMILIAEGLIDCPIHAAOAFEAAOBOLLONJMBPPFBAOPEJADIGGLDMOEKFCMK&downloadImageKind=THNL_NM,0001,총액,N,0
