CLS_FULLNM,CLS_ID,CLS_NM,DTACYCLE_CD,DTA_VAL,GRP_FULLNM,GRP_ID,GRP_NM,ITM_FULLNM,ITM_ID,ITM_NM,STATBL_ID,UI_NM,WRTTIME_DESC,WRTTIME_IDTFR_ID
전남>광양읍,520223,광양읍,QY,0.592717660630209,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>광화문,520004,광화문,QY,0.642894221539989,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
제주>광양사거리,520267,광양사거리,QY,0.675443979129846,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>개금역,520278,개금역,QY,0.773392726059757,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>관평동,520289,관평동,QY,0.61028851373121,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>군산수송동조촌동,520301,군산수송동조촌동,QY,0.930063408875981,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>공주대,520197,공주대,QY,0.884806162527769,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>경북대북문,520090,경북대북문,QY,0.703494063811271,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>거제고현,520250,거제고현,QY,0.726355591524452,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산>삼산동,520132,삼산동,QY,0.567428055124188,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
세종>조치원,520139,조치원,QY,0.737757272054564,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>고양시청,520141,고양시청,QY,0.737564213028754,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>강릉교동,520175,강릉교동,QY,0.701979511773341,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>봉명사거리,520187,봉명사거리,QY,0.638053054600952,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>간석오거리,520104,간석오거리,QY,0.654214200281041,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>금남로/충장로,520113,금남로/충장로,QY,0.548576461687824,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전국,500001,전국,QY,0.625053935070171,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심,510003,도심,QY,0.527360828818598,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>가흥택지개발지구,520236,가흥택지개발지구,QY,0.710926973770928,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>광양중동,520224,광양중동,QY,0.801382670503922,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>남대문,520005,남대문,QY,0.491758522975449,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>검단사거리완정역,520282,검단사거리완정역,QY,0.711285784421094,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>군산원도심,520300,군산원도심,QY,0.694980008402526,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>경산시청,520304,경산시청,QY,0.692829632903687,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>공주웅진동,520198,공주웅진동,QY,0.699192724600912,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>계명대,520091,계명대,QY,0.509131628604692,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>거제옥포,520251,거제옥포,QY,0.542875742564212,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>노은,520124,노은,QY,0.529412086012951,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산>성남옥교동,520133,성남옥교동,QY,0.584297124218108,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>광명철산,520142,광명철산,QY,0.537751966597723,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>강릉중부,520176,강릉중부,QY,0.695712492205853,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>제천역,520188,제천역,QY,0.788122812562238,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>경성대/부경대,520069,경성대/부경대,QY,0.677817121216371,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>금호지구,520114,금호지구,QY,0.774957871848688,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울,500002,서울,QY,0.453267097962589,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>강남,510004,강남,QY,0.343324919626402,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
제주>노형오거리,520268,노형오거리,QY,0.523634929801996,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>나주구시가지,520225,나주구시가지,QY,0.652528351500594,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>동대문,520006,동대문,QY,0.584000301404595,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
제주>서귀포도심,520269,서귀포도심,QY,0.594099044255076,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>광주광남동,520290,광주광남동,QY,0.990847592704936,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>대전원도심,520317,대전원도심,QY,0.579367056453608,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>논산시외버스터미널,520199,논산시외버스터미널,QY,0.574696035230948,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>김제시장,520213,김제시장,QY,0.542655077451896,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>동대구,520092,동대구,QY,0.458843897843813,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>김해시청/동상시장,520252,김해시청/동상시장,QY,0.627696304057821,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산>신정동,520134,신정동,QY,0.359148604926108,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>묵호항,520177,묵호항,QY,1.03496077246667,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>제천중앙,520189,제천중앙,QY,0.594540939868816,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>광안리,520070,광안리,QY,0.3818105316166,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>계양계산,520105,계양계산,QY,0.72659192569459,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>봉선동,520115,봉선동,QY,0.758362627842041,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산,500003,부산,QY,0.556550586440673,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>영등포신촌,510005,영등포신촌,QY,0.459453307601625,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>경주도심,520237,경주도심,QY,0.729995419080227,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>목포구도심,520226,목포구도심,QY,0.583121196361779,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>명동,520007,명동,QY,0.385518259307558,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
제주>중앙사거리,520270,중앙사거리,QY,0.844906935750401,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>증평광장로,520190,증평광장로,QY,0.740292466677559,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>당진시청,520200,당진시청,QY,1.249836688035,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>남원광한루,520214,남원광한루,QY,0.687180942092089,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>동성로중심,520093,동성로중심,QY,0.5632066598604,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>마산동서동,520253,마산동서동,QY,0.893419056092918,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>둔산,520125,둔산,QY,0.824893757173851,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산>울산농소,520135,울산농소,QY,0.465354334726677,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>광주시가지,520143,광주시가지,QY,0.756138597576457,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>삼척중앙시장,520178,삼척중앙시장,QY,1.05170113328582,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>구서동/금정구청,520071,구서동/금정구청,QY,0.663067141693875,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>구월,520106,구월,QY,0.650327140780743,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>상무지구,520116,상무지구,QY,0.691962919309087,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구,500004,대구,QY,0.555398789056899,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>기타,510006,기타,QY,0.496480206444987,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>구미산업단지,520238,구미산업단지,QY,0.574238838618311,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>무선지구,520227,무선지구,QY,0.614117002433114,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천,500005,인천,QY,0.763857320810519,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>방산시장,520271,방산시장,QY,0.562711655001669,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>동호지구,520279,동호지구,QY,0.426416474898107,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>청주성안길,520191,청주성안길,QY,0.815182796912663,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>두정,520201,두정,QY,0.722148102708176,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>송천동,520215,송천동,QY,0.989808448049429,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>마산역버스터미널,520254,마산역버스터미널,QY,0.56479138782482,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>복합터미널,520126,복합터미널,QY,0.715502899212243,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산>울산대,520136,울산대,QY,0.345261354542178,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>구리역,520144,구리역,QY,0.575308169127076,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>속초중앙시장,520179,속초중앙시장,QY,0.710082430362235,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>남포동,520072,남포동,QY,0.734310623763522,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>부평,520107,부평,QY,0.798584953004826,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>송정동지구,520117,송정동지구,QY,0.445338747461317,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>구미선주원남동,520239,구미선주원남동,QY,0.506854361199964,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>순천법원,520228,순천법원,QY,0.622923259265218,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주,500006,광주,QY,0.648964763921656,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>북촌,520273,북촌,QY,0.518488337767415,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>두류감삼역,520280,두류감삼역,QY,0.430494360425911,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>청주율량동,520298,청주율량동,QY,1.07789625198203,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>배방읍,520202,배방읍,QY,0.871819844812697,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>영등부송,520216,영등부송,QY,0.628501848169102,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>밀양원도심/삼문동,520255,밀양원도심/삼문동,QY,0.703759057446288,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>양산지구,520118,양산지구,QY,0.902652900307572,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>서대전네거리,520127,서대전네거리,QY,0.729211857380785,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산>전하동,520137,전하동,QY,0.683169068972117,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>기흥역,520145,기흥역,QY,0.557963661925645,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>영월경찰서,520180,영월경찰서,QY,0.642319204036986,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>남항동,520073,남항동,QY,0.588115052333483,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>석남/가정중앙시장,520108,석남/가정중앙시장,QY,0.675580929012484,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>구미역,520240,구미역,QY,0.758595202641202,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>순천원도심,520229,순천원도심,QY,0.790790906840553,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전,500007,대전,QY,0.666616327197679,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>소래포구역,520283,소래포구역,QY,0.740568371449734,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>어룡동,520288,어룡동,QY,0.943883038777807,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>충북대학교,520192,충북대학교,QY,0.877990235994212,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>보령문화의전당,520203,보령문화의전당,QY,1.03001405708134,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>익산역,520217,익산역,QY,0.52141195677327,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>들안길,520094,들안길,QY,0.460912178614812,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>문경점촌흥덕,520241,문경점촌흥덕,QY,0.819908069602381,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>양산구도심,520256,양산구도심,QY,0.394737828500881,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>용문/한민시장,520128,용문/한민시장,QY,0.64044387986063,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>김량장동,520146,김량장동,QY,0.771966029189922,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>원주중앙/일산,520181,원주중앙/일산,QY,0.68868739980725,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>덕천역,520074,덕천역,QY,0.559830109441121,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>서촌,520272,서촌,QY,0.572492196868569,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>순천해룡면,520303,순천해룡면,QY,0.912127700443774,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
울산,500008,울산,QY,0.529082259098426,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>충주연수칠금,520193,충주연수칠금,QY,0.705239146248844,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>서산터미널,520204,서산터미널,QY,0.794336876669462,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>전주동부,520218,전주동부,QY,0.670306962620904,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>삼덕/대봉,520095,삼덕/대봉,QY,0.721113950583297,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>상주동문동,520242,상주동문동,QY,0.646707872555751,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>용봉동,520119,용봉동,QY,0.554218339305839,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대전>유성온천역,520130,유성온천역,QY,0.430607276191491,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>단대오거리역,520147,단대오거리역,QY,0.76502930790928,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>시청,520008,시청,QY,0.526746190867991,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>원주터미널,520182,원주터미널,QY,0.61445895240011,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>동래역,520075,동래역,QY,0.570324957284551,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>신포동,520109,신포동,QY,0.862847843065749,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>용원동,520309,용원동,QY,0.62686251699598,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>여수여문,520230,여수여문,QY,0.71832310562958,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>연수역,520285,연수역,QY,1.13208191028981,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>우산동,520286,우산동,QY,0.861170609922188,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북>충주자유시장,520194,충주자유시장,QY,0.594793449672076,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>아산온양,520205,아산온양,QY,0.859238334050775,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>전주서부,520219,전주서부,QY,0.729585075971732,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
세종,500009,세종,QY,0.678758641658109,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>안동구도심,520243,안동구도심,QY,0.734600294883511,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>진주중앙시장,520257,진주중앙시장,QY,0.643643324610254,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>동두천중앙로,520148,동두천중앙로,QY,0.556201677343219,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>을지로,520009,을지로,QY,0.534926896923324,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>주문진항,520183,주문진항,QY,0.818417727291247,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>상인/월배,520096,상인/월배,QY,0.80463503980172,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>부산대학앞,520076,부산대학앞,QY,0.509105586447324,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>전주서부신시가지,520220,전주서부신시가지,QY,0.606040404898877,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>여수원도심,520231,여수원도심,QY,0.74332528609973,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>인천서구청,520284,인천서구청,QY,0.894118455371262,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>모란,520149,모란,QY,0.820488457683073,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>진주하대동,520310,진주하대동,QY,0.603049160649203,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>예산시장,520206,예산시장,QY,0.698829060382312,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기,500010,경기,QY,0.727651719156888,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>양덕동,520244,양덕동,QY,0.532255596404473,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>월산동지구,520120,월산동지구,QY,0.693706083241653,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>종로,520010,종로,QY,0.539027041663428,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>춘천명동,520184,춘천명동,QY,0.708245966513462,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>서문시장/청라언덕,520097,서문시장/청라언덕,QY,0.483193438980445,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>부산역,520077,부산역,QY,0.645524383423047,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>여수학동,520232,여수학동,QY,0.616040912611332,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>일곡동,520287,일곡동,QY,0.655697220956342,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>병점역,520150,병점역,QY,0.62730291207336,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>전주한옥마을,520302,전주한옥마을,QY,1.07421372607574,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>천안역,520207,천안역,QY,0.722093274350197,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>부전시장,520078,부전시장,QY,0.665341293228706,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경북>영일대해수욕장,520245,영일대해수욕장,QY,0.46717435682235,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>진해석동,520258,진해석동,QY,0.910019829217766,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
서울>도심>충무로,520011,충무로,QY,0.506842004431068,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원>태백중앙시장,520185,태백중앙시장,QY,0.80718118119591,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
대구>수성범어,520098,수성범어,QY,0.310570624334923,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
인천>인하대앞,520110,인하대앞,QY,0.967854906840743,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
강원,500011,강원,QY,0.760653838608388,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전북>정읍중심,520221,정읍중심,QY,0.481491951878439,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
전남>조례,520233,조례,QY,0.821872801062184,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경기>부천역,520151,부천역,QY,0.663904130503255,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충남>천안종합버스터미널,520208,천안종합버스터미널,QY,1.08480777178444,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
부산>사상역,520079,사상역,QY,0.458657898101423,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
충북,500012,충북,QY,0.831463371680327,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
경남>창원시청,520259,창원시청,QY,0.932936874256432,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
광주>전남대,520121,전남대,QY,0.53119810146978,,,,소득수익률,100002,소득수익률,T242083134887473,%,2024년 3분기,202403
