CLS_FULLNM,CLS_ID,CLS_NM,DTACYCLE_CD,DTA_VAL,GRP_FULLNM,GRP_ID,GRP_NM,ITM_FULLNM,ITM_ID,ITM_NM,STATBL_ID,UI_NM,WRTTIME_DESC,WRTTIME_IDTFR_ID
충남>금산인삼국제시장,520186,금산인삼국제시장,QY,103.891333106102,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>거제고현,520223,거제고현,QY,121.483111067634,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>도심,510003,도심,QY,107.659236262389,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>도심>남대문,520004,남대문,QY,105.701145741643,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주>금남로/충장로,520086,금남로/충장로,QY,122.267584775292,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전국,500001,전국,QY,104.672753790831,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>고양시청,520111,고양시청,QY,100.565624002897,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>광안리,520048,광안리,QY,92.1641738009867,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대구>계명대,520063,계명대,QY,108.655873088935,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
강원>강릉중부,520165,강릉중부,QY,97.7854644428127,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충북>오창호수공원,520176,오창호수공원,QY,103.151642906077,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
울산>삼산동,520102,삼산동,QY,107.312485711081,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남>논산시외버스터미널,520187,논산시외버스터미널,QY,103.480296373292,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>거제옥포,520224,거제옥포,QY,131.363669050069,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>강남,510004,강남,QY,98.9309788677262,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>도심>동대문,520005,동대문,QY,109.883998760743,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
제주>노형오거리,520244,노형오거리,QY,102.991560925573,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주>봉선동,520087,봉선동,QY,102.207975261298,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울,500002,서울,QY,100.875623361299,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
울산>성남옥교동,520103,성남옥교동,QY,109.473650908794,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>고잔신도시,520112,고잔신도시,QY,95.0419546387619,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>남포동,520049,남포동,QY,115.411940488051,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
인천>계양계산,520076,계양계산,QY,99.0062157946384,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
강원>동해천곡,520166,동해천곡,QY,97.4597061338239,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충북>용담동우체국,520177,용담동우체국,QY,108.226747618982,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전>노은,520095,노은,QY,104.787600489582,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남>당진시청,520188,당진시청,QY,111.906416326246,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전북>익산역,520199,익산역,QY,104.83927845307,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전남>순천원도심,520207,순천원도심,QY,111.017794923407,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경북>구미산업단지,520215,구미산업단지,QY,106.267981264939,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>김해수리공원,520225,김해수리공원,QY,102.652964811935,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산,500003,부산,QY,106.649490871072,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주>상무지구,520088,상무지구,QY,107.45418878342,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전>대전동구청,520096,대전동구청,QY,105.182717765678,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
울산>신정동,520104,신정동,QY,107.270518923656,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>동래역,520050,동래역,QY,112.683646524704,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
강원>삼척중앙시장,520167,삼척중앙시장,QY,98.2455262144598,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>영등포신촌,510005,영등포신촌,QY,98.0399329458287,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남>두정,520189,두정,QY,110.124324624152,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전남>여수학동,520208,여수학동,QY,108.300700454282,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경북>구미역,520216,구미역,QY,110.183357940095,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>김해시 내외동,520226,김해시 내외동,QY,109.56224976083,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타,510006,기타,QY,98.3232014051253,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>도심>종로,520007,종로,QY,103.693331213545,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대구,500004,대구,QY,106.850736776999,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
울산>울산농소,520105,울산농소,QY,119.172688295374,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>광명철산,520114,광명철산,QY,102.394260983082,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
인천>부평,520078,부평,QY,100.694880679382,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
강원>속초중앙시장,520168,속초중앙시장,QY,97.1561857726853,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충북>제천중앙,520179,제천중앙,QY,110.619246989318,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전>동춘당공원,520097,동춘당공원,QY,93.8215986222944,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남>백석,520190,백석,QY,113.30940073296,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전남>전남도청,520209,전남도청,QY,119.51977016666,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>김해시청/동상시장,520227,김해시청/동상시장,QY,109.650031465829,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>강남>강남대로,520009,강남대로,QY,100.395445768722,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
인천>송도,520079,송도,QY,100.585658639218,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
인천,500005,인천,QY,103.025517843181,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전>둔산,520098,둔산,QY,99.2127754674862,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
울산>전하동,520106,전하동,QY,124.509363791971,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>금릉역,520115,금릉역,QY,104.235559281935,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
강원>영월경찰서,520169,영월경찰서,QY,100.847566858207,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충북>청주고속버스터미널,520180,청주고속버스터미널,QY,114.354002312927,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주>수완지구,520090,수완지구,QY,106.056686632882,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경북>안동구도심,520218,안동구도심,QY,106.066390325422,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>김해장유,520228,김해장유,QY,102.101386962191,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주>첨단1지구,520091,첨단1지구,QY,101.116922473138,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주,500006,광주,QY,108.331322785682,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>민락공원,520052,민락공원,QY,111.858164761459,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충북>청주지방법원,520181,청주지방법원,QY,114.417846877721,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전>목원대,520099,목원대,QY,133.71424026435,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남>아산온양,520192,아산온양,QY,117.322323046841,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전북>전주서부신시가지,520203,전주서부신시가지,QY,109.26958512437,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전남>하당신도심,520211,하당신도심,QY,111.809723613957,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전,500007,대전,QY,105.748579307684,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
광주>첨단2지구,520092,첨단2지구,QY,121.742404964573,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
대전>유성온천역,520100,유성온천역,QY,112.875829452543,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
강원>원주중앙/일산,520171,원주중앙/일산,QY,127.730615735448,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>마산동서동,520229,마산동서동,QY,116.570567495443,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충북>충주연수칠금,520183,충주연수칠금,QY,113.526847750424,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남>천안시청,520193,천안시청,QY,105.290526744844,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경북>옥동사거리,520220,옥동사거리,QY,102.110960703837,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
울산,500008,울산,QY,112.783287254837,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>강남>논현역,520012,논현역,QY,101.185987307057,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
인천>인천논현역,520082,인천논현역,QY,107.368526197564,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
