DATA_END_YY,DATA_START_YY,DTACYCLE_CD,DTACYCLE_NM,OPEN_STATE,RPSTUI_NM,STATBL_CMMT,STATBL_ID,STATBL_IDTFR,STATBL_NM,STAT_ID,TOP_ORG_NM,V_ORDER
2025,1987,YY,매년,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00900,,(연) 지역별 지가지수,S227720243,한국부동산원,304001
2025,1987,YY,매년,Y,기준시점 : 2026.01.=100.0 ,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",T253233138851223,,(연) 용도지역별 지가지수,S227720243,한국부동산원,304002
2025,1987,YY,매년,Y,기준시점 : 2026.01.=100.0 ,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)
",T251683138861068,,(연) 이용상황별 지가지수,S227720243,한국부동산원,304003
2026,1987,"QY,MM","분기,월",Y,기준시점 : 2026.01.=100.0 ,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00901,,(월) 지역별 지가지수,S227720243,한국부동산원,304004
2026,1987,"QY,MM","분기,월",Y,기준시점 : 2026.01.=100.0 ,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00003,,(월) 용도지역별 지가지수,S227720243,한국부동산원,304005
2026,1987,"QY,MM","분기,월",Y,기준시점 : 2026.01.=100.0 ,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)
",A_2024_00004,,(월) 이용상황별 지가지수,S227720243,한국부동산원,304006
2025,1975,YY,매년,Y,,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00902,,(연) 지역별 지가변동률,S227720243,한국부동산원,305007
2025,2012,YY,매년,Y,,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",T257803138871680,,(연) 용도지역별 지가변동률,S227720243,한국부동산원,305008
2025,2012,YY,매년,Y,,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",T254153138841315,,(연) 이용상황별 지가변동률,S227720243,한국부동산원,305009
2026,1987,"QY,MM","분기,월",Y,,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00903,,(월) 지역별 지가변동률,S227720243,한국부동산원,305010
2026,1987,"QY,MM","분기,월",Y,,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00007,,(월) 용도지역별 지가변동률,S227720243,한국부동산원,305011
2026,1987,"QY,MM","분기,월",Y,,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00008,,(월) 이용상황별 지가변동률,S227720243,한국부동산원,305012
2025,2014,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00011,,주요정책사업(혁신도시) 지가지수,S227720243,한국부동산원,306013
2024,2022,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00012,,국가산업단지 지가지수,S227720243,한국부동산원,306014
2024,2022,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00013,,농지 지가지수,S227720243,한국부동산원,306015
2024,2014,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00014,,실질 지가지수,S227720243,한국부동산원,306016
2024,2022,MM,월,Y,기준시점 : 2026.01.=100.0,"◈3기신도시 : 고양창릉, 남양주왕숙, 부천대장, 인천계양, 하남교산
◈기타 공공주택지구 : 과천과천, 광명시흥

※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8545,547)",A_2024_00015,,개발사업(3기신도시) 지가지수,S227720243,한국부동산원,306017
2024,2024,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",T245113133421365,,인구감소지역 지가지수,S227720243,한국부동산원,306018
2015,2010,MM,월,Y,기준월 : 2012.06.=100,"※조사ㆍ통계문의 : 부동산통계처 주택통계부(053-663-8506,504)",A_2024_00162,,지역별 월세가격지수(구),S249620303,한국부동산원,362019
2015,2010,MM,월,Y,,"※조사ㆍ통계문의 : 부동산통계처 상업자산통계부(053-663-8532,8536)",T248493131844741,,월세이율(~14.12)(구),S249620303,한국부동산원,365020
2015,2010,MM,월,Y,,"※조사ㆍ통계문의 : 부동산통계처 주택통계부(053-663-8506,504)",T242093131851096,,지역별 수급동향(구),S249620303,한국부동산원,365021
2015,2010,MM,월,Y,,"※ 조사·통계 문의: 부동산분석처 거래분석부(053-663-8569, 8518)",A_2024_00175,,지역별 거래동향(구),S249620303,한국부동산원,365022
2024,2006,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00176,,(월) 지역별 매매지수_공동주택통합,S231520283,한국부동산원,367023
2024,2006,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00177,,(월) 지역별 매매지수(계절조정)_공동주택통합,S231520283,한국부동산원,367024
2024,2006,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00178,,(월) 지역별 매매지수_아파트,S231520283,한국부동산원,368025
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",T247493131863202,,(월) 규모별 매매지수_아파트,S231520283,한국부동산원,368026
2024,2006,QY,분기,Y,기준시점 : 2017.4Q=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00180,,(분기) 시군구별 매매지수_아파트,S231520283,한국부동산원,368027
2024,2006,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00181,,(월) 지역별 매매지수(계절조정)_아파트,S231520283,한국부동산원,368028
2024,2014,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00182,,(월) 지역별 전세지수_아파트,S231520283,한국부동산원,368029
2024,2014,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",T247783131877418,,(월) 규모별 전세지수_아파트,S231520283,한국부동산원,368030
2024,2014,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00184,,(월) 지역별 전세지수(계절조정)_아파트,S231520283,한국부동산원,368031
2024,2006,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00185,,(월) 지역별 매매지수_연립/다세대,S231520283,한국부동산원,369032
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00186,,(월) 규모별 매매지수_연립/다세대,S231520283,한국부동산원,369033
2024,2006,MM,월,Y,기준시점 : 2017.11.=100,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00187,,(월) 지역별 매매지수(계절조정)_연립/다세대,S231520283,한국부동산원,369034
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00188,,(월) 지역별 매매 평균가격_아파트,S231520283,한국부동산원,370035
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00189,,(월) 지역별 매매 중위가격_아파트,S231520283,한국부동산원,370036
