RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,종로구,명륜1가,,,,단독다가구,178.0,242.54,140000,20241212,1992,직거래,
2025,종로구,이화동,,,,단독다가구,267.0,490.18,200000,20241230,1986,중개거래,서울 강남구
2025,종로구,창신동,,,,단독다가구,156.0,314.73,146000,20250103,1990,중개거래,서울 종로구
2025,종로구,명륜4가,,,,단독다가구,89.0,165.4,95000,20250107,1996,중개거래,서울 종로구
2025,종로구,명륜4가,,,,단독다가구,89.0,165.4,95000,20250107,1996,중개거래,서울 종로구
2025,종로구,이화동,,,,단독다가구,65.0,111.11,75000,20250108,1962,중개거래,서울 성북구
2025,종로구,삼청동,,,,단독다가구,93.0,42.98,117000,20250120,1911,중개거래,서울 송파구
2025,종로구,옥인동,,,,단독다가구,105.0,107.74,85000,20250205,1995,중개거래,서울 종로구
2025,종로구,명륜4가,,,,단독다가구,177.0,186.94,180000,20250206,1972,중개거래,서울 동대문구
2025,종로구,명륜3가,,,,단독다가구,197.0,408.18,225000,20250211,1994,중개거래,서울 종로구
2025,종로구,계동,,,,단독다가구,46.0,28.83,55500,20250219,1911,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,83.0,44.56,32000,20250219,1976,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,56.0,79.36,40000,20250226,1985,중개거래,서울 종로구
2025,종로구,권농동,,,,단독다가구,77.0,128.47,145000,20250226,1911,중개거래,서울 종로구
2025,종로구,충신동,,,,단독다가구,50.0,80.33,17500,20250228,1978,직거래,
2025,종로구,평창동,,,,단독다가구,585.0,423.4,309000,20250228,2009,중개거래,서울 서초구
2025,종로구,부암동,,,,단독다가구,129.0,56.46,78000,20250301,1971,중개거래,서울 종로구
2025,종로구,사직동,,,,단독다가구,77.0,142.53,140000,20250302,1992,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,197.0,408.18,225000,20250304,1994,중개거래,서울 종로구
2025,종로구,신교동,,,,단독다가구,70.0,45.23,51000,20250304,1911,직거래,
2025,종로구,숭인동,,,,단독다가구,119.0,69.42,45000,20250304,1911,직거래,
2025,종로구,명륜3가,,,,단독다가구,197.0,408.18,225000,20250305,1994,중개거래,서울 종로구
2025,종로구,숭인동,,,,단독다가구,205.0,387.8,163000,20250305,1995,중개거래,서울 종로구
2025,종로구,명륜4가,,,,단독다가구,115.0,59.5,105000,20250305,1911,중개거래,서울 종로구
2025,종로구,구기동,,,,단독다가구,76.0,56.86,58000,20250311,1981,중개거래,서울 용산구
2025,종로구,계동,,,,단독다가구,177.0,199.23,194000,20250315,2009,중개거래,서울 종로구
2025,종로구,숭인동,,,,단독다가구,104.0,48.27,35700,20250321,1958,중개거래,서울 종로구
2025,종로구,충신동,,,,단독다가구,109.0,226.1,110000,20250322,1984,중개거래,서울 종로구
