RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,중구,장충동1가,14300,,,,단독다가구,202.0,104.06,315634,20241205,1986,,,직거래,
2025,중구,황학동,16500,,,,단독다가구,148.0,333.84,156500,20241206,2001,,,중개거래,서울 중구
2025,중구,황학동,16500,,,,단독다가구,83.0,294.16,110000,20241223,1992,,,중개거래,서울 중구
2025,중구,만리동1가,17300,,,,단독다가구,120.0,103.08,122000,20250106,1900,,,중개거래,"서울 마포구, 서울 영등포구"
2025,중구,신당동,16200,,,,단독다가구,86.0,239.56,133690,20250108,2006,,,중개거래,"서울 동대문구, 서울 중구"
2025,중구,신당동,16200,,,,단독다가구,103.0,29.75,82470,20250110,1948,,,중개거래,경기 가평군
2025,중구,황학동,16500,,,,단독다가구,148.0,333.84,156500,20250116,2001,,,중개거래,서울 중구
2025,중구,남산동2가,12900,,,,단독다가구,79.0,189.48,165000,20250121,1900,,,중개거래,서울 중구
2025,중구,중림동,17100,,,,단독다가구,122.0,85.77,214600,20250131,1932,,,직거래,
2025,중구,회현동1가,12100,,,,단독다가구,72.0,109.07,51000,20250204,1985,,,중개거래,서울 중구
2025,중구,신당동,16200,,,,단독다가구,73.0,92.56,109500,20250218,1955,,,중개거래,서울 중구
2025,중구,남산동2가,12900,,,,단독다가구,102.0,99.97,170000,20250219,1900,,,중개거래,서울 강동구
2025,중구,충무로4가,13200,,,,단독다가구,24.0,39.53,67500,20250221,1901,,,중개거래,서울 중구
2025,중구,신당동,16200,,,,단독다가구,139.0,263.67,160000,20250224,1994,,,중개거래,서울 중구
2025,중구,신당동,16200,,,,단독다가구,56.0,29.36,113683,20250224,1960,,,중개거래,서울 중구
2025,중구,신당동,16200,,,,단독다가구,33.0,23.14,65500,20250225,1900,,,중개거래,서울 중구
2025,중구,신당동,16200,,,,단독다가구,46.0,13.22,50500,20250225,1900,,,중개거래,서울 중구
2025,중구,신당동,16200,,,,단독다가구,162.0,358.06,219000,20250227,1997,,,중개거래,서울 중구
