RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,용산구,문배동,,,,단독다가구,36.0,42.97,390400,20231222,1949,직거래,
2025,용산구,한남동,,,,단독다가구,90.0,99.18,226000,20241114,1978,직거래,
2025,용산구,동빙고동,,,,단독다가구,175.0,267.02,420000,20241209,1994,중개거래,서울 용산구
2025,용산구,주성동,,,,단독다가구,109.0,47.27,320000,20241212,1967,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,155.0,264.96,370000,20241219,1993,중개거래,서울 용산구
2025,용산구,문배동,,,,단독다가구,36.0,42.97,390400,20241219,1949,직거래,
2025,용산구,이태원동,,,,단독다가구,198.0,321.5,250000,20241226,1993,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,169.0,161.62,430000,20241230,1975,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,261.0,454.57,545000,20250103,1993,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,212.0,267.9,450000,20250104,1990,중개거래,서울 용산구
2025,용산구,한남동,,,,단독다가구,89.0,113.43,295000,20250113,1978,중개거래,"서울 마포구, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,134.0,148.5,330000,20250113,1992,중개거래,서울 용산구
2025,용산구,한남동,,,,단독다가구,89.0,113.43,295000,20250113,1978,중개거래,"서울 마포구, 서울 용산구"
2025,용산구,동빙고동,,,,단독다가구,208.0,95.11,500000,20250116,1970,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,33.0,48.92,51000,20250117,1958,중개거래,서울 용산구
2025,용산구,후암동,,,,단독다가구,90.0,52.07,92000,20250118,1983,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,129.0,190.28,125000,20250118,1999,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,106.0,154.71,300000,20250118,1988,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,119.0,194.82,289000,20250121,1990,중개거래,"서울 광진구, 서울 용산구"
2025,용산구,서계동,,,,단독다가구,122.0,151.55,103100,20250123,1982,중개거래,서울 용산구
2025,용산구,동자동,,,,단독다가구,150.0,222.42,180000,20250124,1986,중개거래,서울 용산구
2025,용산구,원효로2가,,,,단독다가구,288.0,541.44,510620,20250124,1988,중개거래,서울 용산구
2025,용산구,원효로2가,,,,단독다가구,288.0,541.44,510620,20250124,1988,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,102.0,145.65,355000,20250130,1992,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,109.0,58.84,320000,20250131,1967,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,352.0,643.57,970000,20250131,1961,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,164.0,249.38,370000,20250201,1994,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,159.0,71.57,430000,20250201,1974,중개거래,"경기 하남시, 서울 용산구"
