RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,성동구,용답동,12200,,,,단독다가구,202.0,400.14,280000,20241207,1989,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,115.0,195.33,275000,20241214,1986,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,86.0,119.73,180000,20241221,1995,,,중개거래,서울 성동구
2025,성동구,사근동,10600,,,,단독다가구,96.0,92.24,59900,20241222,1971,,,직거래,
2025,성동구,금호동3가,11100,,,,단독다가구,43.0,79.45,50000,20241227,1983,,,직거래,
2025,성동구,마장동,10500,,,,단독다가구,186.0,220.4,220000,20241230,1976,,,중개거래,서울 성동구
2025,성동구,성수동1가,11400,,,,단독다가구,136.0,149.28,298000,20241230,1992,,,중개거래,"서울 강남구, 서울 성동구"
2025,성동구,성수동2가,11500,,,,단독다가구,168.0,170.91,254000,20250103,1979,,,중개거래,서울 성동구
2025,성동구,마장동,10500,,,,단독다가구,181.0,408.18,220000,20250107,1985,,,직거래,
2025,성동구,하왕십리동,10200,,,,단독다가구,77.0,149.43,80500,20250112,1987,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,136.0,175.14,285000,20250117,1987,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,147.0,411.57,746500,20250117,2002,,,중개거래,서울 성동구
2025,성동구,성수동1가,11400,,,,단독다가구,73.0,48.2,185000,20250122,1986,,,직거래,
2025,성동구,금호동3가,11100,,,,단독다가구,57.0,95.95,77000,20250203,1994,,,중개거래,서울 성동구
2025,성동구,마장동,10500,,,,단독다가구,111.0,158.92,170000,20250203,1977,,,직거래,
2025,성동구,행당동,10700,,,,단독다가구,139.0,182.52,130000,20250205,1987,,,직거래,
2025,성동구,홍익동,10300,,,,단독다가구,108.0,194.31,160000,20250213,2004,,,중개거래,서울 성동구
2025,성동구,행당동,10700,,,,단독다가구,195.0,349.92,270000,20250214,1992,,,중개거래,서울 성동구
2025,성동구,마장동,10500,,,,단독다가구,89.0,45.88,27000,20250214,1966,,,중개거래,서울 동대문구
2025,성동구,마장동,10500,,,,단독다가구,60.0,60.46,110000,20250214,null,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,53.0,52.24,173500,20250219,1988,,,중개거래,"서울 서초구, 서울 성동구"
2025,성동구,성수동2가,11500,,,,단독다가구,86.0,117.95,200000,20250219,1993,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,109.0,172.22,230000,20250219,1992,,,중개거래,서울 성동구
2025,성동구,용답동,12200,,,,단독다가구,151.0,162.35,264000,20250220,1975,,,중개거래,서울 성동구
2025,성동구,응봉동,10800,,,,단독다가구,106.0,166.77,170000,20250222,1993,,,중개거래,서울 성동구
2025,성동구,응봉동,10800,,,,단독다가구,99.0,164.52,168000,20250228,1993,,,중개거래,"서울 강남구, 서울 성동구"
2025,성동구,금호동3가,11100,,,,단독다가구,133.0,85.62,120000,20250301,1967,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,112.0,161.16,240000,20250301,1989,,,중개거래,"서울 성동구, 서울 용산구"
2025,성동구,성수동2가,11500,,,,단독다가구,73.0,67.77,185000,20250305,1971,,,중개거래,서울 강남구
2025,성동구,금호동3가,11100,,,,단독다가구,69.0,131.13,120000,20250307,1990,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,100.0,135.24,338000,20250311,1969,,,중개거래,서울 성동구
2025,성동구,성수동1가,11400,,,,단독다가구,155.0,230.7,352500,20250315,1989,,,중개거래,서울 성동구
2025,성동구,마장동,10500,,,,단독다가구,288.0,614.34,545000,20250315,1992,,,중개거래,서울 광진구
2025,성동구,성수동2가,11500,,,,단독다가구,147.0,411.57,730000,20250318,2002,,,중개거래,서울 성동구
2025,성동구,송정동,11800,,,,단독다가구,165.0,230.2,260000,20250318,1974,,,중개거래,서울 성동구
2025,성동구,금호동2가,11000,,,,단독다가구,198.0,207.28,173000,20250318,1974,,,중개거래,서울 성동구
2025,성동구,금호동2가,11000,,,,단독다가구,136.0,290.94,140000,20250319,1995,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,166.0,238.38,350000,20250323,1990,,,중개거래,"서울 성동구, 서울 용산구"
2025,성동구,성수동2가,11500,,,,단독다가구,185.0,559.0,980000,20250325,1995,,,중개거래,서울 강남구
2025,성동구,성수동2가,11500,,,,단독다가구,248.0,597.25,525000,20250325,1988,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,109.0,95.48,270000,20250327,1971,,,중개거래,"서울 강남구, 서울 용산구"
2025,성동구,금호동3가,11100,,,,단독다가구,76.0,39.11,100000,20250328,1968,,,중개거래,"서울 동대문구, 서울 성동구"
2025,성동구,성수동1가,11400,,,,단독다가구,106.0,159.72,300000,20250329,1994,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,129.0,157.51,260000,20250330,1988,,,중개거래,서울 성동구
2025,성동구,금호동4가,11200,,,,단독다가구,122.0,170.15,296600,20250401,1991,,,직거래,
2025,성동구,행당동,10700,,,,단독다가구,93.0,179.4,80000,20250402,1996,,,중개거래,서울 성동구
2025,성동구,금호동4가,11200,,,,단독다가구,61.0,83.43,62000,20250402,1990,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,212.0,295.62,500000,20250402,1984,,,중개거래,서울 강남구
2025,성동구,성수동2가,11500,,,,단독다가구,198.0,249.54,400000,20250404,1992,,,중개거래,서울 성동구
2025,성동구,마장동,10500,,,,단독다가구,99.0,154.0,86000,20250407,1990,,,중개거래,서울 서초구
2025,성동구,성수동1가,11400,,,,단독다가구,142.0,195.74,370000,20250408,1985,,,중개거래,"서울 서초구, 서울 성동구"
2025,성동구,성수동2가,11500,,,,단독다가구,232.0,255.87,460000,20250409,1982,,,중개거래,"서울 성동구, 서울 용산구"
2025,성동구,행당동,10700,,,,단독다가구,103.0,147.42,105900,20250409,1988,,,직거래,
2025,성동구,금호동3가,11100,,,,단독다가구,119.0,198.42,140000,20250409,1991,,,중개거래,서울 성동구
2025,성동구,행당동,10700,,,,단독다가구,152.0,240.17,158000,20250411,1990,,,중개거래,서울 성동구
2025,성동구,송정동,11800,,,,단독다가구,99.0,161.1,150000,20250411,1988,,,중개거래,서울 성동구
2025,성동구,송정동,11800,,,,단독다가구,99.0,153.3,151500,20250411,1988,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,93.0,109.16,230000,20250412,1975,,,중개거래,서울 성동구
2025,성동구,용답동,12200,,,,단독다가구,170.0,195.36,248000,20250413,1974,,,중개거래,"서울 서대문구, 서울 성동구"
2025,성동구,금호동3가,11100,,,,단독다가구,136.0,163.17,95000,20250414,1970,,,직거래,
2025,성동구,성수동1가,11400,,,,단독다가구,155.0,196.0,385000,20250417,1990,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,60.0,84.86,230000,20250417,1970,,,중개거래,서울 성동구
2025,성동구,성수동2가,11500,,,,단독다가구,122.0,152.14,296000,20250418,1975,,,중개거래,"서울 성동구, 서울 용산구"
2025,성동구,성수동2가,11500,,,,단독다가구,219.0,329.76,403000,20250419,1991,,,중개거래,서울 성동구
2025,성동구,성수동1가,11400,,,,단독다가구,129.0,275.0,342000,20250421,1993,,,중개거래,서울 서대문구
2025,성동구,성수동1가,11400,,,,단독다가구,188.0,297.31,720000,20250422,1989,,,중개거래,"서울 동대문구, 서울 성동구"
2025,성동구,마장동,10500,,,,단독다가구,114.0,144.39,140000,20250425,1977,,,직거래,
2025,성동구,금호동3가,11100,,,,단독다가구,40.0,33.06,70000,20250503,1958,,,중개거래,서울 성동구
