RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,광진구,자양동,10500,,,,단독다가구,108.0,236.1,111500,20241127,1990,,,중개거래,인천 남동구
2025,광진구,자양동,10500,,,,단독다가구,168.0,239.31,458469,20241206,1983,,,직거래,
2025,광진구,자양동,10500,,,,단독다가구,203.0,238.95,571934,20241218,1984,,,직거래,
2025,광진구,군자동,10900,,,,단독다가구,50.0,39.47,17000,20241230,1971,,,중개거래,서울 광진구
2025,광진구,구의동,10300,,,,단독다가구,150.0,249.75,148825,20241230,1991,,,직거래,
2025,광진구,중곡동,10100,,,,단독다가구,119.0,311.46,85000,20241231,1988,,,중개거래,서울 광진구
2025,광진구,자양동,10500,,,,단독다가구,110.0,95.54,80000,20250103,1978,,,직거래,
2025,광진구,자양동,10500,,,,단독다가구,112.0,228.43,306554,20250109,1995,,,직거래,
2025,광진구,중곡동,10100,,,,단독다가구,112.0,174.24,56700,20250115,1988,,,중개거래,서울 광진구
2025,광진구,중곡동,10100,,,,단독다가구,185.0,180.21,98000,20250121,1974,,,직거래,
2025,광진구,자양동,10500,,,,단독다가구,140.0,196.74,361518,20250124,1977,,,직거래,
2025,광진구,자양동,10500,,,,단독다가구,99.0,142.83,293132,20250124,1992,,,직거래,
2025,광진구,중곡동,10100,,,,단독다가구,333.0,193.1,350000,20250203,1975,,,중개거래,서울 광진구
2025,광진구,자양동,10500,,,,단독다가구,154.0,493.57,274000,20250211,1993,,,중개거래,서울 광진구
2025,광진구,구의동,10300,,,,단독다가구,117.0,223.49,113000,20250212,2010,,,중개거래,서울 광진구
2025,광진구,중곡동,10100,,,,단독다가구,175.0,248.31,154000,20250215,1990,,,중개거래,서울 광진구
2025,광진구,자양동,10500,,,,단독다가구,119.0,191.41,165000,20250215,1988,,,중개거래,서울 광진구
2025,광진구,자양동,10500,,,,단독다가구,127.0,277.62,174000,20250220,1987,,,중개거래,서울 광진구
2025,광진구,자양동,10500,,,,단독다가구,124.0,199.26,95800,20250222,1991,,,중개거래,서울 광진구
2025,광진구,자양동,10500,,,,단독다가구,119.0,184.08,142000,20250304,1988,,,중개거래,서울 강남구
2025,광진구,중곡동,10100,,,,단독다가구,181.0,351.57,247000,20250306,2018,,,중개거래,서울 광진구
2025,광진구,중곡동,10100,,,,단독다가구,110.0,165.24,69000,20250308,1989,,,직거래,
2025,광진구,자양동,10500,,,,단독다가구,171.0,174.55,289506,20250310,1979,,,직거래,
