RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,동대문구,용두동,10200,,,,단독다가구,201.0,241.72,274500,20241127,1975,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,76.0,49.59,90000,20241212,1968,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,86.0,48.46,32500,20241214,1960,,,중개거래,경기 양주시
2025,동대문구,용두동,10200,,,,단독다가구,146.0,386.52,150000,20241214,1994,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,92.0,104.52,107000,20241217,1997,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,97.0,152.53,114000,20241218,1990,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,76.0,107.07,95000,20241219,1996,,,중개거래,서울 동대문구
2025,동대문구,회기동,10800,,,,단독다가구,155.0,238.74,167000,20241219,1988,,,중개거래,서울 성동구
2025,동대문구,이문동,11000,,,,단독다가구,99.0,62.84,106000,20241220,1967,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,116.0,260.01,91000,20241221,1995,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,146.58,107000,20241223,1993,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,76.0,115.74,83000,20241228,1993,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,87.0,72.96,98000,20241229,1974,,,중개거래,서울 도봉구
2025,동대문구,이문동,11000,,,,단독다가구,23.0,21.88,57400,20241229,1969,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,139.39,100500,20241230,1993,,,중개거래,서울 동대문구
2025,동대문구,회기동,10800,,,,단독다가구,73.0,133.62,51000,20241230,1994,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,50.0,64.46,85000,20241230,1968,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,109.0,168.82,60000,20250102,1990,,,직거래,
2025,동대문구,이문동,11000,,,,단독다가구,132.0,203.88,99000,20250104,1990,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,132.0,203.88,99000,20250104,1990,,,중개거래,서울 동대문구
2025,동대문구,답십리동,10500,,,,단독다가구,83.0,43.7,47200,20250106,1964,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,89.0,148.8,110000,20250106,1993,,,중개거래,서울 동대문구
2025,동대문구,휘경동,10900,,,,단독다가구,63.0,89.3,42000,20250110,1994,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,76.0,55.37,90000,20250114,1970,,,중개거래,서울 동대문구
2025,동대문구,휘경동,10900,,,,단독다가구,245.0,676.83,445000,20250115,1972,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,159.0,540.27,176000,20250115,1997,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,188.0,488.1,251000,20250115,2010,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,144.84,107137,20250117,1993,,,중개거래,서울 동대문구
2025,동대문구,용두동,10200,,,,단독다가구,167.0,260.44,155000,20250117,2009,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,158.0,363.56,190000,20250121,1987,,,중개거래,서울 동대문구
2025,동대문구,장안동,10600,,,,단독다가구,96.0,157.39,55800,20250122,1995,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,37.0,18.62,17500,20250125,1985,,,중개거래,서울 동대문구
2025,동대문구,용두동,10200,,,,단독다가구,116.0,151.37,123235,20250125,1976,,,중개거래,서울 동대문구
2025,동대문구,회기동,10800,,,,단독다가구,122.0,198.71,89000,20250130,1991,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,62.81,100000,20250131,1968,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,79.0,123.6,97000,20250201,1994,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,69.0,52.72,87000,20250201,1970,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,93.0,149.8,115000,20250202,1993,,,중개거래,서울 동대문구
2025,동대문구,답십리동,10500,,,,단독다가구,86.0,147.2,50000,20250204,1993,,,직거래,
2025,동대문구,이문동,11000,,,,단독다가구,106.0,177.22,79000,20250204,1992,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,79.0,58.12,100000,20250204,1969,,,중개거래,"서울 동대문구, 서울 성동구"
2025,동대문구,청량리동,10700,,,,단독다가구,33.0,33.05,27000,20250205,null,,,중개거래,서울 동대문구
2025,동대문구,청량리동,10700,,,,단독다가구,53.0,99.17,43000,20250205,null,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,96.0,209.32,120000,20250209,1997,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,20.0,23.34,42000,20250210,1979,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,119.83,105000,20250211,1996,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,99.0,149.91,120000,20250215,1993,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,76.0,56.89,95500,20250215,1970,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,106.0,161.46,120000,20250218,1992,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,106.0,161.46,120000,20250218,1992,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,165.0,223.77,104800,20250219,1991,,,중개거래,서울 성북구
2025,동대문구,이문동,11000,,,,단독다가구,36.0,20.26,70000,20250221,1970,,,중개거래,서울 동대문구
2025,동대문구,청량리동,10700,,,,단독다가구,63.0,54.54,75500,20250225,1980,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,132.0,198.51,150000,20250225,1991,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,79.0,30.84,84000,20250227,1959,,,중개거래,서울 광진구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,147.81,110000,20250227,1993,,,중개거래,서울 동대문구
2025,동대문구,청량리동,10700,,,,단독다가구,89.0,57.86,83000,20250228,1980,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,63.0,60.6,88000,20250303,1996,,,중개거래,"경기 하남시, 서울 동대문구"
2025,동대문구,이문동,11000,,,,단독다가구,109.0,159.8,150000,20250305,1994,,,중개거래,서울 동대문구
2025,동대문구,답십리동,10500,,,,단독다가구,76.0,119.29,45800,20250307,1996,,,중개거래,서울 동대문구
2025,동대문구,회기동,10800,,,,단독다가구,165.0,248.4,100000,20250308,1988,,,중개거래,서울 동대문구
2025,동대문구,휘경동,10900,,,,단독다가구,89.0,101.14,139500,20250308,1969,,,중개거래,"서울 동대문구, 서울 성북구"
2025,동대문구,이문동,11000,,,,단독다가구,123.0,169.08,135000,20250310,1990,,,중개거래,서울 동대문구
2025,동대문구,용두동,10200,,,,단독다가구,138.0,159.93,140000,20250310,1976,,,중개거래,서울 동대문구
2025,동대문구,청량리동,10700,,,,단독다가구,93.0,155.89,95000,20250313,1980,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,76.0,40.4,102000,20250313,1969,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,109.0,80.8,78000,20250314,1968,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,59.0,34.81,97000,20250314,1969,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,93.0,142.69,112000,20250314,1993,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,73.0,111.0,107000,20250314,1992,,,중개거래,서울 동대문구
2025,동대문구,장안동,10600,,,,단독다가구,110.0,179.7,63700,20250314,1994,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,83.0,43.11,58000,20250317,1967,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,40.0,36.43,48000,20250317,1968,,,중개거래,서울 동대문구
2025,동대문구,청량리동,10700,,,,단독다가구,63.0,91.07,73000,20250318,1985,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,63.0,142.74,133000,20250319,1993,,,중개거래,서울 동대문구
2025,동대문구,청량리동,10700,,,,단독다가구,76.0,131.48,84000,20250320,1991,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,147.0,104.53,120700,20250320,1975,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,162.0,122.81,132800,20250320,1975,,,중개거래,서울 동대문구
2025,동대문구,장안동,10600,,,,단독다가구,88.0,137.64,63000,20250321,1988,,,중개거래,서울 동대문구
2025,동대문구,휘경동,10900,,,,단독다가구,129.0,248.97,85000,20250324,1990,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,96.0,147.06,78000,20250326,1988,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,92.0,129.37,40000,20250327,1995,,,중개거래,서울 동대문구
2025,동대문구,장안동,10600,,,,단독다가구,152.0,225.24,82000,20250327,1989,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,110.0,223.75,139000,20250328,1995,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,110.0,223.75,139000,20250328,1995,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,36.0,35.35,75000,20250329,1985,,,중개거래,서울 동대문구
2025,동대문구,장안동,10600,,,,단독다가구,89.0,157.4,75000,20250331,1991,,,중개거래,서울 동대문구
2025,동대문구,제기동,10300,,,,단독다가구,108.0,63.08,49610,20250401,1959,,,중개거래,서울 동대문구
2025,동대문구,답십리동,10500,,,,단독다가구,119.0,220.2,40000,20250401,1988,,,직거래,
2025,동대문구,휘경동,10900,,,,단독다가구,102.0,237.12,75000,20250401,2003,,,중개거래,서울 동대문구
2025,동대문구,회기동,10800,,,,단독다가구,82.0,119.67,58000,20250402,1994,,,중개거래,"서울 동대문구, 서울 성북구"
2025,동대문구,용두동,10200,,,,단독다가구,135.0,157.92,175000,20250404,1976,,,중개거래,서울 동대문구
2025,동대문구,용두동,10200,,,,단독다가구,135.0,152.76,175000,20250404,1976,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,93.0,102.75,112000,20250411,1998,,,중개거래,"서울 동대문구, 서울 용산구"
2025,동대문구,이문동,11000,,,,단독다가구,146.0,280.22,121000,20250411,1996,,,중개거래,서울 동대문구
2025,동대문구,이문동,11000,,,,단독다가구,79.0,114.57,59300,20250412,1990,,,중개거래,서울 동대문구
2025,동대문구,용두동,10200,,,,단독다가구,5.0,36.02,16100,20250412,2005,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,78.0,61.49,66000,20250412,1967,,,중개거래,서울 동대문구
2025,동대문구,장안동,10600,,,,단독다가구,95.0,152.88,56000,20250413,1993,,,중개거래,서울 동대문구
2025,동대문구,전농동,10400,,,,단독다가구,83.0,113.37,85000,20250414,1995,,,중개거래,서울 동대문구
