RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,중랑구,면목동,10100,,,,단독다가구,95.0,149.27,59000,20241213,1993,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,123.0,200.37,78000,20241220,1996,,,중개거래,서울 성북구
2025,중랑구,면목동,10100,,,,단독다가구,102.0,143.88,43000,20241226,1995,,,중개거래,서울 중랑구
2025,중랑구,상봉동,10200,,,,단독다가구,145.0,127.82,450000,20241231,1973,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,154.0,306.24,146000,20250102,1984,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,119.0,199.92,54000,20250107,1993,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,89.0,148.27,70000,20250124,1995,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,91.0,62.11,48000,20250126,1970,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,92.0,154.45,51000,20250205,1997,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,79.0,149.0,36800,20250206,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,97.0,188.94,70000,20250217,1993,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,101.0,149.4,63000,20250219,1992,,,중개거래,"서울 동대문구, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,107.0,123.21,61500,20250221,1974,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,102.0,168.57,50000,20250222,1992,,,중개거래,"서울 광진구, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,94.0,51.24,31500,20250224,1969,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,103.0,184.62,59000,20250226,1992,,,중개거래,"서울 성동구, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,75.0,135.39,85000,20250228,1992,,,중개거래,"경기 평택시, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,74.0,135.59,76000,20250228,1993,,,중개거래,경기 평택시
2025,중랑구,면목동,10100,,,,단독다가구,74.0,136.73,60000,20250228,1993,,,중개거래,"경기 평택시, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,204.0,191.41,210120,20250301,1974,,,중개거래,"경기 안산시 단원구, 서울 중랑구"
2025,중랑구,상봉동,10200,,,,단독다가구,106.0,216.35,83000,20250304,1996,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,117.0,149.74,89000,20250305,1994,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,100.0,174.8,44000,20250308,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,147.0,233.82,40000,20250310,1990,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,75.0,133.64,68000,20250310,1993,,,중개거래,"경기 평택시, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,71.0,131.8,55000,20250311,1992,,,중개거래,서울 노원구
2025,중랑구,면목동,10100,,,,단독다가구,98.0,78.94,30300,20250312,1970,,,직거래,
2025,중랑구,중화동,10300,,,,단독다가구,66.0,31.77,27000,20250313,1973,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,143.0,287.47,91000,20250314,2007,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,146.0,165.22,132000,20250315,1979,,,중개거래,"서울 강북구, 서울 중랑구"
2025,중랑구,묵동,10400,,,,단독다가구,111.0,119.64,97440,20250315,1981,,,중개거래,"서울 강북구, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,97.0,152.44,50000,20250320,1992,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,93.0,169.7,86000,20250321,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,107.0,198.3,96170,20250321,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,92.0,164.01,64700,20250321,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,94.0,165.68,52000,20250323,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,76.0,133.14,48000,20250324,1991,,,중개거래,서울 중랑구
2025,중랑구,상봉동,10200,,,,단독다가구,132.0,217.61,86500,20250325,1994,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,104.0,184.89,73250,20250328,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,125.0,269.84,64000,20250402,1990,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,89.0,149.96,49850,20250403,1994,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,132.0,265.32,165000,20250407,2018,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,97.0,60.5,40000,20250409,1976,,,직거래,
2025,중랑구,신내동,10600,,,,단독다가구,101.0,151.58,79000,20250410,2009,,,중개거래,서울 강남구
2025,중랑구,중화동,10300,,,,단독다가구,189.0,484.74,200000,20250412,1988,,,중개거래,서울 도봉구
2025,중랑구,망우동,10500,,,,단독다가구,106.0,152.46,68000,20250415,2011,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,139.0,302.36,105000,20250416,1988,,,중개거래,서울 강남구
2025,중랑구,중화동,10300,,,,단독다가구,120.0,199.08,72000,20250423,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,116.0,199.9,68500,20250426,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,97.0,102.2,51000,20250501,1974,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,111.0,179.81,68500,20250507,1994,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,95.0,162.98,44500,20250508,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,72.0,123.62,72000,20250510,1989,,,중개거래,서울 중랑구
2025,중랑구,상봉동,10200,,,,단독다가구,96.0,124.16,50000,20250510,1970,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,83.0,60.19,36000,20250512,1970,,,중개거래,"경기 안양시 동안구, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,115.0,194.01,74000,20250515,1990,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,78.0,128.32,48000,20250517,1992,,,중개거래,서울 중랑구
2025,중랑구,상봉동,10200,,,,단독다가구,186.0,399.19,165000,20250517,2010,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,117.0,155.52,63500,20250523,1985,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,76.0,106.96,61000,20250523,2014,,,중개거래,서울 관악구
2025,중랑구,면목동,10100,,,,단독다가구,90.0,147.24,53500,20250524,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,109.0,168.15,82500,20250527,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,99.0,160.29,54000,20250603,1990,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,115.0,270.48,130000,20250605,2012,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,128.0,253.45,133000,20250616,2018,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,69.0,63.88,29000,20250617,1970,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,96.0,149.46,64700,20250619,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,148.0,149.62,88000,20250623,1976,,,중개거래,"서울 동대문구, 서울 중랑구"
2025,중랑구,면목동,10100,,,,단독다가구,86.0,144.33,45000,20250627,1991,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,141.0,199.93,45000,20250705,1991,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,99.0,102.39,79000,20250707,1987,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,160.0,321.19,190000,20250710,2018,,,중개거래,서울 광진구
2025,중랑구,중화동,10300,,,,단독다가구,328.0,305.15,290000,20250714,1981,,,중개거래,서울 강남구
2025,중랑구,망우동,10500,,,,단독다가구,99.0,204.81,54000,20250718,1990,,,중개거래,경기 고양시 일산동구
2025,중랑구,중화동,10300,,,,단독다가구,99.0,148.62,75000,20250719,1993,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,132.0,196.86,82000,20250730,1989,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,90.0,117.5,53000,20250730,1995,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,238.0,243.96,60000,20250804,1985,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,107.0,67.37,48000,20250806,1975,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,77.0,53.59,93000,20250808,1971,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,66.0,31.59,40000,20250809,1985,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,121.0,198.12,75000,20250815,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,103.0,183.06,55000,20250820,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,53.0,39.97,19000,20250903,1970,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,96.0,139.05,59500,20250908,1983,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,102.0,165.42,97000,20250912,1992,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,149.0,165.16,139800,20250915,1978,,,중개거래,"서울 노원구, 서울 중랑구"
2025,중랑구,묵동,10400,,,,단독다가구,149.0,165.16,135400,20250915,1978,,,중개거래,"서울 노원구, 서울 중랑구"
2025,중랑구,망우동,10500,,,,단독다가구,95.0,155.26,44500,20250919,1989,,,직거래,
2025,중랑구,망우동,10500,,,,단독다가구,115.0,199.26,58000,20250921,1993,,,중개거래,서울 광진구
2025,중랑구,망우동,10500,,,,단독다가구,132.0,197.73,62000,20250922,1987,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,139.0,279.54,142000,20250927,2015,,,중개거래,서울 중랑구
2025,중랑구,상봉동,10200,,,,단독다가구,108.0,149.67,118000,20250928,1992,,,중개거래,서울 동대문구
2025,중랑구,면목동,10100,,,,단독다가구,80.0,132.03,56000,20251001,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,106.0,244.44,103000,20251007,1988,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,85.0,74.64,38500,20251015,1981,,,중개거래,서울 중랑구
2025,중랑구,상봉동,10200,,,,단독다가구,93.0,49.29,40000,20251015,1972,,,직거래,
2025,중랑구,중화동,10300,,,,단독다가구,95.0,127.44,60800,20251015,1976,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,158.0,232.38,83000,20251015,1984,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,86.0,199.25,58000,20251015,1993,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,130.0,260.57,184000,20251020,2020,,,중개거래,"서울 동대문구, 서울 중랑구"
2025,중랑구,상봉동,10200,,,,단독다가구,112.0,172.38,73500,20251021,2005,,,중개거래,서울 중랑구
2025,중랑구,망우동,10500,,,,단독다가구,122.0,200.8,46000,20251025,1991,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,79.0,63.9,40800,20251030,1970,,,중개거래,서울 중랑구
2025,중랑구,묵동,10400,,,,단독다가구,129.0,216.54,90000,20251112,1992,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,178.0,534.48,166000,20251113,1990,,,중개거래,서울 중랑구
2025,중랑구,면목동,10100,,,,단독다가구,64.0,52.06,50000,20251120,1971,,,직거래,
2025,중랑구,면목동,10100,,,,단독다가구,105.0,147.98,53000,20251120,1994,,,중개거래,서울 중랑구
2025,중랑구,중화동,10300,,,,단독다가구,114.0,62.41,45500,20251129,1970,,,중개거래,서울 중랑구
