RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,성북구,삼선동2가,11200,,,,단독다가구,84.0,136.25,68000,20241205,1989,,,중개거래,서울 성북구
2025,성북구,종암동,13500,,,,단독다가구,239.0,809.18,229000,20241206,2010,,,중개거래,"서울 강남구, 서울 서초구"
2025,성북구,상월곡동,13700,,,,단독다가구,142.0,67.27,64000,20241213,1970,,,중개거래,서울 성북구
2025,성북구,안암동5가,12500,,,,단독다가구,118.0,176.58,131000,20241216,1997,,,중개거래,서울 성북구
2025,성북구,삼선동5가,11500,,,,단독다가구,98.0,148.95,76000,20241222,1996,,,중개거래,서울 성북구
2025,성북구,성북동,10100,,,,단독다가구,36.0,13.79,18000,20241222,1971,,,중개거래,서울 성북구
2025,성북구,종암동,13500,,,,단독다가구,109.0,109.32,73000,20241226,1980,,,직거래,
2025,성북구,삼선동1가,11100,,,,단독다가구,61.0,93.93,28000,20241228,1993,,,중개거래,서울 성북구
2025,성북구,정릉동,13300,,,,단독다가구,126.0,29.75,30000,20241230,1959,,,직거래,
2025,성북구,삼선동3가,11300,,,,단독다가구,70.0,39.27,43000,20250104,1945,,,중개거래,서울 성북구
2025,성북구,상월곡동,13700,,,,단독다가구,175.0,340.72,105000,20250106,2002,,,중개거래,서울 성북구
2025,성북구,안암동4가,12400,,,,단독다가구,448.0,307.83,369000,20250108,1980,,,중개거래,서울 종로구
2025,성북구,안암동4가,12400,,,,단독다가구,90.0,32.79,56000,20250108,1969,,,중개거래,서울 종로구
2025,성북구,장위동,13800,,,,단독다가구,99.0,149.85,54500,20250108,1992,,,중개거래,서울 성북구
2025,성북구,안암동2가,12200,,,,단독다가구,72.0,142.13,45000,20250109,1995,,,중개거래,서울 구로구
2025,성북구,보문동6가,12800,,,,단독다가구,61.0,33.06,38000,20250109,1980,,,중개거래,서울 성북구
2025,성북구,상월곡동,13700,,,,단독다가구,139.0,309.81,155000,20250110,2019,,,중개거래,서울 성북구
2025,성북구,돈암동,10300,,,,단독다가구,102.0,42.84,27000,20250113,1960,,,중개거래,서울 성북구
2025,성북구,석관동,13900,,,,단독다가구,86.0,66.87,36000,20250113,1971,,,중개거래,"서울 동대문구, 서울 성북구"
2025,성북구,정릉동,13300,,,,단독다가구,110.0,85.9,41163,20250116,1985,,,중개거래,서울 성북구
2025,성북구,하월곡동,13600,,,,단독다가구,152.0,209.13,127000,20250117,1984,,,중개거래,서울 성북구
2025,성북구,장위동,13800,,,,단독다가구,119.0,78.02,59000,20250124,1967,,,중개거래,서울 성북구
2025,성북구,성북동1가,10200,,,,단독다가구,1026.0,999.18,800000,20250124,1993,,,직거래,
2025,성북구,종암동,13500,,,,단독다가구,116.0,68.36,59000,20250125,1961,,,중개거래,서울 성북구
2025,성북구,삼선동5가,11500,,,,단독다가구,70.0,112.44,42000,20250125,1996,,,중개거래,서울 성북구
