RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,강북구,미아동,10100,,,,단독다가구,66.0,36.36,18000,20241218,1972,,,직거래,
2025,강북구,수유동,10300,,,,단독다가구,323.0,994.98,170000,20241223,1996,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,132.0,176.92,43200,20241223,1976,,,직거래,
2025,강북구,미아동,10100,,,,단독다가구,126.0,195.27,123500,20241224,1994,,,중개거래,서울 강북구
2025,강북구,수유동,10300,,,,단독다가구,122.0,176.59,65667,20241227,1995,,,직거래,
2025,강북구,미아동,10100,,,,단독다가구,95.0,70.67,42000,20250117,1970,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,66.0,34.05,39700,20250119,1959,,,중개거래,서울 관악구
2025,강북구,수유동,10300,,,,단독다가구,172.0,262.92,82745,20250120,1991,,,직거래,
2025,강북구,우이동,10400,,,,단독다가구,66.0,72.73,31500,20250122,1967,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,69.0,102.18,39000,20250123,1995,,,중개거래,서울 노원구
2025,강북구,미아동,10100,,,,단독다가구,83.0,53.12,76000,20250124,1966,,,중개거래,서울 강북구
2025,강북구,번동,10200,,,,단독다가구,112.0,179.6,85000,20250131,1997,,,중개거래,서울 도봉구
2025,강북구,미아동,10100,,,,단독다가구,103.0,39.03,58000,20250201,1985,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,66.0,43.27,24500,20250203,1968,,,직거래,
2025,강북구,미아동,10100,,,,단독다가구,106.0,138.32,87500,20250203,1986,,,중개거래,서울 성북구
2025,강북구,미아동,10100,,,,단독다가구,83.0,115.66,79800,20250204,1994,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,147.0,350.74,133000,20250205,1998,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,166.0,238.23,112000,20250206,1997,,,중개거래,서울 강북구
2025,강북구,수유동,10300,,,,단독다가구,125.0,195.9,113000,20250208,2020,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,109.0,174.39,113000,20250208,1994,,,중개거래,"서울 강북구, 서울 성북구"
2025,강북구,미아동,10100,,,,단독다가구,91.0,158.94,51794,20250211,1991,,,직거래,
2025,강북구,우이동,10400,,,,단독다가구,171.0,198.71,81506,20250212,1980,,,직거래,
2025,강북구,수유동,10300,,,,단독다가구,139.0,59.31,72000,20250215,1968,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,83.0,43.86,74000,20250220,1965,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,144.0,232.78,119000,20250222,1996,,,중개거래,"서울 강북구, 서울 성북구"
2025,강북구,수유동,10300,,,,단독다가구,99.0,62.01,28200,20250222,1973,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,145.0,96.0,75000,20250228,1976,,,직거래,
2025,강북구,미아동,10100,,,,단독다가구,62.0,118.23,46000,20250307,1993,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,106.0,63.34,85600,20250307,1970,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,318.0,326.84,253000,20250310,1975,,,중개거래,"서울 강북구, 서울 은평구"
2025,강북구,번동,10200,,,,단독다가구,115.0,214.77,145000,20250310,2021,,,중개거래,"서울 강북구, 서울 도봉구"
2025,강북구,미아동,10100,,,,단독다가구,111.0,195.51,49300,20250311,1995,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,136.0,106.68,98624,20250313,1967,,,중개거래,"서울 강북구, 서울 성동구"
2025,강북구,수유동,10300,,,,단독다가구,115.0,187.26,41000,20250317,1992,,,중개거래,서울 강북구
2025,강북구,미아동,10100,,,,단독다가구,99.0,149.04,99500,20250318,1993,,,중개거래,"서울 강북구, 서울 성북구"
2025,강북구,미아동,10100,,,,단독다가구,86.0,96.17,25000,20250318,1998,,,중개거래,서울 성북구
