RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,도봉구,방학동,,,,단독다가구,126.0,119.51,49000,20241213,1997,중개거래,서울 도봉구
2025,도봉구,창동,,,,단독다가구,129.0,198.99,54000,20250106,1993,중개거래,서울 강북구
2025,도봉구,방학동,,,,단독다가구,99.0,68.02,34000,20250111,1985,중개거래,서울 도봉구
2025,도봉구,도봉동,,,,단독다가구,188.0,418.38,97500,20250204,1996,중개거래,서울 도봉구
2025,도봉구,방학동,,,,단독다가구,241.0,257.07,200000,20250207,1983,중개거래,서울 종로구
2025,도봉구,방학동,,,,단독다가구,241.0,257.07,200000,20250207,1983,중개거래,서울 도봉구
2025,도봉구,도봉동,,,,단독다가구,138.0,206.42,51000,20250213,1993,직거래,
2025,도봉구,도봉동,,,,단독다가구,129.0,190.84,59000,20250305,1993,중개거래,서울 성동구
2025,도봉구,방학동,,,,단독다가구,105.0,165.63,42500,20250305,1991,중개거래,서울 도봉구
2025,도봉구,쌍문동,,,,단독다가구,109.0,105.09,48000,20250314,1975,중개거래,서울 도봉구
2025,도봉구,쌍문동,,,,단독다가구,109.0,105.09,48000,20250314,1975,중개거래,서울 도봉구
2025,도봉구,방학동,,,,단독다가구,163.0,244.17,55000,20250319,1991,직거래,
2025,도봉구,도봉동,,,,단독다가구,152.0,287.97,147000,20250325,2017,중개거래,서울 동대문구
2025,도봉구,방학동,,,,단독다가구,178.0,167.64,65000,20250329,1983,중개거래,서울 도봉구
2025,도봉구,방학동,,,,단독다가구,178.0,167.64,65000,20250329,1983,중개거래,서울 도봉구
2025,도봉구,창동,,,,단독다가구,134.0,300.96,75000,20250402,1993,중개거래,서울 도봉구
2025,도봉구,쌍문동,,,,단독다가구,116.0,166.53,35000,20250411,1986,직거래,
2025,도봉구,쌍문동,,,,단독다가구,136.0,80.86,60000,20250422,1966,중개거래,서울 도봉구
2025,도봉구,방학동,,,,단독다가구,136.0,178.59,98000,20250509,1973,중개거래,서울 도봉구
2025,도봉구,쌍문동,,,,단독다가구,139.0,87.57,55000,20250513,1974,중개거래,서울 도봉구
2025,도봉구,도봉동,,,,단독다가구,181.0,394.99,75000,20250515,2003,직거래,
2025,도봉구,방학동,,,,단독다가구,118.0,175.77,47000,20250517,1986,중개거래,서울 도봉구
