RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,노원구,중계동,10600,,,,단독다가구,31.0,20.0,21000,20250107,1989,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,163.0,326.19,116000,20250107,2009,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,119.0,194.52,95500,20250109,1993,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,179.0,349.38,105000,20250211,1993,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,107.0,179.21,52600,20250218,1995,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,142.0,26.44,76000,20250222,null,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,55.0,12.0,49450,20250308,1988,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,93.0,155.43,59000,20250312,1992,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,83.0,67.38,26000,20250319,1981,,,직거래,
2025,노원구,월계동,10200,,,,단독다가구,126.0,145.03,56000,20250321,1975,,,중개거래,서울 노원구
2025,노원구,하계동,10400,,,,단독다가구,158.0,316.28,150000,20250328,1996,,,직거래,
2025,노원구,공릉동,10300,,,,단독다가구,89.0,150.63,32000,20250331,1996,,,직거래,
2025,노원구,공릉동,10300,,,,단독다가구,203.0,377.65,145000,20250401,2009,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,119.0,237.77,153000,20250403,2016,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,213.0,496.16,195000,20250405,2006,,,중개거래,서울 노원구
2025,노원구,월계동,10200,,,,단독다가구,116.0,267.96,87500,20250410,2018,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,68.0,36.0,35000,20250410,1988,,,직거래,
2025,노원구,월계동,10200,,,,단독다가구,155.0,37.89,104600,20250410,1985,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,162.0,175.93,88000,20250421,1982,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,72.0,49.77,61000,20250422,1988,,,중개거래,"경기 구리시, 서울 성북구"
2025,노원구,공릉동,10300,,,,단독다가구,141.0,197.46,78000,20250430,1992,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,93.0,46.64,47500,20250430,1971,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,54.0,44.0,59700,20250501,1989,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,152.0,158.55,120000,20250508,1978,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,129.0,179.41,40000,20250529,1989,,,직거래,
2025,노원구,상계동,10500,,,,단독다가구,163.0,367.27,77500,20250602,1995,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,55.0,36.5,54500,20250612,1988,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,83.0,128.15,30000,20250616,1995,,,직거래,
2025,노원구,중계동,10600,,,,단독다가구,113.0,26.25,78000,20250616,1988,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,91.0,237.19,77000,20250616,1995,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,132.0,261.45,129000,20250617,2012,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,135.0,179.25,67200,20250625,1994,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,32.0,25.0,48000,20250716,1988,,,중개거래,서울 송파구
2025,노원구,상계동,10500,,,,단독다가구,79.0,42.88,30000,20250716,1972,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,99.0,165.26,58000,20250718,1996,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,151.0,231.49,59000,20250721,1987,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,163.0,29.0,57800,20250722,1988,,,직거래,
2025,노원구,월계동,10200,,,,단독다가구,125.0,249.21,135000,20250724,2023,,,중개거래,"서울 광진구, 서울 노원구"
2025,노원구,상계동,10500,,,,단독다가구,63.0,42.18,44000,20250823,1970,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,195.0,459.62,174250,20251001,2009,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,48.0,24.0,50000,20251010,1990,,,직거래,
2025,노원구,중계동,10600,,,,단독다가구,49.0,33.36,60000,20251013,1988,,,중개거래,경기 구리시
2025,노원구,상계동,10500,,,,단독다가구,106.0,277.48,47000,20251014,1994,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,99.0,118.44,78000,20251014,1982,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,166.0,397.82,102000,20251014,1995,,,중개거래,서울 노원구
2025,노원구,중계동,10600,,,,단독다가구,299.0,25.0,130000,20251015,1988,,,중개거래,"경기 구리시, 서울 노원구"
2025,노원구,공릉동,10300,,,,단독다가구,106.0,72.3,30000,20251016,1976,,,중개거래,서울 노원구
2025,노원구,상계동,10500,,,,단독다가구,99.0,47.04,48000,20251025,1971,,,중개거래,서울 노원구
2025,노원구,공릉동,10300,,,,단독다가구,119.0,258.38,100000,20251126,2016,,,중개거래,서울 노원구
2025,노원구,월계동,10200,,,,단독다가구,116.0,81.99,50000,20251203,1975,,,중개거래,서울 노원구
2026,노원구,공릉동,10300,,,,단독다가구,102.0,249.59,112200,20251215,2019,,,중개거래,"서울 노원구, 서울 도봉구"
2026,노원구,상계동,10500,,,,단독다가구,97.0,163.28,62000,20260111,1992,,,중개거래,서울 노원구
2026,노원구,중계동,10600,,,,단독다가구,89.0,144.48,49000,20260112,1992,,,중개거래,서울 노원구
2026,노원구,상계동,10500,,,,단독다가구,99.0,118.44,78000,20260121,1982,,,중개거래,서울 노원구
2026,노원구,공릉동,10300,,,,단독다가구,168.0,318.69,124000,20260129,2001,,,중개거래,서울 노원구
2026,노원구,상계동,10500,,,,단독다가구,156.0,298.22,67000,20260131,1996,,,중개거래,서울 노원구
2026,노원구,공릉동,10300,,,,단독다가구,153.0,82.61,95000,20260202,1976,,,중개거래,서울 노원구
2026,노원구,공릉동,10300,,,,단독다가구,114.0,72.76,132100,20260209,1977,,,중개거래,서울 노원구
2026,노원구,상계동,10500,,,,단독다가구,99.0,162.86,54700,20260212,1995,,,중개거래,"서울 노원구, 서울 중구"
2026,노원구,상계동,10500,,,,단독다가구,99.0,147.84,69000,20260214,1983,,,중개거래,서울 노원구
2026,노원구,공릉동,10300,,,,단독다가구,120.0,131.1,63000,20260221,1978,,,중개거래,서울 노원구
2026,노원구,상계동,10500,,,,단독다가구,163.0,219.71,78000,20260305,1998,,,중개거래,서울 노원구
