RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,은평구,응암동,10700,,,,단독다가구,123.0,130.31,70500,20241209,1973,,,중개거래,서울 은평구
2025,은평구,신사동,10900,,,,단독다가구,155.0,85.29,69000,20241210,1974,,,중개거래,서울 은평구
2025,은평구,대조동,10600,,,,단독다가구,60.0,21.79,24800,20241231,1963,,,중개거래,서울 은평구
2025,은평구,수색동,10100,,,,단독다가구,33.0,26.35,50000,20250114,1968,,,중개거래,서울 은평구
2025,은평구,신사동,10900,,,,단독다가구,137.0,214.5,74700,20250114,1990,,,중개거래,서울 은평구
2025,은평구,역촌동,10800,,,,단독다가구,182.0,74.08,39620,20250117,1972,,,직거래,
2025,은평구,역촌동,10800,,,,단독다가구,143.0,371.98,141000,20250120,1992,,,직거래,
2025,은평구,역촌동,10800,,,,단독다가구,158.0,222.01,111000,20250120,1992,,,직거래,
2025,은평구,증산동,11000,,,,단독다가구,198.0,128.3,100000,20250122,1976,,,직거래,
2025,은평구,갈현동,10400,,,,단독다가구,212.0,234.27,176000,20250205,1985,,,중개거래,서울 은평구
2025,은평구,신사동,10900,,,,단독다가구,169.0,329.93,150000,20250207,null,,,중개거래,서울 은평구
2025,은평구,불광동,10300,,,,단독다가구,66.0,34.45,40000,20250217,1965,,,중개거래,경기 고양시 일산동구
2025,은평구,갈현동,10400,,,,단독다가구,142.0,79.02,75096,20250218,1981,,,중개거래,서울 은평구
2025,은평구,증산동,11000,,,,단독다가구,152.0,199.44,110000,20250305,1991,,,중개거래,서울 은평구
2025,은평구,불광동,10300,,,,단독다가구,82.0,69.62,75000,20250313,1966,,,중개거래,서울 은평구
2025,은평구,불광동,10300,,,,단독다가구,154.0,260.08,110000,20250313,1984,,,중개거래,서울 은평구
