RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,서대문구,충정로3가,10200,,,,단독다가구,48.0,68.83,82605,20241211,1983,,,중개거래,서울 서대문구
2025,서대문구,연희동,11700,,,,단독다가구,334.0,399.3,370000,20241223,2008,,,중개거래,"서울 서대문구, 서울 용산구"
2025,서대문구,미근동,10400,,,,단독다가구,85.0,36.36,70000,20241224,1949,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,59.0,26.45,97180,20250113,1941,,,중개거래,"서울 마포구, 서울 서대문구"
2025,서대문구,북가좌동,11900,,,,단독다가구,86.0,126.93,78000,20250124,1982,,,중개거래,서울 은평구
2025,서대문구,북가좌동,11900,,,,단독다가구,175.0,449.84,135000,20250131,2016,,,중개거래,서울 은평구
2025,서대문구,옥천동,10700,,,,단독다가구,43.0,74.55,54500,20250202,1996,,,중개거래,서울 서대문구
2025,서대문구,연희동,11700,,,,단독다가구,261.0,148.17,163000,20250203,1974,,,중개거래,서울 서대문구
2025,서대문구,홍은동,11800,,,,단독다가구,79.0,118.35,36500,20250204,1986,,,중개거래,서울 서대문구
2025,서대문구,홍제동,11100,,,,단독다가구,129.0,199.86,98500,20250211,1991,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,73.0,114.49,112200,20250224,1997,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,63.0,33.06,111973,20250224,1970,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,129.0,271.32,128000,20250226,1993,,,중개거래,서울 서대문구
2025,서대문구,연희동,11700,,,,단독다가구,191.0,83.37,120000,20250228,1968,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,93.0,147.15,119000,20250301,1993,,,중개거래,서울 서대문구
2025,서대문구,연희동,11700,,,,단독다가구,120.0,177.1,183000,20250307,2021,,,중개거래,"서울 서대문구, 서울 송파구"
2025,서대문구,연희동,11700,,,,단독다가구,170.0,205.36,120000,20250307,2022,,,직거래,
2025,서대문구,북아현동,11000,,,,단독다가구,165.0,315.48,140000,20250308,1994,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,70.0,124.06,68000,20250308,1992,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,63.0,33.06,88529,20250308,1937,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,142.0,104.58,135900,20250312,1992,,,중개거래,서울 서대문구
2025,서대문구,충정로3가,10200,,,,단독다가구,56.0,113.74,93500,20250315,1984,,,중개거래,"서울 마포구, 서울 서대문구"
2025,서대문구,냉천동,10500,,,,단독다가구,100.0,147.84,98000,20250317,1992,,,중개거래,서울 서대문구
2025,서대문구,연희동,11700,,,,단독다가구,96.0,165.15,63000,20250318,1970,,,중개거래,서울 양천구
2025,서대문구,홍은동,11800,,,,단독다가구,175.0,167.62,153000,20250319,2016,,,중개거래,경기 김포시
2025,서대문구,대신동,11300,,,,단독다가구,128.0,872.68,146884,20250319,2002,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,159.0,111.4,145000,20250320,1965,,,중개거래,서울 서대문구
2025,서대문구,연희동,11700,,,,단독다가구,331.0,432.38,300000,20250321,2022,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,109.0,177.0,137557,20250321,1991,,,중개거래,"서울 마포구, 서울 서대문구"
2025,서대문구,충정로3가,10200,,,,단독다가구,47.0,63.96,90000,20250322,1984,,,중개거래,서울 서대문구
2025,서대문구,남가좌동,12000,,,,단독다가구,112.0,298.92,130000,20250325,1994,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,46.0,49.77,120000,20250327,1995,,,중개거래,서울 서대문구
2025,서대문구,충정로3가,10200,,,,단독다가구,86.0,49.59,99500,20250329,1970,,,중개거래,서울 서대문구
2025,서대문구,북가좌동,11900,,,,단독다가구,205.0,412.57,180000,20250329,1994,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,83.0,49.59,102980,20250401,1940,,,중개거래,서울 서대문구
2025,서대문구,충정로3가,10200,,,,단독다가구,121.0,172.98,131720,20250404,1971,,,중개거래,서울 서대문구
2025,서대문구,충정로3가,10200,,,,단독다가구,138.0,245.8,160000,20250409,1984,,,중개거래,"서울 마포구, 서울 서대문구"
2025,서대문구,연희동,11700,,,,단독다가구,456.0,350.71,305000,20250411,1971,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,62.0,164.22,74000,20250417,1989,,,중개거래,서울 서대문구
2025,서대문구,홍제동,11100,,,,단독다가구,141.0,81.62,66000,20250421,1971,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,119.0,170.62,80000,20250422,1992,,,직거래,
2025,서대문구,북아현동,11000,,,,단독다가구,30.0,19.83,88048,20250424,1947,,,중개거래,"서울 서대문구, 서울 성동구"
2025,서대문구,북아현동,11000,,,,단독다가구,69.0,111.18,124696,20250501,1990,,,중개거래,서울 서대문구
2025,서대문구,북아현동,11000,,,,단독다가구,56.0,126.86,116820,20250501,1992,,,중개거래,"서울 마포구, 서울 서대문구"
2025,서대문구,북아현동,11000,,,,단독다가구,132.0,278.31,130700,20250502,1999,,,중개거래,서울 서대문구
