RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,마포구,서교동,12000,,,,단독다가구,178.0,323.18,295000,20241219,1996,,,중개거래,서울 송파구
2025,마포구,합정동,12200,,,,단독다가구,127.0,181.5,415000,20241223,1988,,,중개거래,서울 마포구
2025,마포구,연남동,12400,,,,단독다가구,158.0,360.09,198000,20241226,1997,,,중개거래,서울 마포구
2025,마포구,대흥동,10800,,,,단독다가구,339.0,1227.46,610000,20250103,2006,,,중개거래,서울 강남구
2025,마포구,마포동,10700,,,,단독다가구,158.0,255.96,125000,20250121,2008,,,중개거래,서울 마포구
2025,마포구,도화동,10400,,,,단독다가구,183.0,403.2,22000,20250203,1996,,,직거래,
2025,마포구,도화동,10400,,,,단독다가구,76.0,133.21,90000,20250208,1978,,,중개거래,서울 마포구
2025,마포구,용강동,10500,,,,단독다가구,198.0,368.8,262000,20250214,2002,,,중개거래,서울 마포구
2025,마포구,망원동,12300,,,,단독다가구,488.0,1214.05,870000,20250214,2011,,,직거래,
2025,마포구,연남동,12400,,,,단독다가구,159.0,306.14,400000,20250221,2016,,,중개거래,서울 광진구
2025,마포구,성산동,12500,,,,단독다가구,245.0,180.66,225000,20250225,1970,,,중개거래,서울 마포구
2025,마포구,도화동,10400,,,,단독다가구,138.0,199.95,271000,20250225,1993,,,중개거래,서울 마포구
2025,마포구,도화동,10400,,,,단독다가구,46.0,24.73,100000,20250228,1969,,,직거래,
2025,마포구,합정동,12200,,,,단독다가구,407.0,659.53,565000,20250301,1996,,,중개거래,서울 마포구
2025,마포구,합정동,12200,,,,단독다가구,182.0,246.87,185000,20250305,1990,,,중개거래,서울 강남구
2025,마포구,염리동,10900,,,,단독다가구,72.0,108.96,114500,20250307,1990,,,중개거래,서울 마포구
2025,마포구,공덕동,10200,,,,단독다가구,50.0,26.45,75000,20250313,1900,,,중개거래,서울 마포구
2025,마포구,서교동,12000,,,,단독다가구,137.0,270.96,345000,20250313,1992,,,중개거래,"경기 고양시 덕양구, 서울 강남구"
2025,마포구,연남동,12400,,,,단독다가구,132.0,248.84,216000,20250313,1994,,,중개거래,"경기 부천시 원미구, 서울 서대문구"
2025,마포구,도화동,10400,,,,단독다가구,145.0,324.72,228800,20250314,1992,,,중개거래,서울 마포구
2025,마포구,망원동,12300,,,,단독다가구,88.0,113.4,133000,20250314,1990,,,중개거래,서울 마포구
2025,마포구,합정동,12200,,,,단독다가구,150.0,214.86,225000,20250314,1990,,,중개거래,서울 마포구
2025,마포구,공덕동,10200,,,,단독다가구,80.0,214.24,80000,20250314,1993,,,중개거래,서울 용산구
2025,마포구,연남동,12400,,,,단독다가구,303.0,180.59,497609,20250314,1973,,,직거래,
2025,마포구,대흥동,10800,,,,단독다가구,121.0,181.2,170000,20250315,1982,,,중개거래,서울 마포구
2025,마포구,창전동,11400,,,,단독다가구,291.0,695.98,340000,20250317,2003,,,중개거래,서울 강남구
2025,마포구,대흥동,10800,,,,단독다가구,117.0,112.86,180000,20250319,1967,,,중개거래,서울 마포구
2025,마포구,도화동,10400,,,,단독다가구,115.0,171.24,182000,20250326,1989,,,중개거래,서울 마포구
2025,마포구,신수동,11100,,,,단독다가구,136.0,213.1,176500,20250327,1992,,,중개거래,서울 마포구
2025,마포구,노고산동,11000,,,,단독다가구,99.0,146.34,120000,20250328,1991,,,중개거래,서울 마포구
2025,마포구,공덕동,10200,,,,단독다가구,26.0,33.3,55000,20250328,1900,,,중개거래,서울 마포구
2025,마포구,합정동,12200,,,,단독다가구,92.0,218.39,220000,20250402,1991,,,중개거래,서울 강남구
2025,마포구,신공덕동,10300,,,,단독다가구,79.0,135.29,95000,20250408,2016,,,중개거래,서울 용산구
2025,마포구,공덕동,10200,,,,단독다가구,122.0,248.11,158500,20250408,1995,,,중개거래,서울 마포구
2025,마포구,노고산동,11000,,,,단독다가구,192.0,246.87,240000,20250408,1989,,,중개거래,서울 마포구
2025,마포구,도화동,10400,,,,단독다가구,145.0,244.17,224400,20250410,1990,,,중개거래,서울 마포구
2025,마포구,연남동,12400,,,,단독다가구,140.0,195.42,103000,20250410,1993,,,중개거래,서울 마포구
2025,마포구,망원동,12300,,,,단독다가구,124.0,232.36,220000,20250416,2019,,,중개거래,서울 마포구
2025,마포구,서교동,12000,,,,단독다가구,234.0,637.62,740000,20250417,1991,,,중개거래,서울 마포구
2025,마포구,망원동,12300,,,,단독다가구,214.0,125.81,242000,20250428,1975,,,중개거래,서울 강남구
