RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,양천구,신정동,10100,,,,단독다가구,123.0,279.14,147500,20250107,1994,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,93.0,90.92,69500,20250221,1981,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,176.0,157.36,58000,20250224,1982,,,직거래,
2025,양천구,신월동,10300,,,,단독다가구,103.0,88.92,26000,20250226,1978,,,중개거래,"서울 강서구, 서울 양천구"
2025,양천구,신정동,10100,,,,단독다가구,143.0,244.79,131000,20250228,1991,,,중개거래,"서울 금천구, 서울 양천구"
2025,양천구,신정동,10100,,,,단독다가구,89.0,138.19,97000,20250305,1980,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,145.0,323.5,118200,20250305,1992,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,130.0,157.79,125000,20250310,1993,,,중개거래,"서울 양천구, 서울 영등포구"
2025,양천구,신정동,10100,,,,단독다가구,95.0,160.47,88000,20250320,1991,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,120.0,176.7,65000,20250321,1992,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,135.0,207.49,100000,20250321,1992,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,120.0,178.11,65000,20250321,1991,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,121.0,191.04,63800,20250323,1994,,,중개거래,"서울 강서구, 서울 양천구"
2025,양천구,신월동,10300,,,,단독다가구,149.0,219.72,108000,20250325,1984,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,92.0,65.79,23000,20250326,1980,,,중개거래,서울 마포구
2025,양천구,신정동,10100,,,,단독다가구,129.0,299.3,112000,20250404,1997,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,113.0,254.51,110000,20250407,1987,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,265.0,286.22,190000,20250416,1989,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,117.0,71.01,75000,20250417,1977,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,99.0,147.64,110000,20250425,1992,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,142.0,120.26,90090,20250429,1970,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,152.0,199.53,141000,20250502,1993,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,88.0,158.57,36600,20250513,1990,,,직거래,
2025,양천구,신정동,10100,,,,단독다가구,129.0,97.19,125000,20250516,1977,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,121.0,186.05,128000,20250520,1989,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,221.0,209.92,212000,20250523,1981,,,중개거래,서울 양천구
2025,양천구,신정동,10100,,,,단독다가구,137.0,306.14,153000,20250527,2000,,,중개거래,"서울 강서구, 서울 양천구"
2025,양천구,신정동,10100,,,,단독다가구,176.0,155.7,170000,20250603,1980,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,135.0,205.09,93000,20250604,1990,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,94.0,139.17,52000,20250610,1988,,,중개거래,서울 구로구
2025,양천구,신정동,10100,,,,단독다가구,146.0,329.23,170000,20250614,2001,,,중개거래,"서울 서대문구, 서울 양천구"
2025,양천구,신월동,10300,,,,단독다가구,89.0,122.26,54000,20250626,1973,,,중개거래,서울 양천구
2025,양천구,신월동,10300,,,,단독다가구,191.0,466.76,155000,20250704,2018,,,직거래,
2025,양천구,목동,10200,,,,단독다가구,254.0,286.61,200000,20250716,1980,,,중개거래,서울 양천구
2025,양천구,목동,10200,,,,단독다가구,249.0,449.88,220000,20250721,1991,,,중개거래,서울 양천구
