RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,강서구,방화동,10900,,,,단독다가구,165.0,58.84,106500,20241218,1967,,,중개거래,서울 강서구
2025,강서구,공항동,10800,,,,단독다가구,136.0,207.27,117000,20241225,1993,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,172.0,189.48,79940,20250120,1993,,,직거래,
2025,강서구,방화동,10900,,,,단독다가구,106.0,57.74,97000,20250214,1968,,,중개거래,서울 강서구
2025,강서구,공항동,10800,,,,단독다가구,93.0,149.91,63500,20250218,1993,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,103.0,149.24,96500,20250218,1996,,,중개거래,서울 강서구
2025,강서구,화곡동,10300,,,,단독다가구,116.0,54.88,61500,20250220,1971,,,중개거래,서울 강서구
2025,강서구,등촌동,10200,,,,단독다가구,160.0,474.14,213000,20250228,1993,,,중개거래,서울 강남구
2025,강서구,방화동,10900,,,,단독다가구,129.0,183.87,113800,20250303,1993,,,중개거래,서울 강서구
2025,강서구,화곡동,10300,,,,단독다가구,279.0,736.89,265000,20250308,1991,,,중개거래,서울 강남구
2025,강서구,공항동,10800,,,,단독다가구,125.0,181.17,79000,20250310,1988,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,146.0,201.9,118500,20250310,1997,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,116.0,99.07,95000,20250312,1972,,,중개거래,서울 강서구
2025,강서구,공항동,10800,,,,단독다가구,164.0,242.64,110000,20250325,1988,,,중개거래,서울 강서구
2025,강서구,공항동,10800,,,,단독다가구,164.0,227.86,150000,20250325,1987,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,132.0,52.89,36600,20250409,1969,,,중개거래,서울 강서구
2025,강서구,화곡동,10300,,,,단독다가구,157.0,299.03,128170,20250411,1997,,,직거래,
2025,강서구,공항동,10800,,,,단독다가구,142.0,210.48,73000,20250412,1996,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,165.0,83.96,111029,20250414,1977,,,직거래,
2025,강서구,공항동,10800,,,,단독다가구,165.0,479.85,95000,20250423,2003,,,중개거래,서울 강서구
2025,강서구,공항동,10800,,,,단독다가구,79.0,26.45,179200,20250430,1996,,,중개거래,서울 강남구
2025,강서구,화곡동,10300,,,,단독다가구,167.0,412.68,270000,20250509,1987,,,중개거래,서울 강서구
2025,강서구,개화동,11000,,,,단독다가구,279.0,265.49,155000,20250509,2017,,,중개거래,서울 강서구
2025,강서구,화곡동,10300,,,,단독다가구,156.0,151.88,128500,20250513,1974,,,중개거래,서울 강서구
2025,강서구,화곡동,10300,,,,단독다가구,116.0,159.66,50000,20250524,1986,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,185.0,329.8,168500,20250524,2001,,,중개거래,서울 강서구
2025,강서구,방화동,10900,,,,단독다가구,136.0,223.93,76000,20250530,2002,,,직거래,
