RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,구로구,고척동,10600,,,,단독다가구,162.0,211.12,85000,20241213,1974,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,97.0,202.1,139000,20250103,1984,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,96.0,157.92,52000,20250113,1985,,,중개거래,서울 구로구
2025,구로구,가리봉동,10300,,,,단독다가구,99.0,107.84,45000,20250122,1985,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,41.0,13.22,20300,20250123,1900,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,69.0,89.25,22050,20250131,1992,,,직거래,
2025,구로구,구로동,10200,,,,단독다가구,185.0,247.06,149542,20250205,1985,,,직거래,
2025,구로구,구로동,10200,,,,단독다가구,129.0,162.0,68500,20250208,1989,,,직거래,
2025,구로구,개봉동,10700,,,,단독다가구,136.0,147.57,64000,20250210,1973,,,중개거래,"서울 구로구, 서울 금천구"
2025,구로구,구로동,10200,,,,단독다가구,119.0,193.96,74500,20250213,2007,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,66.0,74.85,28500,20250218,2006,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,162.0,246.87,70000,20250219,1989,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,89.0,134.9,53000,20250224,1991,,,중개거래,서울 구로구
2025,구로구,개봉동,10700,,,,단독다가구,195.0,273.0,109000,20250227,1990,,,중개거래,"서울 구로구, 서울 마포구"
2025,구로구,고척동,10600,,,,단독다가구,132.0,116.66,116000,20250306,1900,,,중개거래,서울 구로구
2025,구로구,고척동,10600,,,,단독다가구,60.0,22.48,54000,20250306,1969,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,33.0,19.87,9800,20250308,1975,,,중개거래,서울 구로구
2025,구로구,구로동,10200,,,,단독다가구,90.0,132.61,50000,20250315,1994,,,중개거래,서울 구로구
2025,구로구,가리봉동,10300,,,,단독다가구,78.0,135.01,40500,20250317,2006,,,중개거래,서울 구로구
2025,구로구,가리봉동,10300,,,,단독다가구,86.0,130.68,57500,20250320,1992,,,중개거래,서울 구로구
