RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,금천구,시흥동,10300,,,,단독다가구,140.0,229.68,59500,20250101,1995,,,중개거래,서울 금천구
2025,금천구,시흥동,10300,,,,단독다가구,140.0,173.1,66152,20250103,1983,,,직거래,
2025,금천구,시흥동,10300,,,,단독다가구,122.0,68.89,29500,20250118,1976,,,중개거래,서울 금천구
2025,금천구,시흥동,10300,,,,단독다가구,201.0,326.88,121000,20250210,1993,,,중개거래,서울 금천구
2025,금천구,시흥동,10300,,,,단독다가구,187.0,246.78,102000,20250210,1991,,,중개거래,서울 금천구
2025,금천구,시흥동,10300,,,,단독다가구,118.0,189.9,67350,20250306,1993,,,중개거래,서울 금천구
2025,금천구,독산동,10200,,,,단독다가구,144.0,216.0,101000,20250315,1990,,,중개거래,서울 금천구
2025,금천구,독산동,10200,,,,단독다가구,183.0,272.7,135600,20250320,1990,,,직거래,
2025,금천구,시흥동,10300,,,,단독다가구,119.0,181.05,62000,20250321,1989,,,중개거래,서울 금천구
2025,금천구,독산동,10200,,,,단독다가구,225.0,317.54,102000,20250328,1988,,,중개거래,"서울 금천구, 서울 마포구"
2025,금천구,독산동,10200,,,,단독다가구,197.0,343.65,118000,20250404,1987,,,중개거래,"서울 금천구, 서울 동대문구"
2025,금천구,시흥동,10300,,,,단독다가구,116.0,171.3,50000,20250421,1996,,,중개거래,서울 금천구
2025,금천구,시흥동,10300,,,,단독다가구,97.0,209.45,107500,20250429,2006,,,중개거래,서울 금천구
2025,금천구,독산동,10200,,,,단독다가구,115.0,184.08,58500,20250501,1991,,,중개거래,서울 금천구
2025,금천구,시흥동,10300,,,,단독다가구,116.0,171.21,62392,20250508,1983,,,직거래,
2025,금천구,독산동,10200,,,,단독다가구,183.0,272.28,112250,20250513,1983,,,직거래,
2025,금천구,시흥동,10300,,,,단독다가구,173.0,171.7,34000,20250516,1983,,,직거래,
2025,금천구,시흥동,10300,,,,단독다가구,99.0,147.09,29000,20250520,1988,,,직거래,
