RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,영등포구,신길동,13200,,,,단독다가구,26.0,32.24,75000,20241216,1985,,,중개거래,"서울 강남구, 서울 영등포구"
2025,영등포구,신길동,13200,,,,단독다가구,116.0,138.92,130000,20241223,1974,,,중개거래,서울 영등포구
2025,영등포구,대림동,13300,,,,단독다가구,116.0,163.98,92699,20241227,1986,,,직거래,
2025,영등포구,신길동,13200,,,,단독다가구,114.0,170.82,56500,20250107,1988,,,중개거래,서울 영등포구
2025,영등포구,도림동,11800,,,,단독다가구,175.0,416.08,220000,20250110,1991,,,중개거래,서울 영등포구
2025,영등포구,신길동,13200,,,,단독다가구,83.0,123.45,80000,20250115,1992,,,직거래,
2025,영등포구,신길동,13200,,,,단독다가구,100.0,136.08,74300,20250121,1990,,,중개거래,"서울 동작구, 서울 영등포구"
2025,영등포구,대림동,13300,,,,단독다가구,284.0,705.2,263000,20250121,1990,,,중개거래,서울 영등포구
2025,영등포구,대림동,13300,,,,단독다가구,116.0,158.49,110000,20250205,1988,,,중개거래,서울 영등포구
2025,영등포구,대림동,13300,,,,단독다가구,136.0,190.83,114093,20250207,1990,,,직거래,
2025,영등포구,대림동,13300,,,,단독다가구,126.0,199.35,94022,20250210,1992,,,직거래,
2025,영등포구,신길동,13200,,,,단독다가구,52.0,32.06,80000,20250212,1985,,,중개거래,"서울 강남구, 서울 영등포구"
2025,영등포구,도림동,11800,,,,단독다가구,63.0,92.67,47500,20250213,1992,,,직거래,
2025,영등포구,신길동,13200,,,,단독다가구,43.0,50.22,80000,20250214,1985,,,중개거래,서울 영등포구
2025,영등포구,신길동,13200,,,,단독다가구,89.0,43.2,36000,20250220,2016,,,직거래,
2025,영등포구,대림동,13300,,,,단독다가구,162.0,182.48,87500,20250226,1982,,,중개거래,서울 영등포구
2025,영등포구,신길동,13200,,,,단독다가구,126.0,205.92,150000,20250227,1992,,,중개거래,서울 영등포구
2025,영등포구,신길동,13200,,,,단독다가구,149.0,174.05,396419,20250227,1975,,,직거래,
2025,영등포구,신길동,13200,,,,단독다가구,152.0,225.09,130000,20250304,1989,,,중개거래,서울 영등포구
2025,영등포구,신길동,13200,,,,단독다가구,129.0,185.04,103000,20250307,1990,,,중개거래,서울 영등포구
2025,영등포구,도림동,11800,,,,단독다가구,163.0,322.56,160000,20250310,1989,,,중개거래,서울 영등포구
