RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,동작구,사당동,10700,,,,단독다가구,126.0,122.99,220000,20241128,1974,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,202.0,129.75,192600,20250102,1970,,,중개거래,서울 동작구
2025,동작구,흑석동,10500,,,,단독다가구,156.0,106.12,178000,20250108,1968,,,중개거래,서울 동작구
2025,동작구,상도동,10200,,,,단독다가구,153.0,381.51,229000,20250109,2017,,,중개거래,서울 관악구
2025,동작구,상도동,10200,,,,단독다가구,159.0,70.75,120000,20250110,1973,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,178.0,317.23,143000,20250111,1988,,,중개거래,서울 동작구
2025,동작구,사당동,10700,,,,단독다가구,149.0,246.96,163452,20250113,1991,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,176.0,349.23,234520,20250115,1993,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,79.0,116.66,150000,20250115,1970,,,중개거래,서울 동작구
2025,동작구,흑석동,10500,,,,단독다가구,136.0,56.79,66000,20250116,1985,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,83.0,43.5,80000,20250117,1967,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,96.0,134.85,164000,20250123,1990,,,중개거래,"서울 동작구, 서울 영등포구"
2025,동작구,노량진동,10100,,,,단독다가구,214.0,494.83,225000,20250125,1991,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,138.0,254.74,220000,20250201,1988,,,중개거래,"서울 동작구, 서울 용산구"
2025,동작구,노량진동,10100,,,,단독다가구,109.0,103.8,175000,20250201,1966,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,448.0,81.75,158840,20250201,1966,,,중개거래,서울 동작구
2025,동작구,본동,10400,,,,단독다가구,109.0,39.01,70000,20250201,1955,,,직거래,
2025,동작구,대방동,10800,,,,단독다가구,208.0,465.56,190000,20250203,1997,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,179.0,246.78,240000,20250206,1989,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,89.0,34.88,150000,20250207,1963,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,129.0,78.79,77700,20250211,1985,,,직거래,
2025,동작구,신대방동,10900,,,,단독다가구,142.0,226.26,115818,20250212,1992,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,188.0,198.36,250000,20250213,1991,,,중개거래,"서울 동작구, 서울 마포구"
2025,동작구,노량진동,10100,,,,단독다가구,131.0,177.84,210000,20250213,1984,,,중개거래,"서울 구로구, 서울 동작구"
2025,동작구,사당동,10700,,,,단독다가구,160.0,246.78,216060,20250213,1991,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,162.0,197.82,249000,20250215,1991,,,중개거래,"서울 동작구, 서울 서초구"
2025,동작구,사당동,10700,,,,단독다가구,139.0,198.72,124000,20250217,1990,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,165.0,274.05,225000,20250217,1997,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,126.0,166.64,200000,20250218,1986,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,66.0,39.67,150000,20250219,1963,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,91.0,142.05,180000,20250220,1992,,,중개거래,"서울 동작구, 서울 영등포구"
2025,동작구,노량진동,10100,,,,단독다가구,145.0,227.32,235000,20250220,2007,,,중개거래,서울 동작구
2025,동작구,사당동,10700,,,,단독다가구,116.0,196.18,240000,20250221,2020,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,172.0,365.8,260000,20250221,1991,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,36.0,33.06,110000,20250222,1958,,,중개거래,"서울 동작구, 서울 서초구"
2025,동작구,노량진동,10100,,,,단독다가구,122.0,171.3,230000,20250222,1989,,,중개거래,서울 동작구
2025,동작구,사당동,10700,,,,단독다가구,128.0,217.26,128000,20250222,1994,,,중개거래,"서울 동작구, 서울 서초구"
2025,동작구,노량진동,10100,,,,단독다가구,60.0,36.5,128000,20250223,1985,,,중개거래,"서울 동작구, 서울 용산구"
2025,동작구,흑석동,10500,,,,단독다가구,128.0,195.48,212000,20250224,1984,,,중개거래,서울 동작구
2025,동작구,사당동,10700,,,,단독다가구,93.0,100.23,107423,20250225,1973,,,직거래,
2025,동작구,대방동,10800,,,,단독다가구,111.0,177.98,75000,20250225,1992,,,중개거래,서울 동작구
2025,동작구,흑석동,10500,,,,단독다가구,165.0,244.2,198000,20250225,1994,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,172.0,239.4,240000,20250226,1990,,,중개거래,서울 동작구
2025,동작구,사당동,10700,,,,단독다가구,106.0,176.13,148174,20250226,1993,,,직거래,
2025,동작구,노량진동,10100,,,,단독다가구,114.0,135.54,199000,20250227,1980,,,중개거래,서울 동작구
2025,동작구,대방동,10800,,,,단독다가구,202.0,465.73,230000,20250228,1989,,,중개거래,서울 동작구
2025,동작구,상도동,10200,,,,단독다가구,162.0,241.65,200000,20250301,1991,,,중개거래,"서울 강남구, 서울 강서구"
2025,동작구,상도동,10200,,,,단독다가구,188.0,339.12,270000,20250301,1991,,,중개거래,"서울 강남구, 서울 강서구"
2025,동작구,노량진동,10100,,,,단독다가구,159.0,56.33,180000,20250302,1970,,,중개거래,서울 동작구
2025,동작구,사당동,10700,,,,단독다가구,116.0,153.11,145000,20250304,1972,,,중개거래,서울 동작구
2025,동작구,노량진동,10100,,,,단독다가구,83.0,49.59,150500,20250304,1969,,,중개거래,서울 동작구
2025,동작구,대방동,10800,,,,단독다가구,163.0,342.8,170000,20250304,1979,,,중개거래,서울 영등포구
