RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,관악구,신림동,10200,,,,단독다가구,163.0,272.01,193531,20241223,1993,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,174.0,357.36,189018,20241227,1995,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,178.0,248.68,95500,20241231,1988,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,162.0,369.32,218000,20250102,2004,,,중개거래,서울 금천구
2025,관악구,남현동,10300,,,,단독다가구,161.0,226.2,149000,20250104,1987,,,중개거래,서울 동작구
2025,관악구,신림동,10200,,,,단독다가구,165.0,242.9,74000,20250107,1997,,,중개거래,서울 관악구
2025,관악구,봉천동,10100,,,,단독다가구,136.0,271.99,115143,20250108,1997,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,99.0,160.54,81598,20250114,1992,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,99.0,72.73,30000,20250119,1976,,,중개거래,서울 강북구
2025,관악구,신림동,10200,,,,단독다가구,106.0,144.51,45000,20250120,1986,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,193.0,178.65,145000,20250121,1976,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,119.0,178.83,90000,20250121,1990,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,165.0,246.81,48000,20250211,1990,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,143.0,297.08,155000,20250213,2006,,,중개거래,서울 관악구
2025,관악구,봉천동,10100,,,,단독다가구,152.0,224.91,89500,20250213,1990,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,143.0,182.16,95000,20250213,1988,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,158.0,358.04,128000,20250213,2000,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,145.0,194.55,52500,20250216,1985,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,139.0,398.64,265000,20250218,2006,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,165.0,179.18,79700,20250221,1974,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,165.0,179.18,63462,20250221,1974,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,143.0,234.6,160913,20250222,1991,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,163.0,249.48,182430,20250222,1991,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,76.0,42.35,50000,20250225,1970,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,288.0,780.78,260000,20250226,1981,,,중개거래,경기 구리시
2025,관악구,남현동,10300,,,,단독다가구,110.0,322.87,137000,20250226,1997,,,중개거래,"서울 관악구, 서울 동작구"
2025,관악구,신림동,10200,,,,단독다가구,154.0,227.82,141000,20250227,1985,,,중개거래,"서울 관악구, 인천 연수구"
2025,관악구,신림동,10200,,,,단독다가구,159.0,247.05,144600,20250227,1988,,,중개거래,"서울 관악구, 인천 연수구"
2025,관악구,신림동,10200,,,,단독다가구,112.0,196.2,67000,20250302,1993,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,102.0,119.31,84000,20250303,1997,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,132.0,75.71,48000,20250304,1981,,,중개거래,서울 관악구
2025,관악구,봉천동,10100,,,,단독다가구,96.0,91.41,40000,20250305,1970,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,230.0,489.81,140000,20250306,2006,,,직거래,
2025,관악구,봉천동,10100,,,,단독다가구,131.0,296.01,209500,20250308,1996,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,165.0,223.08,50000,20250311,1988,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,467.0,1157.61,345000,20250313,2008,,,중개거래,서울 송파구
2025,관악구,신림동,10200,,,,단독다가구,93.0,120.35,55000,20250315,2001,,,중개거래,"경기 용인시 처인구, 서울 관악구"
2025,관악구,신림동,10200,,,,단독다가구,102.0,201.81,103000,20250315,1991,,,중개거래,서울 구로구
2025,관악구,신림동,10200,,,,단독다가구,239.0,382.65,314415,20250317,1992,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,284.0,1003.35,379000,20250317,2004,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,159.0,358.03,124000,20250319,1998,,,중개거래,"서울 관악구, 서울 서대문구"
2025,관악구,봉천동,10100,,,,단독다가구,106.0,37.26,64000,20250320,1970,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,69.0,64.2,64000,20250320,1970,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,99.0,72.73,30000,20250320,1976,,,중개거래,서울 강북구
2025,관악구,신림동,10200,,,,단독다가구,221.0,366.03,187600,20250320,1990,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,175.0,350.83,167000,20250321,2017,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,132.0,201.06,118000,20250325,1990,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,132.0,197.79,118000,20250325,1990,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,151.0,150.42,80000,20250325,1984,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,169.0,206.7,116087,20250326,1983,,,직거래,
2025,관악구,봉천동,10100,,,,단독다가구,60.0,31.4,73000,20250326,1981,,,중개거래,"서울 강남구, 서울 관악구"
2025,관악구,신림동,10200,,,,단독다가구,125.0,187.74,150000,20250327,1991,,,중개거래,서울 관악구
2025,관악구,신림동,10200,,,,단독다가구,161.0,254.4,110000,20250327,1995,,,중개거래,서울 관악구
2025,관악구,봉천동,10100,,,,단독다가구,115.0,288.63,132000,20250327,2005,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,165.0,270.24,128053,20250402,1991,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,147.0,276.98,150928,20250402,1993,,,직거래,
2025,관악구,신림동,10200,,,,단독다가구,182.0,332.26,126000,20250405,1998,,,중개거래,서울 관악구
2025,관악구,봉천동,10100,,,,단독다가구,179.0,260.01,119000,20250408,1987,,,중개거래,서울 관악구
