RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,서초구,방배동,10100,,,,단독다가구,161.0,147.77,230000,20241213,1977,,,중개거래,서울 강남구
2025,서초구,서초동,10800,,,,단독다가구,283.0,128.26,295000,20241227,1973,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,160.0,361.1,267000,20250112,1997,,,직거래,
2025,서초구,양재동,10200,,,,단독다가구,247.0,348.84,390000,20250217,1987,,,중개거래,서울 강남구
2025,서초구,방배동,10100,,,,단독다가구,149.0,234.96,360000,20250219,1983,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,182.0,494.44,420000,20250306,2004,,,중개거래,"서울 마포구, 서울 서초구"
2025,서초구,방배동,10100,,,,단독다가구,165.0,163.64,325000,20250307,1978,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,161.0,369.36,295000,20250310,1996,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,165.0,246.85,250000,20250320,1988,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,283.0,128.26,266000,20250321,1973,,,중개거래,경기 하남시
2025,서초구,양재동,10200,,,,단독다가구,315.0,630.94,229800,20250330,1995,,,직거래,
2025,서초구,신원동,11100,,,,단독다가구,138.0,115.42,210000,20250405,2022,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,167.0,434.07,494000,20250413,2021,,,중개거래,서울 서초구
2025,서초구,원지동,10400,,,,단독다가구,331.0,226.32,222179,20250416,1995,,,직거래,
2025,서초구,서초동,10800,,,,단독다가구,191.0,547.2,442000,20250423,2000,,,중개거래,서울 강남구
2025,서초구,방배동,10100,,,,단독다가구,155.0,279.03,250000,20250429,2011,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,175.0,207.27,421000,20250502,1978,,,중개거래,서울 강남구
2025,서초구,양재동,10200,,,,단독다가구,212.0,328.91,336130,20250502,1996,,,직거래,
2025,서초구,서초동,10800,,,,단독다가구,178.0,245.13,273000,20250523,1990,,,직거래,
2025,서초구,신원동,11100,,,,단독다가구,318.0,147.85,200000,20250528,1996,,,직거래,
2025,서초구,방배동,10100,,,,단독다가구,175.0,323.66,344000,20250610,2010,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,182.0,494.44,420000,20250620,2004,,,중개거래,"서울 마포구, 서울 서초구"
2025,서초구,방배동,10100,,,,단독다가구,186.0,210.91,355000,20250701,1977,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,308.0,281.11,235000,20250702,1987,,,직거래,
2025,서초구,방배동,10100,,,,단독다가구,50.0,104.69,87000,20250703,1989,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,180.0,185.45,327000,20250707,1975,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,268.0,799.02,650000,20250717,1990,,,중개거래,서울 강남구
2025,서초구,방배동,10100,,,,단독다가구,264.0,351.36,530000,20250717,1982,,,중개거래,서울 서초구
2025,서초구,염곡동,11000,,,,단독다가구,383.0,344.73,291000,20250729,2003,,,직거래,
2025,서초구,양재동,10200,,,,단독다가구,224.0,654.53,650000,20250804,1990,,,중개거래,서울 강남구
2025,서초구,염곡동,11000,,,,단독다가구,345.0,362.57,150000,20250807,2007,,,중개거래,서울 강남구
2025,서초구,방배동,10100,,,,단독다가구,162.0,327.53,375000,20250813,1977,,,중개거래,서울 강남구
2025,서초구,서초동,10800,,,,단독다가구,268.0,799.02,650000,20250820,1990,,,중개거래,서울 강남구
2025,서초구,방배동,10100,,,,단독다가구,286.0,202.8,270000,20250827,1987,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,150.0,153.39,270000,20250829,1977,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,145.0,297.86,385000,20250906,1993,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,156.0,326.87,282000,20250908,2013,,,중개거래,서울 강남구
2025,서초구,방배동,10100,,,,단독다가구,177.0,221.29,328000,20250918,1977,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,165.0,337.0,325000,20250925,1997,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,160.0,129.91,300000,20250929,1978,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,305.0,1063.91,690000,20251016,2005,,,중개거래,"서울 강남구, 서울 서초구"
2025,서초구,방배동,10100,,,,단독다가구,142.0,299.83,388000,20251021,1996,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,242.0,500.06,400000,20251021,1996,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,308.0,188.92,220000,20251111,1997,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,165.0,471.19,540000,20251111,2003,,,중개거래,"서울 강남구, 서울 서초구"
2025,서초구,방배동,10100,,,,단독다가구,167.0,379.58,454000,20251121,1994,,,중개거래,서울 서초구
2025,서초구,방배동,10100,,,,단독다가구,191.0,421.89,315000,20251127,1993,,,중개거래,"서울 서초구, 서울 은평구"
2025,서초구,방배동,10100,,,,단독다가구,102.0,156.04,115000,20251127,1988,,,직거래,
2025,서초구,방배동,10100,,,,단독다가구,155.0,309.05,282000,20251210,1997,,,중개거래,서울 서초구
2025,서초구,서초동,10800,,,,단독다가구,192.0,646.93,730000,20251211,2004,,,중개거래,서울 서초구
2026,서초구,내곡동,10900,,,,단독다가구,358.0,228.14,288298,20251212,2001,,,중개거래,서울 서초구
2026,서초구,내곡동,10900,,,,단독다가구,387.0,177.66,274000,20251222,1985,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,245.0,545.12,445000,20251226,1998,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,162.0,226.2,399000,20260106,1985,,,중개거래,서울 서초구
2026,서초구,우면동,10300,,,,단독다가구,371.0,129.05,365000,20260109,1983,,,중개거래,"경기 고양시 일산서구, 서울 서초구"
2026,서초구,방배동,10100,,,,단독다가구,164.0,320.52,295000,20260123,1994,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,226.0,525.05,534000,20260127,1996,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,166.0,213.22,244500,20260131,1979,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,243.0,329.96,610000,20260202,1983,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,209.0,486.6,494330,20260203,1993,,,중개거래,서울 강남구
2026,서초구,방배동,10100,,,,단독다가구,250.0,253.51,193500,20260205,2018,,,중개거래,서울 서초구
2026,서초구,서초동,10800,,,,단독다가구,255.0,82.44,344000,20260205,1990,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,194.0,242.19,350000,20260206,1983,,,직거래,
2026,서초구,반포동,10700,,,,단독다가구,188.0,433.65,400000,20260212,1993,,,중개거래,서울 강남구
2026,서초구,반포동,10700,,,,단독다가구,321.0,535.48,760000,20260219,1994,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,181.0,464.8,480000,20260224,1990,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,179.0,621.18,490000,20260225,1993,,,중개거래,서울 강남구
2026,서초구,방배동,10100,,,,단독다가구,229.0,536.72,463700,20260303,1996,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,180.0,489.85,425000,20260311,1991,,,중개거래,"서울 서초구, 서울 용산구"
2026,서초구,반포동,10700,,,,단독다가구,163.0,233.28,400000,20260316,1989,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,158.0,370.72,420000,20260401,1997,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,183.0,161.88,322000,20260410,1976,,,중개거래,서울 서초구
2026,서초구,양재동,10200,,,,단독다가구,187.0,527.64,320000,20260423,1990,,,중개거래,서울 강남구
2026,서초구,양재동,10200,,,,단독다가구,213.0,568.17,715000,20260424,2015,,,중개거래,서울 강남구
2026,서초구,염곡동,11000,,,,단독다가구,424.0,317.64,326000,20260428,2007,,,직거래,
2026,서초구,방배동,10100,,,,단독다가구,169.0,247.86,300000,20260429,1990,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,180.0,402.48,430000,20260502,1993,,,중개거래,서울 마포구
2026,서초구,반포동,10700,,,,단독다가구,323.0,688.99,630000,20260504,1989,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,241.0,482.81,340000,20260506,1997,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,155.0,309.05,282000,20260506,1997,,,중개거래,서울 서초구
2026,서초구,잠원동,10600,,,,단독다가구,207.0,469.31,500000,20260507,1997,,,중개거래,서울 강남구
2026,서초구,방배동,10100,,,,단독다가구,158.0,177.23,390000,20260512,1977,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,160.0,156.56,290000,20260514,1977,,,중개거래,서울 강남구
2026,서초구,방배동,10100,,,,단독다가구,202.0,416.55,289000,20260519,1996,,,중개거래,서울 서초구
2026,서초구,서초동,10800,,,,단독다가구,344.0,326.38,400000,20260522,1992,,,중개거래,서울 서초구
2026,서초구,반포동,10700,,,,단독다가구,158.0,370.72,420000,20260601,1997,,,중개거래,서울 서초구
2026,서초구,방배동,10100,,,,단독다가구,159.0,68.89,135000,20260608,1972,,,중개거래,서울 서초구
2026,서초구,양재동,10200,,,,단독다가구,70.0,176.63,89001,20260613,1992,,,직거래,
