RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,강남구,역삼동,10100,,,,단독다가구,240.0,648.1,670000,20241219,1997,,,중개거래,서울 강남구
2025,강남구,개포동,10300,,,,단독다가구,230.0,646.45,385000,20250115,1991,,,중개거래,서울 서초구
2025,강남구,역삼동,10100,,,,단독다가구,240.0,648.1,670000,20250214,1997,,,중개거래,서울 강남구
2025,강남구,삼성동,10500,,,,단독다가구,195.0,487.55,875000,20250217,1989,,,중개거래,서울 강남구
2025,강남구,역삼동,10100,,,,단독다가구,352.0,658.0,815000,20250219,1996,,,중개거래,서울 강남구
2025,강남구,삼성동,10500,,,,단독다가구,265.0,311.01,630000,20250226,1990,,,중개거래,서울 강남구
2025,강남구,개포동,10300,,,,단독다가구,185.0,518.92,400000,20250228,1990,,,중개거래,서울 강남구
2025,강남구,삼성동,10500,,,,단독다가구,198.0,492.52,936000,20250305,2003,,,중개거래,"서울 강남구, 서울 서초구"
2025,강남구,율현동,11300,,,,단독다가구,319.0,198.72,290000,20250305,1992,,,중개거래,서울 서초구
2025,강남구,대치동,10600,,,,단독다가구,262.0,607.9,670000,20250306,1994,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,160.0,375.09,533500,20250317,1999,,,중개거래,서울 강남구
2025,강남구,신사동,10700,,,,단독다가구,176.0,377.19,515000,20250318,1993,,,중개거래,서울 강남구
2025,강남구,일원동,11400,,,,단독다가구,198.0,272.2,287000,20250322,1985,,,중개거래,서울 강남구
2025,강남구,역삼동,10100,,,,단독다가구,234.0,839.95,620000,20250401,2000,,,중개거래,서울 강남구
2025,강남구,역삼동,10100,,,,단독다가구,211.0,435.8,540000,20250406,1996,,,중개거래,서울 강남구
2025,강남구,삼성동,10500,,,,단독다가구,167.0,246.58,485000,20250429,1989,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,174.0,388.0,515000,20250513,1997,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,203.0,613.6,750000,20250515,1991,,,중개거래,서울 강남구
2025,강남구,삼성동,10500,,,,단독다가구,167.0,493.47,650000,20250520,1995,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,215.0,450.48,585000,20250521,1995,,,중개거래,서울 강남구
2025,강남구,대치동,10600,,,,단독다가구,249.0,576.28,950000,20250523,1992,,,중개거래,서울 강남구
2025,강남구,자곡동,11200,,,,단독다가구,328.0,197.28,453000,20250604,1988,,,중개거래,서울 강남구
2025,강남구,대치동,10600,,,,단독다가구,223.0,500.8,700000,20250611,1994,,,중개거래,서울 강남구
2025,강남구,일원동,11400,,,,단독다가구,227.0,387.18,395000,20250616,1994,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,216.0,493.32,570000,20250709,2000,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,239.0,321.06,520000,20250709,1991,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,264.0,286.5,625000,20250821,1983,,,중개거래,서울 서초구
2025,강남구,논현동,10800,,,,단독다가구,168.0,237.56,685000,20250828,1982,,,중개거래,서울 강남구
2025,강남구,도곡동,11800,,,,단독다가구,156.0,483.08,360000,20250904,2002,,,중개거래,서울 강남구
2025,강남구,삼성동,10500,,,,단독다가구,166.0,390.75,500000,20250905,1996,,,중개거래,서울 강남구
2025,강남구,대치동,10600,,,,단독다가구,201.0,456.84,443000,20250905,1996,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,268.0,620.07,795000,20250912,1996,,,중개거래,서울 강남구
2025,강남구,역삼동,10100,,,,단독다가구,187.0,465.7,610000,20250930,1989,,,중개거래,서울 강남구
2025,강남구,일원동,11400,,,,단독다가구,193.0,249.76,280000,20251003,1987,,,중개거래,서울 강남구
2025,강남구,개포동,10300,,,,단독다가구,182.0,354.94,327000,20251013,1990,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,218.0,507.94,520000,20251015,1996,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,252.0,532.38,500000,20251015,1996,,,중개거래,서울 강남구
2025,강남구,청담동,10400,,,,단독다가구,226.0,424.18,900000,20251022,1991,,,중개거래,서울 강남구
2025,강남구,역삼동,10100,,,,단독다가구,213.0,504.22,560000,20251027,1996,,,중개거래,서울 강남구
2025,강남구,논현동,10800,,,,단독다가구,352.0,809.8,920000,20251029,2001,,,중개거래,서울 서초구
2025,강남구,삼성동,10500,,,,단독다가구,224.0,522.0,665000,20251106,1997,,,중개거래,서울 강남구
2025,강남구,자곡동,11200,,,,단독다가구,328.0,199.58,410000,20251112,1988,,,중개거래,서울 강남구
2025,강남구,신사동,10700,,,,단독다가구,210.0,660.49,850000,20251114,2000,,,중개거래,서울 강남구
2025,강남구,신사동,10700,,,,단독다가구,206.0,666.44,950000,20251117,1999,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,234.0,347.07,413000,20251224,1992,,,중개거래,서울 강남구
2026,강남구,율현동,11300,,,,단독다가구,202.0,214.01,282000,20251225,1900,,,중개거래,서울 송파구
2026,강남구,세곡동,11100,,,,단독다가구,333.0,118.51,395000,20251231,1981,,,중개거래,서울 강남구
2026,강남구,청담동,10400,,,,단독다가구,129.0,243.32,539250,20260105,1992,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,213.0,409.26,830000,20260113,1981,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,343.0,246.47,975000,20260116,1975,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,211.0,339.12,460000,20260119,1991,,,중개거래,"서울 강남구, 서울 강서구"
2026,강남구,자곡동,11200,,,,단독다가구,331.0,95.83,395000,20260124,1979,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,179.0,404.3,338000,20260127,1994,,,중개거래,서울 강남구
2026,강남구,신사동,10700,,,,단독다가구,208.0,498.02,855000,20260202,1994,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,306.0,650.52,750000,20260213,1995,,,중개거래,서울 강남구
2026,강남구,율현동,11300,,,,단독다가구,305.0,196.56,219000,20260220,1987,,,중개거래,서울 강남구
2026,강남구,율현동,11300,,,,단독다가구,203.0,196.54,272000,20260302,2016,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,251.0,538.78,645000,20260305,1997,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,262.0,602.58,570000,20260313,1996,,,중개거래,"서울 강남구, 서울 강서구"
2026,강남구,역삼동,10100,,,,단독다가구,367.0,319.77,845000,20260323,1984,,,직거래,
2026,강남구,논현동,10800,,,,단독다가구,368.0,659.54,820000,20260409,1995,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,185.0,413.76,725000,20260416,1997,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,233.0,326.43,370000,20260416,2012,,,중개거래,서울 강남구
2026,강남구,대치동,10600,,,,단독다가구,219.0,522.16,710000,20260417,1994,,,중개거래,서울 강남구
2026,강남구,일원동,11400,,,,단독다가구,192.0,249.76,275000,20260421,1986,,,중개거래,서울 강남구
2026,강남구,일원동,11400,,,,단독다가구,230.0,469.4,180000,20260423,1996,,,직거래,
2026,강남구,대치동,10600,,,,단독다가구,169.0,353.2,475000,20260423,1997,,,직거래,
2026,강남구,개포동,10300,,,,단독다가구,247.0,593.4,450000,20260424,1992,,,중개거래,서울 송파구
2026,강남구,일원동,11400,,,,단독다가구,204.0,494.4,400000,20260427,1986,,,중개거래,서울 강남구
2026,강남구,일원동,11400,,,,단독다가구,230.0,281.55,350000,20260430,1987,,,중개거래,서울 강남구
2026,강남구,청담동,10400,,,,단독다가구,203.0,218.87,950000,20260503,1978,,,중개거래,서울 강남구
2026,강남구,신사동,10700,,,,단독다가구,91.0,129.95,361000,20260504,2002,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,214.0,437.58,400000,20260504,1996,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,176.0,247.8,200000,20260507,1988,,,중개거래,"서울 강남구, 서울 관악구"
2026,강남구,논현동,10800,,,,단독다가구,178.0,422.76,470000,20260508,2002,,,중개거래,서울 강남구
2026,강남구,논현동,10800,,,,단독다가구,226.0,182.91,620000,20260514,1973,,,중개거래,서울 강남구
2026,강남구,삼성동,10500,,,,단독다가구,224.0,522.0,661000,20260515,1997,,,중개거래,서울 강남구
2026,강남구,개포동,10300,,,,단독다가구,245.0,423.52,425000,20260518,1988,,,중개거래,"서울 강남구, 서울 마포구"
2026,강남구,청담동,10400,,,,단독다가구,255.0,578.88,899000,20260519,1994,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,189.0,367.22,560000,20260522,1991,,,중개거래,서울 강남구
2026,강남구,율현동,11300,,,,단독다가구,225.0,292.17,292000,20260528,2024,,,직거래,
2026,강남구,개포동,10300,,,,단독다가구,221.0,558.04,470000,20260611,1990,,,중개거래,서울 강남구
2026,강남구,율현동,11300,,,,단독다가구,165.0,261.57,200000,20260611,2017,,,중개거래,서울 강남구
2026,강남구,역삼동,10100,,,,단독다가구,262.0,602.58,570000,20260630,1996,,,중개거래,"서울 강남구, 서울 강서구"
