RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,송파구,삼전동,10600,,,,단독다가구,183.0,330.14,239000,20241211,2002,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,92.0,169.68,90000,20241216,1983,,,중개거래,서울 송파구
2025,송파구,송파동,10400,,,,단독다가구,200.0,470.92,268000,20241227,1997,,,중개거래,서울 송파구
2025,송파구,풍납동,10300,,,,단독다가구,122.0,195.31,95000,20250104,1990,,,중개거래,서울 송파구
2025,송파구,풍납동,10300,,,,단독다가구,129.0,206.58,136500,20250121,1989,,,중개거래,서울 송파구
2025,송파구,가락동,10700,,,,단독다가구,187.0,313.09,220000,20250205,2024,,,중개거래,경기 화성시
2025,송파구,풍납동,10300,,,,단독다가구,116.0,147.66,108000,20250208,1983,,,중개거래,"서울 강동구, 서울 송파구"
2025,송파구,송파동,10400,,,,단독다가구,88.0,141.57,93300,20250221,1993,,,중개거래,서울 송파구
2025,송파구,석촌동,10500,,,,단독다가구,32.0,86.0,52000,20250224,1988,,,직거래,
2025,송파구,마천동,11400,,,,단독다가구,140.0,206.01,121000,20250227,1989,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,299.0,690.88,457000,20250227,2004,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,99.0,149.34,116500,20250301,1989,,,중개거래,서울 성북구
2025,송파구,문정동,10800,,,,단독다가구,184.0,450.38,238000,20250305,2004,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,119.0,162.45,105000,20250307,1989,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,25.0,24.72,55000,20250308,1985,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,179.0,350.91,217000,20250314,1990,,,직거래,
2025,송파구,마천동,11400,,,,단독다가구,102.0,164.52,100000,20250316,1981,,,중개거래,서울 송파구
2025,송파구,풍납동,10300,,,,단독다가구,102.0,158.48,112500,20250323,1986,,,중개거래,서울 강동구
2025,송파구,송파동,10400,,,,단독다가구,191.0,376.95,276000,20250324,2017,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,79.0,118.41,90000,20250325,1999,,,중개거래,서울 송파구
2025,송파구,문정동,10800,,,,단독다가구,305.0,809.05,370000,20250401,1990,,,중개거래,서울 송파구
2025,송파구,오금동,11200,,,,단독다가구,197.0,393.5,157000,20250401,1994,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,188.0,418.42,250000,20250404,1997,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,174.0,246.24,147300,20250404,1985,,,중개거래,"서울 성동구, 서울 송파구"
2025,송파구,문정동,10800,,,,단독다가구,168.0,245.88,218840,20250407,1988,,,직거래,
2025,송파구,방이동,11100,,,,단독다가구,350.0,978.78,760000,20250414,1991,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,348.0,911.18,520000,20250415,1991,,,중개거래,서울 송파구
2025,송파구,문정동,10800,,,,단독다가구,94.0,149.88,119607,20250418,1994,,,직거래,
2025,송파구,방이동,11100,,,,단독다가구,181.0,247.2,225600,20250421,1988,,,중개거래,서울 송파구
2025,송파구,거여동,11300,,,,단독다가구,96.0,144.1,97000,20250422,1988,,,중개거래,서울 송파구
2025,송파구,송파동,10400,,,,단독다가구,301.0,648.06,410000,20250423,1988,,,중개거래,서울 송파구
2025,송파구,방이동,11100,,,,단독다가구,269.0,506.55,286000,20250424,1988,,,중개거래,"서울 강남구, 서울 송파구"
2025,송파구,풍납동,10300,,,,단독다가구,102.0,163.19,92700,20250502,1987,,,중개거래,서울 송파구
2025,송파구,석촌동,10500,,,,단독다가구,230.0,240.93,321000,20250508,1985,,,중개거래,서울 송파구
2025,송파구,풍납동,10300,,,,단독다가구,112.0,167.25,73300,20250509,1988,,,직거래,
2025,송파구,가락동,10700,,,,단독다가구,168.0,247.05,210000,20250522,1990,,,중개거래,서울 송파구
2025,송파구,거여동,11300,,,,단독다가구,186.0,177.2,170000,20250523,1978,,,중개거래,서울 송파구
2025,송파구,가락동,10700,,,,단독다가구,168.0,249.66,190000,20250528,1990,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,83.0,50.71,81500,20250604,1985,,,중개거래,"서울 성동구, 서울 송파구"
2025,송파구,석촌동,10500,,,,단독다가구,174.0,248.07,198500,20250606,1987,,,직거래,
2025,송파구,마천동,11400,,,,단독다가구,106.0,59.37,90000,20250610,1974,,,중개거래,서울 송파구
2025,송파구,오금동,11200,,,,단독다가구,132.0,199.98,110000,20250613,1993,,,중개거래,서울 송파구
2025,송파구,풍납동,10300,,,,단독다가구,139.0,212.62,117800,20250619,1989,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,101.0,151.2,112000,20250621,1983,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,104.0,162.33,128000,20250621,1988,,,중개거래,경기 성남시 수정구
2025,송파구,잠실동,10100,,,,단독다가구,277.0,630.21,490000,20250625,1997,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,19.0,26.44,32000,20250625,1974,,,중개거래,서울 송파구
2025,송파구,석촌동,10500,,,,단독다가구,180.0,421.2,238000,20250703,1993,,,중개거래,서울 송파구
2025,송파구,송파동,10400,,,,단독다가구,165.0,247.89,198913,20250716,1986,,,직거래,
2025,송파구,거여동,11300,,,,단독다가구,71.0,45.44,87000,20250718,1985,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,406.0,677.58,750000,20250721,1978,,,중개거래,"서울 서초구, 서울 송파구"
2025,송파구,석촌동,10500,,,,단독다가구,219.0,449.32,327000,20250724,1987,,,중개거래,서울 송파구
2025,송파구,석촌동,10500,,,,단독다가구,185.0,402.65,285000,20250726,1997,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,265.0,615.43,365000,20250730,2000,,,중개거래,"경기 남양주시, 서울 송파구"
2025,송파구,거여동,11300,,,,단독다가구,129.0,174.69,115000,20250731,1991,,,직거래,
2025,송파구,잠실동,10100,,,,단독다가구,108.0,173.66,161000,20250807,1990,,,중개거래,서울 송파구
2025,송파구,삼전동,10600,,,,단독다가구,233.0,502.41,310000,20250807,1996,,,중개거래,"서울 강남구, 서울 송파구"
2025,송파구,거여동,11300,,,,단독다가구,174.0,234.97,87700,20250811,1982,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,113.0,137.13,132000,20250812,1981,,,중개거래,"서울 강동구, 서울 송파구"
2025,송파구,방이동,11100,,,,단독다가구,224.0,246.84,300000,20250815,2008,,,중개거래,"경기 남양주시, 서울 송파구"
2025,송파구,오금동,11200,,,,단독다가구,132.0,199.98,108000,20250816,1993,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,94.0,140.94,115000,20250818,1988,,,중개거래,서울 송파구
2025,송파구,풍납동,10300,,,,단독다가구,116.0,96.27,78000,20250822,1976,,,중개거래,"서울 강동구, 서울 송파구"
2025,송파구,석촌동,10500,,,,단독다가구,165.0,486.0,390000,20250827,1992,,,중개거래,서울 송파구
2025,송파구,문정동,10800,,,,단독다가구,261.0,716.15,360000,20250827,1991,,,중개거래,서울 강남구
2025,송파구,풍납동,10300,,,,단독다가구,129.0,195.9,116000,20250828,1991,,,중개거래,서울 송파구
2025,송파구,삼전동,10600,,,,단독다가구,175.0,404.62,275430,20250829,1995,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,101.0,126.24,133000,20250901,1979,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,91.0,41.41,69000,20250905,1983,,,직거래,
2025,송파구,가락동,10700,,,,단독다가구,267.0,491.52,340000,20250911,2025,,,중개거래,서울 송파구
2025,송파구,삼전동,10600,,,,단독다가구,329.0,659.64,506600,20250912,1998,,,직거래,
2025,송파구,거여동,11300,,,,단독다가구,93.0,139.41,110000,20250913,1990,,,중개거래,서울 송파구
2025,송파구,잠실동,10100,,,,단독다가구,103.0,120.1,129000,20250917,1979,,,중개거래,서울 송파구
2025,송파구,마천동,11400,,,,단독다가구,31.0,21.76,44000,20250923,1985,,,중개거래,서울 송파구
2025,송파구,거여동,11300,,,,단독다가구,220.0,474.0,502500,20250923,1988,,,중개거래,서울 송파구
2025,송파구,삼전동,10600,,,,단독다가구,267.0,548.3,408600,20250923,1997,,,중개거래,서울 송파구
