RCPT_YR,CGG_NM,STDG_NM,STDG_CD,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,RGHT_SE,RTRCN_DAY,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,강동구,명일동,10100,,,,단독다가구,212.0,439.0,257000,20241220,1985,,,중개거래,서울 강동구
2025,강동구,성내동,10800,,,,단독다가구,126.0,447.38,281000,20250108,2017,,,중개거래,서울 강동구
2025,강동구,천호동,10900,,,,단독다가구,132.0,168.84,63000,20250110,1984,,,직거래,
2025,강동구,성내동,10800,,,,단독다가구,116.0,254.41,105000,20250111,1996,,,중개거래,"서울 강남구, 서울 송파구"
2025,강동구,둔촌동,10600,,,,단독다가구,172.0,333.5,178100,20250120,1994,,,중개거래,서울 강동구
2025,강동구,둔촌동,10600,,,,단독다가구,167.0,378.47,172500,20250215,1996,,,중개거래,서울 강동구
2025,강동구,길동,10500,,,,단독다가구,149.0,216.0,146600,20250217,1989,,,중개거래,서울 강동구
2025,강동구,성내동,10800,,,,단독다가구,250.0,655.8,175000,20250224,1994,,,중개거래,서울 광진구
2025,강동구,성내동,10800,,,,단독다가구,236.0,680.6,254750,20250224,1997,,,중개거래,서울 강동구
2025,강동구,천호동,10900,,,,단독다가구,116.0,170.7,86000,20250224,1987,,,중개거래,서울 강동구
2025,강동구,암사동,10700,,,,단독다가구,344.0,117.85,160000,20250224,1981,,,중개거래,서울 강동구
2025,강동구,암사동,10700,,,,단독다가구,247.0,322.74,187000,20250301,1988,,,중개거래,서울 강남구
2025,강동구,암사동,10700,,,,단독다가구,162.0,338.91,127600,20250304,1997,,,중개거래,서울 강동구
2025,강동구,명일동,10100,,,,단독다가구,216.0,154.83,236000,20250305,1984,,,중개거래,서울 강동구
2025,강동구,길동,10500,,,,단독다가구,178.0,230.52,156000,20250308,1982,,,중개거래,서울 강동구
2025,강동구,천호동,10900,,,,단독다가구,103.0,163.62,111578,20250312,1994,,,직거래,
2025,강동구,천호동,10900,,,,단독다가구,106.0,144.72,56000,20250313,1989,,,중개거래,서울 강동구
2025,강동구,성내동,10800,,,,단독다가구,126.0,195.64,101600,20250314,1990,,,중개거래,서울 강동구
2025,강동구,천호동,10900,,,,단독다가구,56.0,44.1,21000,20250314,1967,,,직거래,
